yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.20.40.077, -76.34, -72.00, -73.86, -78.06, -55.14, -76.96, -75.86, -71.01, -73.06, -77.62, -55.38, -76.52, 243.00
2020-03-06_15.20.41.070, -76.14, -71.35, -73.53, -76.11, -55.44, -75.76, -76.02, -71.17, -72.94, -75.83, -56.91, -75.59, 242.00
2020-03-06_15.20.42.071, -78.26, -65.93, -70.61, -75.71, -45.75, -78.10, -77.65, -67.51, -71.95, -76.03, -47.29, -77.81, 242.00
2020-03-06_15.20.43.071, -80.85, -67.91, -73.65, -78.36, -53.31, -83.20, -80.66, -69.36, -74.94, -77.52, -55.42, -81.93, 242.00
2020-03-06_15.20.44.070, -88.43, -69.98, -75.19, -79.03, -75.48, -82.97, -85.31, -71.47, -74.88, -78.54, -68.03, -81.88, 242.00
2020-03-06_15.20.45.071, -88.58, -72.80, -88.25, -82.59, -75.15, -88.56, -85.93, -74.16, -84.13, -81.75, -73.99, -85.88, 242.00
2020-03-06_15.20.46.070, -88.64, -75.59, -88.49, -85.38, -75.39, -88.63, -86.54, -76.79, -85.65, -83.93, -75.32, -86.57, 242.00
2020-03-06_15.20.47.070, -78.08, -65.46, -70.11, -78.20, -52.52, -80.63, -76.71, -64.41, -69.02, -76.93, -50.55, -79.28, 242.00
2020-03-06_15.20.48.070, -88.50, -65.60, -72.48, -78.38, -76.15, -80.81, -85.60, -64.54, -71.06, -77.00, -71.73, -79.10, 242.00
2020-03-06_15.20.49.070, -88.57, -68.46, -88.29, -82.05, -76.34, -88.55, -86.80, -67.39, -85.80, -80.49, -73.37, -86.79, 242.00
2020-03-06_15.20.50.070, -88.64, -71.32, -88.48, -84.99, -76.08, -88.63, -87.07, -70.24, -86.56, -83.40, -74.93, -87.05, 242.00
2020-03-06_15.20.51.070, -88.57, -74.14, -88.38, -86.93, -76.33, -88.59, -87.01, -73.05, -86.57, -85.36, -73.68, -87.04, 242.00
2020-03-06_15.20.52.070, -57.75, -55.85, -55.91, -59.08, -50.65, -58.67, -59.54, -57.65, -57.71, -60.87, -52.50, -60.46, 242.00
2020-03-06_15.20.53.070, -55.84, -55.77, -55.78, -56.76, -52.36, -55.85, -57.63, -57.56, -57.58, -58.56, -53.90, -57.65, 242.00
2020-03-06_15.20.54.066, -55.81, -55.76, -55.77, -56.14, -52.48, -55.81, -57.61, -57.56, -57.57, -57.94, -53.94, -57.60, 242.00
2020-03-06_15.20.55.071, -55.77, -55.73, -55.74, -55.90, -52.30, -55.78, -57.57, -57.53, -57.54, -57.69, -54.00, -57.58, 242.00
2020-03-06_15.20.56.070, -55.77, -55.73, -55.75, -55.82, -52.44, -55.77, -57.57, -57.53, -57.54, -57.61, -53.92, -57.56, 242.00
2020-03-06_15.20.57.070, -55.80, -55.75, -55.78, -55.81, -52.28, -55.80, -57.60, -57.55, -57.57, -57.60, -54.06, -57.60, 242.00
2020-03-06_15.20.58.070, -55.70, -55.66, -55.67, -55.73, -52.41, -55.71, -57.49, -57.46, -57.46, -57.53, -53.79, -57.51, 242.00
2020-03-06_15.20.59.071, -55.72, -55.66, -55.67, -55.72, -52.27, -55.71, -57.51, -57.46, -57.47, -57.51, -53.91, -57.50, 242.00
2020-03-06_15.21.00.067, -55.79, -55.69, -55.74, -55.73, -52.38, -55.78, -57.58, -57.48, -57.54, -57.52, -53.87, -57.58, 242.00
2020-03-06_15.21.01.070, -55.75, -55.72, -55.73, -55.75, -52.30, -55.75, -57.54, -57.52, -57.53, -57.54, -54.02, -57.55, 242.00
2020-03-06_15.21.02.070, -55.76, -55.72, -55.73, -55.75, -52.34, -55.76, -57.56, -57.52, -57.53, -57.54, -53.91, -57.55, 242.00
2020-03-06_15.21.03.070, -55.81, -55.74, -55.77, -55.76, -52.31, -55.80, -57.60, -57.54, -57.56, -57.55, -53.90, -57.59, 242.00
2020-03-06_15.21.04.070, -55.83, -55.77, -55.81, -55.79, -52.44, -55.83, -57.62, -57.57, -57.60, -57.59, -54.00, -57.62, 242.00
2020-03-06_15.21.05.070, -55.86, -55.79, -55.80, -55.81, -52.51, -55.85, -57.66, -57.58, -57.60, -57.61, -53.80, -57.64, 242.00
2020-03-06_15.21.06.070, -55.95, -55.83, -55.92, -55.85, -52.50, -55.95, -57.74, -57.62, -57.71, -57.65, -53.96, -57.74, 242.00
2020-03-06_15.21.07.071, -57.40, -55.88, -55.92, -55.91, -52.67, -56.76, -59.19, -57.68, -57.71, -57.70, -54.08, -58.55, 242.00
2020-03-06_15.21.08.079, -88.65, -56.63, -65.84, -57.16, -74.78, -74.72, -87.25, -58.42, -67.62, -58.96, -74.71, -76.33, 242.00
2020-03-06_15.21.09.071, -88.60, -59.52, -88.31, -61.50, -76.58, -88.58, -87.02, -61.31, -86.48, -63.29, -74.56, -87.09, 242.00
2020-03-06_15.21.10.072, -88.49, -62.41, -88.30, -65.83, -74.72, -88.49, -86.42, -64.20, -85.62, -67.60, -74.02, -86.52, 242.00
2020-03-06_15.21.11.067, -87.15, -65.30, -83.54, -70.13, -67.07, -87.15, -83.00, -67.07, -79.29, -71.84, -62.36, -83.01, 242.00
2020-03-06_15.21.12.070, -88.43, -68.17, -88.04, -74.34, -75.37, -88.42, -86.45, -69.87, -85.84, -75.72, -74.17, -86.37, 242.00
2020-03-06_15.21.13.068, -70.70, -57.74, -62.52, -70.55, -40.48, -70.89, -70.32, -58.22, -62.80, -70.72, -42.39, -70.59, 242.00
2020-03-06_15.21.14.070, -85.08, -58.73, -75.00, -72.04, -67.71, -82.00, -80.38, -59.17, -73.29, -71.72, -62.64, -78.95, 242.00
2020-03-06_15.21.15.069, -67.79, -58.03, -62.96, -68.85, -38.52, -67.99, -68.63, -59.64, -64.50, -69.94, -40.32, -69.03, 242.00
2020-03-06_15.21.16.067, -70.66, -58.69, -63.14, -68.22, -42.44, -70.33, -67.46, -55.79, -60.01, -66.49, -42.82, -67.18, 242.00
2020-03-06_15.21.17.066, -82.33, -60.48, -77.80, -70.78, -52.40, -81.64, -79.80, -57.56, -76.46, -68.95, -53.46, -79.29, 242.00
2020-03-06_15.21.18.070, -80.21, -63.35, -72.85, -74.66, -42.66, -80.08, -77.93, -60.43, -71.72, -72.76, -44.47, -77.83, 242.00
