yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.16.35.967, -75.47, -69.47, -72.47, -77.23, -51.48, -76.19, -75.94, -70.03, -72.82, -77.73, -53.59, -76.69, 241.00
2020-03-06_15.16.36.961, -74.29, -64.41, -68.01, -73.91, -49.54, -74.03, -75.14, -66.10, -69.47, -74.91, -51.33, -74.83, 240.00
2020-03-06_15.16.37.957, -85.48, -66.50, -78.09, -75.84, -63.90, -83.40, -79.84, -68.13, -75.04, -76.51, -63.53, -79.34, 240.00
2020-03-06_15.16.38.960, -78.15, -68.75, -71.31, -76.79, -52.46, -78.16, -75.85, -67.88, -70.08, -75.18, -53.86, -75.83, 240.00
2020-03-06_15.16.39.960, -76.28, -70.38, -74.50, -76.65, -68.41, -77.13, -77.45, -69.52, -75.71, -77.02, -68.15, -78.23, 240.00
2020-03-06_15.16.40.960, -74.53, -72.28, -74.49, -75.19, -67.93, -74.53, -75.78, -71.76, -75.71, -76.19, -68.78, -75.77, 240.00
2020-03-06_15.16.41.960, -74.52, -73.23, -74.45, -74.76, -68.66, -74.52, -75.77, -73.27, -75.71, -75.92, -68.69, -75.77, 240.00
2020-03-06_15.16.42.960, -74.49, -73.81, -74.45, -74.59, -68.46, -74.50, -75.74, -74.31, -75.70, -75.81, -68.42, -75.75, 240.00
2020-03-06_15.16.43.960, -74.50, -74.13, -74.45, -74.53, -67.81, -74.50, -75.73, -74.95, -75.68, -75.75, -69.04, -75.73, 240.00
2020-03-06_15.16.44.960, -74.51, -74.31, -74.46, -74.51, -68.14, -74.50, -75.77, -75.31, -75.70, -75.75, -69.02, -75.76, 240.00
2020-03-06_15.16.45.960, -74.52, -74.41, -74.47, -74.51, -68.52, -74.52, -75.77, -75.53, -75.74, -75.77, -68.52, -75.78, 240.00
2020-03-06_15.16.46.960, -74.55, -74.44, -74.52, -74.52, -67.46, -74.55, -75.80, -75.65, -75.74, -75.77, -68.04, -75.79, 240.00
2020-03-06_15.16.47.960, -74.53, -74.39, -74.47, -74.53, -68.47, -74.53, -75.78, -75.64, -75.72, -75.77, -69.16, -75.78, 240.00
2020-03-06_15.16.48.960, -74.53, -74.42, -74.48, -74.52, -68.44, -74.53, -75.79, -75.64, -75.72, -75.77, -69.08, -75.78, 240.00
2020-03-06_15.16.49.960, -74.52, -74.41, -74.47, -74.52, -68.51, -74.52, -75.76, -75.62, -75.72, -75.76, -68.85, -75.76, 240.00
2020-03-06_15.16.50.959, -74.57, -74.43, -74.51, -74.52, -67.88, -74.56, -75.79, -75.65, -75.73, -75.76, -68.60, -75.78, 240.00
2020-03-06_15.16.51.960, -74.54, -74.45, -74.51, -74.55, -68.57, -74.55, -75.77, -75.62, -75.71, -75.77, -68.57, -75.78, 240.00
2020-03-06_15.16.52.960, -74.53, -74.42, -74.49, -74.54, -68.24, -74.54, -75.78, -75.62, -75.72, -75.77, -68.45, -75.77, 240.00
2020-03-06_15.16.53.960, -74.53, -74.42, -74.49, -74.53, -68.19, -74.53, -75.76, -75.63, -75.72, -75.76, -68.95, -75.76, 240.00
2020-03-06_15.16.54.960, -75.99, -74.39, -74.48, -74.52, -67.93, -75.37, -77.16, -75.61, -75.70, -75.75, -68.41, -76.57, 240.00
2020-03-06_15.16.55.960, -88.67, -75.16, -83.38, -75.76, -75.00, -87.54, -86.48, -76.36, -83.29, -76.93, -73.58, -85.94, 240.00
2020-03-06_15.16.56.960, -88.62, -77.88, -88.46, -79.73, -75.74, -88.62, -86.25, -78.87, -85.66, -80.54, -74.74, -86.37, 240.00
2020-03-06_15.16.57.960, -66.11, -53.42, -58.33, -66.38, -34.72, -70.54, -67.33, -54.73, -59.60, -67.62, -35.96, -71.92, 240.00
2020-03-06_15.16.58.960, -74.32, -53.44, -59.02, -66.43, -46.29, -67.16, -73.41, -54.75, -60.14, -67.60, -47.90, -67.82, 240.00
2020-03-06_15.16.59.960, -79.58, -56.25, -74.87, -69.72, -58.25, -79.79, -78.15, -57.53, -74.38, -70.46, -60.31, -78.21, 240.00
2020-03-06_15.17.00.960, -76.68, -59.13, -72.28, -73.21, -53.98, -76.45, -75.93, -60.39, -72.04, -73.31, -54.55, -75.83, 241.00
