yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.40.47.791, -79.69, -75.84, -77.30, -81.08, -65.04, -80.75, -79.76, -75.76, -77.25, -81.16, -64.50, -80.85, 0.00
2020-03-06_15.40.48.790, -76.06, -72.94, -74.26, -77.49, -53.84, -76.07, -76.77, -74.16, -75.27, -78.00, -57.63, -76.74, 246.00
2020-03-06_15.40.49.790, -77.15, -65.28, -69.93, -75.86, -49.21, -76.82, -77.58, -66.84, -71.27, -76.62, -50.87, -77.31, 246.00
2020-03-06_15.40.50.785, -84.99, -66.40, -80.07, -77.33, -65.06, -85.10, -76.65, -65.79, -69.83, -76.00, -54.92, -79.19, 245.00
2020-03-06_15.40.51.790, -80.50, -69.23, -73.60, -78.47, -54.36, -80.16, -76.11, -65.85, -69.50, -74.42, -56.00, -74.57, 245.00
2020-03-06_15.40.52.790, -88.56, -71.87, -88.15, -81.11, -75.48, -88.50, -86.90, -68.40, -85.84, -76.94, -73.69, -86.79, 245.00
2020-03-06_15.40.53.789, -88.60, -74.68, -88.40, -84.28, -76.67, -88.60, -86.46, -71.24, -85.58, -80.59, -74.55, -86.48, 245.00
2020-03-06_15.40.54.790, -88.61, -77.41, -88.46, -86.50, -75.35, -88.63, -86.88, -74.01, -86.34, -83.33, -74.32, -86.85, 246.00
2020-03-06_15.40.55.789, -83.13, -71.83, -76.29, -83.19, -58.29, -85.07, -80.70, -70.01, -74.16, -80.83, -57.17, -82.73, 245.00
2020-03-06_15.40.56.790, -88.67, -71.94, -78.12, -83.30, -72.67, -85.06, -85.92, -70.12, -75.59, -80.82, -72.17, -82.39, 245.00
2020-03-06_15.40.57.789, -88.62, -74.74, -88.41, -85.88, -75.46, -88.63, -86.78, -72.89, -85.77, -83.40, -73.05, -86.85, 245.00
2020-03-06_15.40.58.789, -88.62, -77.47, -88.42, -87.40, -75.08, -88.61, -86.84, -75.62, -85.95, -85.18, -73.45, -86.82, 245.00
2020-03-06_15.40.59.789, -88.60, -80.06, -88.35, -88.14, -76.73, -88.59, -87.13, -78.21, -86.63, -86.15, -74.76, -87.05, 246.00
2020-03-06_15.41.00.790, -88.58, -82.41, -88.41, -88.43, -76.91, -88.62, -87.24, -80.61, -86.68, -86.76, -75.27, -87.27, 245.00
2020-03-06_15.41.01.790, -88.56, -84.41, -88.38, -88.51, -76.07, -88.56, -87.14, -82.69, -86.55, -86.97, -74.37, -87.08, 246.00
2020-03-06_15.41.02.790, -88.58, -85.95, -88.40, -88.52, -76.37, -88.57, -87.10, -84.31, -86.74, -87.08, -74.97, -87.16, 245.00
2020-03-06_15.41.03.789, -88.62, -87.03, -88.41, -88.54, -74.15, -88.61, -87.16, -85.45, -86.66, -87.08, -72.56, -87.16, 245.00
2020-03-06_15.41.04.789, -88.62, -87.74, -88.45, -88.59, -76.52, -88.63, -87.16, -85.96, -86.76, -87.08, -74.67, -87.18, 245.00
2020-03-06_15.41.05.789, -88.64, -88.06, -88.41, -88.58, -75.78, -88.66, -87.05, -85.76, -86.55, -87.06, -74.24, -87.08, 245.00
2020-03-06_15.41.06.788, -88.68, -88.06, -88.39, -88.58, -75.69, -88.62, -87.12, -85.30, -86.27, -86.89, -74.40, -87.05, 246.00
2020-03-06_15.41.07.790, -88.55, -88.13, -88.40, -88.59, -76.72, -88.61, -87.23, -86.02, -86.89, -87.10, -75.16, -87.23, 246.00
2020-03-06_15.41.08.790, -88.68, -88.13, -88.39, -88.58, -76.36, -88.65, -87.15, -86.21, -86.82, -87.13, -74.93, -87.16, 246.00
2020-03-06_15.41.09.790, -88.53, -87.94, -88.30, -88.55, -76.10, -88.57, -87.17, -86.00, -86.75, -87.10, -75.15, -87.14, 246.00
2020-03-06_15.41.10.785, -88.57, -87.94, -88.33, -88.53, -74.23, -88.55, -87.08, -85.44, -86.49, -87.03, -73.44, -87.10, 245.00
2020-03-06_15.41.11.790, -88.61, -88.19, -88.45, -88.55, -75.76, -88.60, -87.28, -85.51, -86.52, -87.06, -74.39, -87.22, 246.00
2020-03-06_15.41.12.790, -88.62, -88.22, -88.47, -88.59, -75.71, -88.62, -87.27, -86.01, -86.81, -87.17, -73.98, -87.28, 246.00
2020-03-06_15.41.13.790, -88.62, -88.16, -88.44, -88.59, -76.64, -88.62, -87.24, -85.62, -86.45, -87.16, -75.73, -87.27, 245.00
2020-03-06_15.41.14.789, -88.59, -88.22, -88.41, -88.57, -76.27, -88.58, -86.91, -85.00, -86.08, -86.95, -73.54, -86.96, 245.00
2020-03-06_15.41.15.785, -88.48, -87.73, -88.22, -88.51, -76.04, -88.52, -86.96, -85.01, -86.01, -86.91, -73.34, -87.08, 245.00
2020-03-06_15.41.16.789, -88.64, -87.74, -88.34, -88.52, -76.69, -88.61, -87.24, -85.01, -86.06, -86.90, -75.02, -87.05, 246.00
2020-03-06_15.41.17.789, -88.72, -88.15, -88.53, -88.59, -76.19, -88.72, -87.07, -85.32, -86.42, -86.99, -74.03, -87.11, 246.00
2020-03-06_15.41.18.789, -88.52, -87.93, -88.26, -88.54, -75.60, -88.52, -87.02, -85.80, -86.54, -86.98, -75.31, -86.99, 245.00
2020-03-06_15.41.19.788, -88.64, -88.08, -88.47, -88.57, -76.42, -88.63, -86.94, -85.38, -86.42, -86.97, -74.72, -87.02, 245.00
2020-03-06_15.41.20.789, -88.63, -88.21, -88.47, -88.60, -76.71, -88.64, -87.20, -85.58, -86.75, -87.00, -73.78, -87.15, 245.00
2020-03-06_15.41.21.789, -88.55, -88.15, -88.42, -88.56, -75.64, -88.56, -86.85, -85.60, -86.34, -86.89, -74.28, -86.94, 245.00
2020-03-06_15.41.22.789, -88.62, -88.21, -88.46, -88.56, -75.93, -88.61, -87.05, -85.77, -86.35, -86.87, -74.17, -86.96, 245.00
2020-03-06_15.41.23.786, -88.64, -88.24, -88.51, -88.59, -76.76, -88.65, -86.84, -84.95, -86.01, -86.83, -74.58, -86.90, 245.00
2020-03-06_15.41.24.789, -88.64, -88.05, -88.33, -88.57, -76.63, -88.62, -86.94, -85.12, -86.43, -86.82, -74.92, -86.91, 245.00
2020-03-06_15.41.25.789, -88.58, -87.91, -88.35, -88.59, -75.89, -88.62, -87.04, -85.91, -86.63, -86.88, -75.00, -87.04, 245.00
2020-03-06_15.41.26.789, -88.61, -88.04, -88.42, -88.58, -75.17, -88.58, -87.17, -86.02, -86.73, -86.97, -75.11, -87.13, 245.00
2020-03-06_15.41.27.790, -88.68, -88.25, -88.48, -88.58, -76.31, -88.67, -87.16, -86.05, -86.79, -87.06, -74.87, -87.20, 245.00
2020-03-06_15.41.28.789, -88.57, -87.99, -88.34, -88.58, -75.70, -88.58, -86.66, -83.71, -85.40, -86.69, -73.58, -86.85, 245.00
2020-03-06_15.41.29.789, -88.13, -85.24, -86.91, -88.29, -74.29, -88.22, -83.62, -75.39, -79.22, -84.05, -65.77, -84.84, 245.00
2020-03-06_15.41.30.789, -88.59, -86.20, -87.87, -88.31, -76.39, -88.50, -85.68, -75.40, -79.20, -83.87, -70.61, -84.19, 246.00
2020-03-06_15.41.31.789, -88.60, -87.19, -88.37, -88.48, -74.73, -88.59, -86.74, -77.88, -85.88, -85.11, -73.64, -86.63, 245.00
2020-03-06_15.41.32.789, -88.58, -87.81, -88.37, -88.55, -76.15, -88.60, -87.04, -80.26, -86.62, -86.06, -75.12, -87.04, 245.00
2020-03-06_15.41.33.789, -88.59, -87.97, -88.40, -88.55, -76.08, -88.58, -87.01, -82.37, -86.42, -86.62, -74.93, -86.95, 245.00
2020-03-06_15.41.34.789, -88.59, -88.16, -88.41, -88.56, -74.56, -88.59, -87.08, -84.04, -86.55, -86.89, -74.34, -87.13, 246.00
2020-03-06_15.41.35.789, -88.59, -88.14, -88.41, -88.56, -76.11, -88.58, -86.78, -84.98, -85.93, -86.78, -75.07, -86.80, 245.00
2020-03-06_15.41.36.790, -82.49, -74.50, -77.19, -83.18, -58.06, -82.61, -80.32, -73.83, -76.59, -81.69, -58.50, -80.86, 246.00
2020-03-06_15.41.37.789, -68.65, -58.80, -63.30, -69.84, -36.80, -69.98, -67.42, -59.22, -62.41, -68.64, -38.51, -68.23, 246.00
2020-03-06_15.41.38.789, -74.71, -59.23, -65.12, -69.58, -51.50, -71.91, -74.93, -59.66, -65.86, -68.68, -53.26, -72.32, 246.00
2020-03-06_15.41.39.787, -62.75, -54.25, -57.74, -63.93, -34.22, -62.79, -58.71, -52.44, -54.42, -59.65, -35.71, -58.80, 246.00
2020-03-06_15.41.40.785, -74.46, -56.32, -68.51, -65.19, -42.73, -73.78, -70.14, -53.32, -65.19, -60.95, -43.71, -69.78, 245.00
2020-03-06_15.41.41.789, -82.14, -59.15, -74.15, -68.78, -62.72, -79.82, -77.40, -56.14, -66.79, -64.43, -64.18, -73.69, 244.00
