yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.04.24.397, -84.72, -79.64, -81.88, -86.04, -62.01, -85.68, -83.27, -79.69, -81.20, -84.68, -63.29, -84.18, 235.00
2020-03-06_15.04.25.392, -78.92, -74.74, -75.96, -79.95, -60.98, -79.52, -78.97, -75.45, -76.57, -80.00, -62.85, -79.37, 239.00
2020-03-06_15.04.26.390, -77.36, -71.90, -74.19, -77.72, -53.27, -77.05, -77.55, -72.00, -74.51, -77.94, -55.02, -77.32, 239.00
2020-03-06_15.04.27.390, -71.31, -61.07, -65.27, -71.58, -45.82, -71.57, -64.01, -54.64, -57.59, -64.41, -41.84, -64.46, 239.00
2020-03-06_15.04.28.390, -87.78, -61.84, -73.71, -72.45, -73.92, -81.67, -83.87, -55.29, -64.92, -65.23, -66.99, -73.56, 239.00
2020-03-06_15.04.29.390, -76.33, -64.72, -69.98, -75.63, -48.07, -76.71, -76.55, -58.18, -70.33, -69.49, -47.79, -76.92, 239.00
2020-03-06_15.04.30.389, -88.49, -66.15, -77.70, -76.15, -76.07, -84.73, -84.53, -61.01, -77.78, -72.46, -71.37, -82.82, 239.00
2020-03-06_15.04.31.390, -88.58, -69.02, -88.35, -80.08, -75.89, -88.56, -86.00, -63.88, -84.28, -76.35, -73.59, -85.81, 239.00
2020-03-06_15.04.32.390, -88.56, -71.87, -88.28, -83.48, -74.33, -88.57, -86.11, -66.75, -85.18, -79.96, -72.67, -86.23, 239.00
2020-03-06_15.04.33.390, -88.54, -74.68, -88.36, -85.97, -75.71, -88.54, -86.44, -69.60, -85.17, -82.75, -74.84, -86.26, 239.00
2020-03-06_15.04.34.390, -88.57, -77.41, -88.41, -87.41, -76.13, -88.57, -86.95, -72.41, -86.28, -84.73, -74.87, -86.90, 239.00
2020-03-06_15.04.35.390, -54.27, -51.18, -51.28, -55.29, -47.92, -55.51, -54.27, -51.18, -51.28, -55.29, -47.92, -55.51, 239.00
2020-03-06_15.04.36.390, -51.20, -51.18, -51.20, -52.31, -47.95, -51.21, -51.20, -51.18, -51.20, -52.31, -47.77, -51.21, 239.00
2020-03-06_15.04.37.390, -51.20, -51.18, -51.19, -51.57, -47.90, -51.20, -51.20, -51.18, -51.20, -51.58, -47.91, -51.20, 239.00
2020-03-06_15.04.38.389, -51.20, -51.17, -51.19, -51.33, -47.92, -51.20, -51.20, -51.18, -51.19, -51.33, -47.83, -51.20, 239.00
2020-03-06_15.04.39.390, -51.18, -51.16, -51.18, -51.24, -47.90, -51.19, -51.19, -51.17, -51.18, -51.24, -47.88, -51.19, 239.00
2020-03-06_15.04.40.390, -51.17, -51.15, -51.17, -51.20, -47.88, -51.17, -51.18, -51.16, -51.17, -51.20, -47.85, -51.18, 239.00
2020-03-06_15.04.41.390, -51.18, -51.16, -51.17, -51.19, -47.95, -51.18, -51.18, -51.16, -51.17, -51.19, -47.89, -51.18, 239.00
2020-03-06_15.04.42.390, -51.19, -51.17, -51.18, -51.19, -47.95, -51.19, -51.19, -51.17, -51.19, -51.19, -47.78, -51.19, 239.00
2020-03-06_15.04.43.390, -51.19, -51.17, -51.18, -51.19, -47.95, -51.19, -51.20, -51.18, -51.19, -51.19, -47.92, -51.20, 239.00
2020-03-06_15.04.44.389, -51.19, -51.17, -51.18, -51.19, -47.91, -51.19, -51.20, -51.18, -51.19, -51.19, -47.92, -51.20, 239.00
2020-03-06_15.04.45.390, -51.19, -51.17, -51.18, -51.19, -47.92, -51.19, -51.19, -51.17, -51.18, -51.19, -47.92, -51.19, 239.00
2020-03-06_15.04.46.390, -51.18, -51.16, -51.17, -51.18, -47.87, -51.18, -51.18, -51.16, -51.18, -51.19, -47.84, -51.18, 239.00
2020-03-06_15.04.47.390, -51.18, -51.16, -51.17, -51.18, -47.94, -51.18, -51.18, -51.16, -51.18, -51.18, -47.91, -51.18, 239.00
2020-03-06_15.04.48.390, -51.17, -51.15, -51.17, -51.18, -47.90, -51.17, -51.18, -51.16, -51.17, -51.18, -47.86, -51.18, 239.00
2020-03-06_15.04.49.390, -51.18, -51.15, -51.17, -51.17, -47.91, -51.18, -51.18, -51.16, -51.17, -51.18, -47.89, -51.18, 239.00
2020-03-06_15.04.50.390, -51.82, -51.16, -51.17, -51.17, -47.92, -51.42, -51.82, -51.16, -51.17, -51.18, -47.85, -51.42, 239.00
2020-03-06_15.04.51.390, -88.59, -51.46, -55.96, -51.77, -75.37, -64.98, -87.28, -51.47, -55.97, -51.78, -75.50, -64.98, 239.00
2020-03-06_15.04.52.389, -88.56, -54.35, -86.46, -56.12, -75.97, -88.25, -87.03, -54.36, -85.74, -56.12, -72.83, -86.84, 239.00
2020-03-06_15.04.53.390, -88.69, -57.25, -88.41, -60.45, -76.70, -88.68, -87.30, -57.25, -86.90, -60.46, -75.43, -87.28, 239.00
2020-03-06_15.04.54.390, -88.50, -60.14, -88.30, -64.79, -75.13, -88.52, -87.02, -60.14, -86.58, -64.78, -72.26, -87.07, 239.00
2020-03-06_15.04.55.389, -88.57, -63.03, -88.34, -69.10, -75.44, -88.55, -87.09, -63.03, -86.40, -69.08, -74.81, -87.04, 239.00
2020-03-06_15.04.56.389, -88.62, -65.91, -88.46, -73.36, -76.85, -88.61, -87.11, -65.91, -86.64, -73.31, -74.98, -87.11, 239.00
2020-03-06_15.04.57.390, -79.42, -66.47, -71.35, -77.48, -46.43, -81.47, -80.50, -68.16, -72.99, -77.35, -48.46, -82.32, 239.00
2020-03-06_15.04.58.390, -73.25, -60.03, -64.79, -72.40, -41.67, -72.88, -72.67, -60.50, -65.27, -72.37, -44.35, -72.45, 239.00
2020-03-06_15.04.59.390, -74.33, -62.10, -67.93, -73.32, -45.09, -74.36, -74.74, -62.52, -68.27, -73.51, -46.98, -74.77, 239.00
2020-03-06_15.05.00.389, -81.12, -64.77, -78.60, -75.22, -58.30, -81.83, -79.00, -65.20, -75.33, -75.30, -56.44, -79.36, 239.00
2020-03-06_15.05.01.384, -79.80, -67.57, -77.54, -77.84, -51.69, -79.45, -74.87, -63.92, -68.38, -74.53, -54.28, -75.04, 239.00
2020-03-06_15.05.02.386, -83.10, -70.23, -79.91, -79.10, -54.11, -82.86, -79.67, -64.62, -74.66, -75.32, -54.40, -79.05, 240.00
2020-03-06_15.05.03.385, -81.40, -72.91, -77.65, -80.87, -48.48, -81.79, -77.36, -67.02, -71.30, -76.57, -50.77, -78.19, 240.00
2020-03-06_15.05.04.390, -83.84, -73.73, -80.26, -81.07, -66.07, -83.33, -82.05, -67.24, -74.37, -76.83, -68.66, -80.03, 240.00
2020-03-06_15.05.05.386, -81.06, -76.10, -77.53, -81.09, -55.41, -81.78, -79.10, -70.00, -74.84, -78.64, -57.81, -80.30, 239.00
