yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.42.48.877, -73.69, -62.87, -67.47, -74.72, -43.28, -74.51, -74.45, -64.16, -68.44, -75.51, -45.37, -75.22, 244.00
2020-03-06_15.42.49.870, -75.47, -63.40, -71.42, -74.15, -55.71, -74.62, -75.93, -64.67, -72.57, -74.98, -56.88, -75.30, 244.00
2020-03-06_15.42.50.869, -75.99, -63.71, -68.07, -73.24, -45.98, -75.84, -76.08, -65.19, -69.31, -74.10, -47.70, -75.97, 244.00
2020-03-06_15.42.51.870, -70.93, -58.27, -62.94, -70.50, -40.05, -70.93, -71.24, -59.45, -63.76, -70.93, -40.76, -71.19, 244.00
2020-03-06_15.42.52.870, -88.54, -60.42, -86.00, -73.51, -75.92, -88.12, -86.89, -61.59, -85.10, -73.74, -74.11, -86.63, 244.00
2020-03-06_15.42.53.870, -88.54, -63.31, -88.36, -77.62, -76.12, -88.57, -86.54, -64.47, -85.60, -77.73, -73.63, -86.56, 244.00
2020-03-06_15.42.54.870, -85.28, -66.19, -79.46, -81.40, -61.37, -85.71, -82.41, -67.34, -77.68, -81.19, -60.81, -82.84, 245.00
2020-03-06_15.42.55.870, -88.55, -69.03, -84.35, -83.18, -75.07, -87.76, -86.04, -70.10, -81.80, -81.64, -72.42, -85.20, 244.00
2020-03-06_15.42.56.869, -88.67, -71.88, -88.35, -85.76, -76.22, -88.65, -86.95, -72.89, -86.08, -83.95, -74.74, -86.84, 244.00
2020-03-06_15.42.57.869, -88.62, -74.69, -88.44, -87.35, -74.89, -88.62, -87.12, -75.63, -86.74, -85.62, -74.57, -87.19, 244.00
2020-03-06_15.42.58.869, -88.62, -77.42, -88.43, -88.09, -76.12, -88.59, -87.15, -78.24, -86.69, -86.48, -75.71, -87.12, 245.00
2020-03-06_15.42.59.870, -88.70, -80.01, -88.52, -88.42, -75.95, -88.69, -87.29, -80.64, -86.92, -86.88, -75.22, -87.25, 245.00
2020-03-06_15.43.00.869, -88.57, -82.38, -88.32, -88.54, -75.19, -88.58, -87.39, -82.72, -87.06, -87.13, -75.37, -87.37, 245.00
2020-03-06_15.43.01.869, -88.66, -84.39, -88.44, -88.58, -73.75, -88.68, -86.98, -84.40, -86.60, -87.07, -75.41, -87.03, 244.00
2020-03-06_15.43.02.869, -88.60, -85.96, -88.43, -88.58, -76.57, -88.59, -86.94, -85.47, -86.49, -86.98, -73.57, -87.01, 245.00
2020-03-06_15.43.03.869, -88.65, -87.05, -88.42, -88.58, -76.31, -88.64, -87.25, -85.52, -86.49, -86.96, -75.05, -87.15, 244.00
2020-03-06_15.43.04.869, -88.62, -87.76, -88.43, -88.60, -74.82, -88.61, -87.21, -86.27, -86.86, -87.13, -74.78, -87.24, 244.00
2020-03-06_15.43.05.870, -88.60, -88.09, -88.40, -88.58, -75.55, -88.63, -87.18, -85.79, -86.52, -87.08, -74.90, -87.18, 244.00
2020-03-06_15.43.06.870, -88.58, -88.09, -88.30, -88.56, -76.82, -88.57, -86.95, -85.91, -86.48, -86.98, -74.99, -86.99, 244.00
2020-03-06_15.43.07.870, -88.61, -88.13, -88.45, -88.57, -74.19, -88.62, -87.03, -84.06, -86.09, -86.95, -72.54, -87.13, 244.00
2020-03-06_15.43.08.869, -88.52, -87.51, -88.18, -88.52, -75.94, -88.49, -84.64, -75.18, -79.28, -84.72, -65.89, -84.55, 245.00
2020-03-06_15.43.09.869, -86.81, -80.99, -83.10, -86.90, -71.87, -87.07, -82.66, -74.94, -77.31, -82.71, -67.20, -83.17, 245.00
2020-03-06_15.43.10.869, -88.63, -81.33, -86.35, -87.11, -76.60, -88.28, -86.83, -75.32, -81.74, -83.08, -74.93, -85.76, 245.00
2020-03-06_15.43.11.869, -88.61, -83.52, -88.30, -88.00, -76.76, -88.59, -87.09, -77.93, -86.43, -85.06, -74.87, -87.04, 244.00
2020-03-06_15.43.12.869, -88.57, -85.30, -88.38, -88.40, -75.56, -88.60, -87.14, -80.36, -86.66, -86.25, -74.45, -87.15, 245.00
2020-03-06_15.43.13.870, -88.61, -86.60, -88.35, -88.50, -74.39, -88.59, -87.01, -82.47, -86.36, -86.78, -74.38, -87.03, 245.00
2020-03-06_15.43.14.871, -88.56, -87.46, -88.37, -88.52, -75.28, -88.54, -87.01, -84.11, -86.63, -86.87, -74.66, -86.98, 244.00
2020-03-06_15.43.15.869, -88.60, -87.96, -88.47, -88.57, -76.11, -88.63, -87.05, -85.29, -86.41, -86.95, -75.17, -87.15, 246.00
2020-03-06_15.43.16.865, -88.56, -87.88, -88.30, -88.54, -75.34, -88.54, -87.34, -85.33, -86.43, -86.98, -75.15, -87.26, 245.00
2020-03-06_15.43.17.869, -88.62, -88.12, -88.45, -88.56, -75.60, -88.63, -86.90, -84.43, -85.99, -86.92, -73.94, -86.88, 244.00
2020-03-06_15.43.18.870, -88.60, -88.08, -88.35, -88.56, -75.82, -88.59, -86.88, -84.95, -86.39, -86.89, -74.30, -86.93, 244.00
2020-03-06_15.43.19.870, -87.88, -83.55, -85.68, -87.97, -72.28, -87.93, -84.95, -78.96, -81.70, -85.31, -68.30, -85.06, 245.00
2020-03-06_15.43.20.869, -88.59, -84.12, -88.12, -88.09, -75.80, -88.54, -85.26, -79.63, -82.57, -84.60, -71.18, -85.15, 245.00
2020-03-06_15.43.21.869, -88.65, -85.75, -88.50, -88.40, -74.95, -88.65, -86.53, -81.58, -85.40, -85.64, -73.79, -86.58, 245.00
2020-03-06_15.43.22.869, -83.94, -77.39, -79.69, -84.75, -57.29, -84.07, -82.07, -77.56, -79.46, -83.02, -58.90, -82.52, 245.00
2020-03-06_15.43.23.869, -85.93, -78.67, -84.16, -85.34, -70.40, -86.26, -82.36, -76.63, -79.47, -82.38, -67.48, -82.32, 244.00
2020-03-06_15.43.24.869, -72.30, -61.96, -65.52, -73.16, -43.23, -72.49, -73.21, -63.61, -67.09, -74.12, -45.25, -73.38, 244.00
2020-03-06_15.43.25.866, -74.42, -63.22, -69.34, -73.33, -48.05, -74.24, -72.78, -61.81, -66.13, -72.20, -48.60, -72.69, 244.00
2020-03-06_15.43.26.865, -78.27, -65.82, -72.51, -74.67, -44.69, -78.92, -77.58, -63.39, -72.74, -73.86, -45.96, -78.21, 246.00
2020-03-06_15.43.27.870, -81.13, -68.50, -74.10, -76.39, -44.39, -79.68, -76.48, -65.07, -69.24, -74.21, -46.76, -75.89, 245.00
