yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.22.55.836, -76.58, -68.95, -71.98, -78.17, -55.59, -77.15, -76.87, -69.70, -72.28, -78.52, -55.64, -77.38, 242.00
2020-03-06_15.22.56.829, -76.83, -68.87, -72.41, -76.31, -52.24, -76.47, -77.23, -70.43, -73.61, -76.95, -54.23, -77.00, 242.00
2020-03-06_15.22.57.830, -81.96, -70.11, -76.48, -77.32, -54.03, -81.62, -78.90, -71.59, -76.62, -77.61, -55.52, -78.76, 242.00
2020-03-06_15.22.58.829, -80.30, -69.89, -73.22, -78.41, -52.33, -80.25, -79.06, -71.15, -74.09, -77.51, -53.39, -78.89, 242.00
2020-03-06_15.22.59.829, -88.63, -71.59, -87.66, -80.71, -74.46, -88.49, -87.08, -72.67, -85.18, -79.24, -74.16, -86.78, 242.00
2020-03-06_15.23.00.830, -88.69, -74.41, -88.45, -83.99, -75.68, -88.70, -86.37, -75.42, -85.16, -82.51, -73.70, -86.39, 242.00
2020-03-06_15.23.01.829, -88.57, -77.15, -88.37, -86.34, -75.87, -88.58, -86.80, -78.00, -86.04, -84.59, -74.06, -86.81, 242.00
2020-03-06_15.23.02.829, -82.72, -70.66, -75.46, -82.76, -57.82, -83.71, -80.94, -69.06, -73.85, -81.05, -56.17, -81.93, 242.00
2020-03-06_15.23.03.829, -88.57, -71.00, -79.95, -83.11, -75.99, -86.06, -86.00, -69.40, -78.10, -81.31, -72.02, -83.91, 242.00
2020-03-06_15.23.04.829, -88.67, -73.82, -88.50, -85.72, -76.57, -88.65, -87.26, -72.20, -85.60, -83.69, -75.27, -87.02, 242.00
2020-03-06_15.23.05.829, -88.58, -76.58, -88.38, -87.34, -76.03, -88.59, -87.02, -74.97, -86.69, -85.60, -73.17, -87.08, 242.00
2020-03-06_15.23.06.829, -87.43, -79.23, -83.39, -87.28, -69.69, -88.51, -86.56, -77.62, -84.07, -86.32, -71.24, -87.04, 242.00
2020-03-06_15.23.07.829, -76.82, -76.69, -76.79, -78.60, -69.63, -77.26, -78.38, -78.23, -78.35, -79.99, -69.97, -78.79, 242.00
2020-03-06_15.23.08.830, -76.88, -76.74, -76.84, -77.44, -69.17, -76.88, -78.41, -78.16, -78.33, -78.93, -69.99, -78.41, 242.00
2020-03-06_15.23.09.829, -76.87, -76.73, -76.80, -77.07, -69.57, -76.86, -78.38, -78.21, -78.30, -78.57, -70.23, -78.39, 242.00
2020-03-06_15.23.10.830, -76.88, -76.77, -76.83, -76.95, -69.20, -76.88, -78.44, -78.25, -78.37, -78.49, -70.46, -78.43, 242.00
2020-03-06_15.23.11.829, -76.84, -76.69, -76.77, -76.88, -68.73, -76.85, -78.38, -78.19, -78.30, -78.42, -70.16, -78.39, 242.00
2020-03-06_15.23.12.830, -76.86, -76.73, -76.80, -76.86, -69.87, -76.85, -78.39, -78.25, -78.34, -78.40, -70.07, -78.40, 242.00
2020-03-06_15.23.13.830, -76.88, -76.73, -76.81, -76.87, -68.74, -76.89, -78.41, -78.16, -78.31, -78.40, -70.08, -78.43, 242.00
2020-03-06_15.23.14.829, -76.92, -76.73, -76.81, -76.87, -69.69, -76.90, -78.45, -78.16, -78.29, -78.39, -70.29, -78.42, 242.00
2020-03-06_15.23.15.829, -76.99, -76.82, -76.92, -76.91, -69.77, -77.00, -78.50, -78.30, -78.44, -78.44, -70.56, -78.51, 242.00
2020-03-06_15.23.16.829, -76.87, -76.74, -76.82, -76.90, -69.68, -76.89, -78.41, -78.25, -78.34, -78.43, -70.52, -78.43, 242.00
2020-03-06_15.23.17.829, -76.86, -76.73, -76.82, -76.87, -69.63, -76.86, -78.39, -78.23, -78.32, -78.40, -70.38, -78.38, 242.00
2020-03-06_15.23.18.829, -76.86, -76.76, -76.83, -76.86, -69.71, -76.86, -78.40, -78.25, -78.35, -78.39, -69.91, -78.40, 242.00
2020-03-06_15.23.19.829, -76.91, -76.77, -76.83, -76.86, -68.76, -76.90, -78.44, -78.24, -78.34, -78.39, -70.40, -78.43, 242.00
2020-03-06_15.23.20.830, -76.99, -76.82, -76.91, -76.90, -69.98, -76.97, -78.48, -78.28, -78.39, -78.42, -69.51, -78.48, 242.00
2020-03-06_15.23.21.829, -76.93, -76.80, -76.86, -76.94, -69.31, -76.96, -78.43, -78.24, -78.36, -78.44, -69.72, -78.44, 242.00
2020-03-06_15.23.22.830, -80.94, -76.72, -76.79, -76.90, -69.69, -79.81, -81.89, -78.19, -78.29, -78.41, -70.80, -80.96, 242.00
2020-03-06_15.23.23.829, -88.57, -78.39, -88.25, -79.49, -75.45, -88.51, -86.82, -79.70, -86.34, -80.69, -74.73, -86.79, 242.00
2020-03-06_15.23.24.829, -88.68, -80.91, -88.53, -83.00, -76.06, -88.70, -86.79, -81.86, -86.29, -83.51, -74.23, -86.80, 242.00
2020-03-06_15.23.25.829, -88.26, -83.17, -86.92, -85.69, -72.34, -88.33, -85.91, -83.39, -84.74, -85.27, -72.47, -86.07, 242.00
2020-03-06_15.23.26.829, -88.16, -84.26, -86.48, -87.07, -69.87, -88.11, -83.62, -75.13, -78.83, -83.55, -65.40, -83.65, 242.00
2020-03-06_15.23.27.829, -88.54, -84.89, -88.36, -87.72, -76.15, -88.55, -86.60, -76.03, -84.82, -84.13, -74.06, -86.36, 242.00
2020-03-06_15.23.28.829, -76.15, -64.00, -68.36, -76.36, -48.04, -76.49, -74.51, -63.81, -67.99, -75.21, -48.61, -75.00, 242.00
2020-03-06_15.23.29.829, -72.80, -62.22, -66.75, -72.57, -44.52, -72.76, -72.26, -62.49, -66.88, -72.20, -46.57, -72.12, 242.00
2020-03-06_15.23.30.829, -76.35, -63.55, -71.87, -74.16, -51.46, -76.58, -75.68, -63.82, -70.84, -73.56, -52.11, -75.90, 242.00
2020-03-06_15.23.31.827, -73.70, -66.22, -71.95, -73.74, -47.71, -73.65, -69.65, -60.87, -65.05, -70.79, -49.48, -69.69, 242.00
2020-03-06_15.23.32.825, -75.40, -66.43, -71.47, -74.44, -41.64, -76.39, -72.37, -62.87, -66.64, -71.37, -43.70, -74.51, 242.00
2020-03-06_15.23.33.829, -83.72, -67.08, -71.90, -74.63, -68.43, -79.26, -80.85, -62.87, -66.68, -71.36, -65.78, -74.65, 227.00
