yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.13.24.267, -79.55, -72.91, -76.01, -80.89, -53.70, -80.65, -79.80, -74.14, -76.88, -81.19, -55.77, -80.79, 239.00
2020-03-06_15.13.25.260, -74.60, -70.01, -72.48, -75.75, -54.94, -74.52, -75.28, -70.88, -73.20, -76.39, -55.60, -75.21, 239.00
2020-03-06_15.13.26.260, -79.06, -68.34, -72.82, -76.43, -48.26, -78.65, -78.50, -69.75, -73.89, -76.91, -49.61, -78.28, 239.00
2020-03-06_15.13.27.260, -87.96, -69.73, -83.46, -78.01, -72.69, -87.08, -84.04, -71.04, -80.02, -77.94, -65.36, -84.33, 239.00
2020-03-06_15.13.28.260, -80.49, -69.69, -73.22, -78.80, -51.85, -80.47, -80.13, -70.84, -73.74, -78.54, -53.89, -79.71, 238.00
2020-03-06_15.13.29.260, -88.52, -71.96, -88.31, -81.82, -75.92, -88.53, -86.92, -73.03, -86.31, -81.09, -75.01, -86.93, 238.00
2020-03-06_15.13.30.260, -88.57, -74.76, -88.29, -84.80, -74.46, -88.57, -86.91, -75.76, -86.37, -83.80, -74.31, -86.94, 239.00
2020-03-06_15.13.31.260, -46.73, -45.20, -45.23, -48.17, -41.38, -47.57, -48.10, -46.58, -46.60, -49.54, -42.73, -48.94, 239.00
2020-03-06_15.13.32.260, -45.22, -45.20, -45.21, -46.09, -42.12, -45.22, -46.60, -46.58, -46.59, -47.47, -43.42, -46.60, 239.00
2020-03-06_15.13.33.260, -45.24, -45.21, -45.23, -45.53, -42.10, -45.24, -46.62, -46.59, -46.61, -46.91, -43.46, -46.62, 239.00
2020-03-06_15.13.34.259, -45.23, -45.22, -45.22, -45.34, -42.12, -45.23, -46.61, -46.59, -46.60, -46.72, -43.43, -46.61, 239.00
2020-03-06_15.13.35.260, -45.25, -45.22, -45.23, -45.28, -42.10, -45.24, -46.62, -46.60, -46.61, -46.66, -43.45, -46.62, 239.00
2020-03-06_15.13.36.260, -45.24, -45.23, -45.24, -45.26, -42.10, -45.24, -46.62, -46.61, -46.61, -46.63, -43.45, -46.62, 239.00
2020-03-06_15.13.37.260, -45.24, -45.23, -45.23, -45.25, -42.12, -45.24, -46.62, -46.60, -46.61, -46.62, -43.45, -46.62, 238.00
2020-03-06_15.13.38.260, -45.23, -45.21, -45.22, -45.23, -42.07, -45.23, -46.60, -46.59, -46.60, -46.61, -43.41, -46.60, 239.00
2020-03-06_15.13.39.259, -45.23, -45.21, -45.22, -45.23, -42.08, -45.23, -46.61, -46.59, -46.60, -46.61, -43.43, -46.61, 239.00
2020-03-06_15.13.40.259, -45.20, -45.18, -45.18, -45.21, -42.06, -45.20, -46.58, -46.55, -46.56, -46.59, -43.39, -46.58, 239.00
2020-03-06_15.13.41.260, -45.18, -45.17, -45.17, -45.19, -42.05, -45.18, -46.56, -46.54, -46.55, -46.57, -43.37, -46.56, 239.00
2020-03-06_15.13.42.260, -45.17, -45.15, -45.16, -45.18, -42.04, -45.17, -46.55, -46.53, -46.54, -46.55, -43.40, -46.55, 239.00
2020-03-06_15.13.43.255, -45.17, -45.15, -45.16, -45.17, -42.06, -45.17, -46.55, -46.53, -46.54, -46.55, -43.37, -46.54, 239.00
2020-03-06_15.13.44.254, -45.18, -45.16, -45.17, -45.17, -42.04, -45.18, -46.56, -46.54, -46.55, -46.55, -43.42, -46.55, 239.00
2020-03-06_15.13.45.254, -45.18, -45.17, -45.18, -45.18, -42.06, -45.18, -46.56, -46.55, -46.56, -46.55, -43.38, -46.56, 238.00
2020-03-06_15.13.46.259, -47.01, -45.15, -45.16, -45.17, -42.01, -46.30, -48.39, -46.53, -46.54, -46.55, -43.40, -47.68, 239.00
2020-03-06_15.13.47.260, -88.56, -46.05, -57.19, -46.68, -75.43, -66.20, -86.94, -47.43, -58.57, -48.05, -74.58, -67.56, 239.00
2020-03-06_15.13.48.260, -88.65, -48.95, -86.97, -51.02, -76.09, -88.41, -87.16, -50.33, -86.10, -52.40, -73.39, -87.02, 238.00
2020-03-06_15.13.49.260, -88.48, -51.84, -88.03, -55.36, -74.60, -88.50, -86.57, -53.22, -85.04, -56.74, -71.91, -86.74, 239.00
2020-03-06_15.13.50.259, -88.66, -54.74, -88.41, -59.70, -76.49, -88.64, -87.07, -56.11, -85.87, -61.07, -75.57, -86.92, 239.00
2020-03-06_15.13.51.260, -79.31, -57.63, -71.69, -64.03, -46.55, -80.53, -79.96, -59.01, -73.05, -65.40, -47.86, -81.09, 239.00
2020-03-06_15.13.52.260, -76.95, -60.50, -68.94, -68.10, -44.95, -81.35, -76.69, -61.86, -69.89, -69.42, -46.90, -79.52, 239.00
2020-03-06_15.13.53.260, -81.58, -63.34, -68.85, -71.14, -56.21, -76.65, -78.40, -64.66, -69.72, -72.09, -55.70, -76.04, 239.00
2020-03-06_15.13.54.259, -75.45, -66.10, -71.04, -74.64, -48.76, -77.01, -75.09, -67.26, -70.74, -74.48, -50.11, -76.42, 239.00
2020-03-06_15.13.55.257, -71.03, -60.86, -65.09, -71.12, -40.72, -70.62, -67.95, -60.01, -62.62, -69.02, -41.37, -67.78, 240.00
2020-03-06_15.13.56.255, -80.44, -63.35, -75.72, -72.97, -51.79, -80.06, -74.78, -62.28, -71.36, -70.38, -52.15, -75.16, 239.00
2020-03-06_15.13.57.259, -78.21, -65.75, -70.56, -74.68, -45.52, -78.03, -74.83, -62.98, -66.89, -71.16, -46.30, -74.06, 239.00
