yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.27.36.516, -74.96, -66.12, -70.25, -76.77, -46.33, -75.52, -75.50, -67.24, -70.92, -77.40, -47.56, -76.02, 242.00
2020-03-06_15.27.37.510, -74.64, -66.78, -69.81, -74.14, -50.79, -74.30, -75.42, -68.50, -71.28, -75.05, -52.25, -75.15, 242.00
2020-03-06_15.27.38.509, -78.46, -66.10, -70.93, -75.85, -49.43, -78.32, -78.63, -67.59, -72.32, -76.59, -50.85, -78.48, 242.00
2020-03-06_15.27.39.510, -80.37, -67.12, -73.41, -77.35, -53.28, -80.29, -76.04, -68.59, -70.81, -75.44, -53.54, -76.12, 242.00
2020-03-06_15.27.40.510, -88.55, -69.82, -84.21, -78.93, -76.35, -87.71, -86.31, -69.64, -79.90, -76.50, -74.07, -84.82, 242.00
2020-03-06_15.27.41.510, -88.62, -72.66, -88.44, -82.52, -76.26, -88.61, -86.15, -72.44, -85.02, -80.11, -74.21, -86.12, 242.00
2020-03-06_15.27.42.510, -88.61, -75.45, -88.36, -85.34, -74.27, -88.60, -85.99, -75.16, -85.19, -82.88, -73.71, -86.12, 242.00
2020-03-06_15.27.43.510, -85.44, -75.94, -80.21, -85.13, -62.53, -85.46, -82.98, -75.50, -78.76, -82.86, -62.73, -82.90, 242.00
2020-03-06_15.27.44.509, -88.68, -77.85, -88.29, -86.41, -76.15, -88.64, -86.63, -77.25, -85.60, -83.92, -74.26, -86.60, 242.00
2020-03-06_15.27.45.509, -88.61, -80.42, -88.49, -87.70, -76.85, -88.62, -86.62, -79.70, -86.24, -85.44, -74.77, -86.64, 242.00
2020-03-06_15.27.46.510, -88.56, -82.73, -88.42, -88.25, -75.55, -88.58, -86.17, -81.83, -85.37, -85.93, -74.51, -86.16, 242.00
2020-03-06_15.27.47.509, -88.61, -84.67, -88.39, -88.44, -75.60, -88.59, -86.16, -83.44, -85.30, -86.02, -74.17, -86.18, 242.00
2020-03-06_15.27.48.510, -75.11, -61.20, -66.38, -75.12, -50.06, -86.48, -71.98, -58.04, -63.21, -71.99, -47.27, -83.97, 242.00
2020-03-06_15.27.49.509, -56.65, -56.63, -56.66, -58.61, -51.46, -57.17, -53.38, -53.35, -53.39, -55.34, -48.18, -53.89, 242.00
2020-03-06_15.27.50.509, -56.68, -56.64, -56.66, -57.30, -53.14, -56.68, -53.40, -53.36, -53.38, -54.02, -50.01, -53.40, 242.00
2020-03-06_15.27.51.510, -56.68, -56.64, -56.67, -56.90, -53.18, -56.68, -53.40, -53.36, -53.39, -53.62, -50.01, -53.40, 242.00
2020-03-06_15.27.52.506, -56.68, -56.64, -56.67, -56.76, -53.17, -56.68, -53.40, -53.36, -53.39, -53.48, -49.88, -53.40, 242.00
2020-03-06_15.27.53.510, -56.68, -56.65, -56.67, -56.71, -53.03, -56.68, -53.41, -53.37, -53.40, -53.43, -49.97, -53.41, 242.00
2020-03-06_15.27.54.509, -56.69, -56.65, -56.68, -56.70, -53.25, -56.69, -53.41, -53.38, -53.40, -53.42, -50.03, -53.41, 242.00
2020-03-06_15.27.55.509, -56.68, -56.64, -56.67, -56.69, -53.21, -56.69, -53.41, -53.37, -53.40, -53.41, -50.02, -53.41, 242.00
2020-03-06_15.27.56.510, -56.69, -56.65, -56.67, -56.69, -53.19, -56.69, -53.42, -53.37, -53.40, -53.41, -50.07, -53.42, 242.00
2020-03-06_15.27.57.510, -56.69, -56.65, -56.68, -56.69, -53.15, -56.69, -53.41, -53.38, -53.40, -53.41, -50.00, -53.41, 242.00
2020-03-06_15.27.58.509, -56.68, -56.65, -56.67, -56.69, -53.14, -56.68, -53.41, -53.37, -53.40, -53.41, -50.05, -53.41, 242.00
2020-03-06_15.27.59.509, -56.68, -56.64, -56.67, -56.68, -53.03, -56.68, -53.40, -53.36, -53.39, -53.40, -49.96, -53.40, 242.00
2020-03-06_15.28.00.509, -56.68, -56.63, -56.66, -56.68, -53.15, -56.68, -53.40, -53.36, -53.38, -53.40, -49.95, -53.40, 242.00
2020-03-06_15.28.01.509, -56.68, -56.64, -56.66, -56.67, -53.15, -56.68, -53.40, -53.36, -53.39, -53.40, -50.00, -53.40, 242.00
2020-03-06_15.28.02.510, -56.67, -56.63, -56.65, -56.67, -53.08, -56.67, -53.39, -53.35, -53.38, -53.39, -50.03, -53.39, 242.00
2020-03-06_15.28.03.509, -56.67, -56.62, -56.65, -56.67, -53.13, -56.67, -53.39, -53.35, -53.38, -53.39, -50.05, -53.39, 242.00
2020-03-06_15.28.04.505, -61.22, -56.63, -56.66, -56.67, -53.21, -59.90, -57.94, -53.36, -53.38, -53.39, -50.04, -56.63, 242.00
2020-03-06_15.28.05.509, -88.57, -58.41, -78.75, -59.49, -75.17, -85.41, -87.05, -55.14, -75.64, -56.21, -75.58, -82.90, 242.00
2020-03-06_15.28.06.509, -88.64, -61.30, -88.36, -63.82, -76.79, -88.61, -87.32, -58.03, -86.64, -60.55, -74.29, -87.22, 242.00
2020-03-06_15.28.07.509, -88.55, -64.19, -88.33, -68.14, -76.24, -88.56, -87.19, -60.92, -86.80, -64.88, -74.52, -87.24, 242.00
2020-03-06_15.28.08.509, -88.42, -67.07, -87.70, -72.41, -74.21, -88.46, -84.86, -63.81, -81.22, -69.17, -70.36, -85.82, 242.00
2020-03-06_15.28.09.509, -88.46, -69.94, -87.88, -76.57, -75.47, -88.43, -85.14, -66.67, -80.27, -73.29, -69.24, -84.32, 242.00
