 yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.42.27.200, -88.37, -85.39, -87.29, -88.23, -69.20, -88.24, -84.34, -81.10, -82.18, -84.31, -70.45, -84.17, 245.00
2020-03-06_15.42.28.200, -88.57, -86.13, -88.29, -88.37, -75.89, -88.57, -86.04, -81.79, -84.19, -84.71, -73.88, -85.89, 245.00
2020-03-06_15.42.29.200, -88.27, -86.85, -87.77, -88.32, -75.51, -88.30, -86.12, -83.11, -85.24, -85.58, -74.50, -86.16, 245.00
2020-03-06_15.42.30.200, -88.57, -87.19, -88.38, -88.35, -76.53, -88.54, -86.45, -82.33, -84.71, -85.93, -73.13, -86.40, 245.00
2020-03-06_15.42.31.200, -88.55, -87.81, -88.37, -88.47, -76.58, -88.53, -86.64, -83.03, -86.01, -86.25, -74.83, -86.63, 245.00
2020-03-06_15.42.32.200, -83.62, -77.03, -79.97, -84.14, -59.74, -84.04, -82.08, -76.80, -78.95, -82.66, -62.10, -82.58, 245.00
2020-03-06_15.42.33.200, -86.19, -77.74, -83.46, -84.44, -67.55, -86.08, -81.12, -74.56, -77.52, -80.95, -62.77, -80.98, 245.00
2020-03-06_15.42.34.199, -76.39, -69.76, -73.36, -77.54, -50.56, -77.52, -75.99, -71.28, -73.59, -77.12, -52.89, -76.91, 246.00
2020-03-06_15.42.35.196, -64.63, -53.25, -57.92, -64.95, -29.55, -64.65, -63.51, -53.16, -56.76, -63.83, -31.16, -63.55, 246.00
2020-03-06_15.42.36.195, -78.82, -54.66, -72.27, -66.78, -46.15, -77.41, -77.16, -54.50, -71.49, -65.66, -47.34, -76.12, 245.00
2020-03-06_15.42.37.200, -80.67, -57.53, -72.97, -70.66, -44.34, -79.75, -77.73, -57.37, -70.68, -69.48, -46.70, -77.03, 246.00
