yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.09.46.927, -78.79, -74.86, -76.35, -80.23, -59.88, -79.87, -78.49, -73.85, -75.77, -79.85, -61.82, -79.64, 240.00
2020-03-06_15.09.47.921, -75.71, -71.91, -73.83, -76.77, -54.61, -75.51, -75.71, -70.33, -72.84, -76.69, -57.08, -75.45, 240.00
2020-03-06_15.09.48.920, -74.83, -62.71, -67.44, -74.05, -40.52, -74.70, -75.28, -64.38, -68.96, -74.80, -42.66, -75.19, 239.00
2020-03-06_15.09.49.921, -87.46, -64.55, -83.34, -76.17, -69.06, -86.70, -84.07, -66.18, -81.09, -76.35, -66.32, -83.56, 239.00
2020-03-06_15.09.50.920, -80.34, -67.43, -73.20, -78.13, -51.64, -80.32, -78.18, -69.00, -73.31, -77.23, -52.93, -78.12, 238.00
2020-03-06_15.09.51.920, -88.55, -70.15, -88.26, -80.86, -74.26, -88.50, -86.57, -71.50, -85.91, -79.48, -73.34, -86.50, 239.00
2020-03-06_15.09.52.921, -88.38, -72.98, -87.60, -84.10, -76.20, -88.40, -86.37, -74.27, -84.55, -82.59, -72.90, -86.47, 238.00
2020-03-06_15.09.53.920, -88.58, -75.76, -88.41, -86.29, -76.60, -88.57, -87.07, -76.91, -86.10, -84.53, -74.16, -86.92, 239.00
2020-03-06_15.09.54.920, -87.66, -78.45, -86.41, -87.46, -74.15, -87.95, -86.05, -79.43, -85.20, -85.92, -74.46, -86.30, 239.00
2020-03-06_15.09.55.920, -86.36, -80.86, -86.23, -86.73, -74.39, -86.38, -85.23, -81.50, -84.87, -85.47, -74.14, -85.29, 239.00
2020-03-06_15.09.56.920, -86.24, -82.73, -85.96, -86.42, -74.50, -86.23, -85.29, -82.95, -84.76, -85.33, -73.40, -85.22, 239.00
2020-03-06_15.09.57.920, -86.36, -84.10, -86.16, -86.37, -74.83, -86.37, -85.23, -83.89, -84.59, -85.21, -73.73, -85.27, 239.00
