yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.07.05.976, -84.41, -81.03, -82.20, -85.79, -68.31, -85.34, -82.35, -77.95, -79.76, -83.72, -69.04, -83.31, 234.00
2020-03-06_15.07.06.971, -77.03, -74.12, -75.66, -78.51, -58.32, -77.61, -77.11, -74.51, -75.86, -78.45, -58.08, -77.57, 239.00
2020-03-06_15.07.07.970, -76.36, -65.54, -70.15, -76.26, -46.69, -78.29, -77.05, -67.10, -71.51, -76.91, -48.70, -78.42, 239.00
2020-03-06_15.07.08.970, -84.55, -65.55, -70.38, -76.26, -62.71, -78.30, -81.98, -67.10, -71.71, -76.91, -61.54, -78.41, 239.00
2020-03-06_15.07.09.970, -77.52, -64.87, -69.56, -76.88, -48.45, -82.83, -77.94, -65.89, -70.43, -77.29, -50.68, -82.25, 239.00
2020-03-06_15.07.10.965, -81.08, -64.88, -69.14, -75.86, -51.26, -76.92, -79.96, -65.90, -69.76, -76.15, -52.71, -76.94, 239.00
2020-03-06_15.07.11.969, -88.63, -67.63, -88.42, -79.67, -74.98, -88.61, -86.70, -68.61, -85.87, -79.48, -74.87, -86.73, 239.00
2020-03-06_15.07.12.970, -88.54, -70.50, -88.22, -83.15, -75.77, -88.53, -85.81, -71.44, -82.71, -82.58, -70.85, -85.81, 239.00
2020-03-06_15.07.13.969, -88.63, -73.33, -88.44, -85.74, -74.65, -88.65, -86.93, -74.18, -86.23, -84.26, -74.88, -86.83, 239.00
2020-03-06_15.07.14.969, -88.54, -76.10, -88.32, -87.32, -74.57, -88.53, -86.77, -76.86, -85.92, -85.76, -73.25, -86.91, 239.00
2020-03-06_15.07.15.969, -76.46, -71.06, -71.60, -77.00, -66.14, -78.49, -76.34, -71.01, -71.56, -76.85, -65.87, -78.29, 239.00
2020-03-06_15.07.16.970, -71.10, -70.97, -71.05, -72.48, -65.89, -71.16, -71.07, -70.93, -71.01, -72.44, -65.25, -71.14, 239.00
2020-03-06_15.07.17.969, -71.06, -70.61, -70.92, -71.52, -62.73, -71.06, -70.97, -69.84, -70.58, -71.43, -61.89, -70.99, 239.00
2020-03-06_15.07.18.969, -71.08, -70.65, -71.03, -71.24, -65.78, -71.07, -71.04, -69.92, -70.86, -71.18, -65.20, -71.01, 239.00
2020-03-06_15.07.19.969, -71.10, -70.85, -71.06, -71.15, -65.82, -71.09, -71.05, -70.43, -70.96, -71.10, -64.25, -71.04, 239.00
2020-03-06_15.07.20.969, -71.09, -70.96, -71.03, -71.11, -65.55, -71.10, -71.07, -70.72, -71.02, -71.08, -65.59, -71.07, 239.00
2020-03-06_15.07.21.969, -71.06, -70.94, -71.01, -71.07, -65.65, -71.06, -70.92, -69.98, -70.55, -70.95, -63.04, -70.93, 239.00
2020-03-06_15.07.22.969, -71.10, -70.96, -71.03, -71.07, -65.73, -71.09, -71.06, -70.11, -70.91, -70.96, -65.03, -71.04, 239.00
2020-03-06_15.07.23.969, -71.08, -70.96, -71.03, -71.07, -65.79, -71.08, -71.05, -70.54, -70.99, -71.02, -65.06, -71.05, 239.00
2020-03-06_15.07.24.970, -71.08, -70.97, -71.04, -71.08, -65.45, -71.08, -71.06, -70.78, -71.02, -71.04, -65.63, -71.06, 239.00
2020-03-06_15.07.25.970, -71.09, -70.98, -71.04, -71.08, -65.80, -71.09, -71.07, -70.92, -71.02, -71.05, -65.65, -71.07, 239.00
2020-03-06_15.07.26.969, -71.07, -70.96, -71.03, -71.07, -65.88, -71.07, -71.04, -70.89, -70.99, -71.04, -64.74, -71.04, 239.00
2020-03-06_15.07.27.969, -71.07, -70.93, -71.00, -71.06, -65.98, -71.06, -71.02, -70.68, -70.88, -71.01, -63.05, -71.01, 239.00
2020-03-06_15.07.28.970, -71.08, -70.96, -71.03, -71.07, -65.78, -71.08, -71.05, -70.75, -70.96, -71.02, -64.68, -71.05, 239.00
2020-03-06_15.07.29.969, -71.07, -70.94, -71.03, -71.06, -65.62, -71.07, -71.04, -70.89, -71.00, -71.04, -65.63, -71.05, 239.00
2020-03-06_15.07.30.969, -71.06, -70.96, -71.02, -71.06, -65.36, -71.06, -71.03, -70.91, -70.98, -71.03, -65.19, -71.02, 239.00
2020-03-06_15.07.31.970, -81.36, -70.97, -71.04, -71.06, -66.16, -77.72, -80.99, -70.91, -71.00, -71.03, -65.79, -77.56, 239.00
2020-03-06_15.07.32.969, -88.64, -73.49, -88.38, -74.95, -76.34, -88.62, -86.84, -73.40, -86.26, -74.87, -74.52, -86.75, 239.00
2020-03-06_15.07.33.970, -88.61, -76.26, -88.40, -78.99, -74.96, -88.60, -87.11, -76.11, -86.45, -78.77, -75.58, -87.13, 239.00
2020-03-06_15.07.34.970, -80.45, -67.76, -72.60, -79.79, -47.66, -81.35, -81.02, -69.23, -73.93, -80.35, -49.61, -81.81, 239.00
2020-03-06_15.07.35.969, -77.99, -67.17, -70.97, -77.53, -47.98, -79.17, -77.26, -68.84, -72.42, -77.68, -49.46, -77.95, 239.00
2020-03-06_15.07.36.970, -83.72, -67.33, -73.46, -77.76, -58.94, -80.38, -79.55, -68.99, -74.13, -77.84, -56.37, -78.50, 239.00
2020-03-06_15.07.37.969, -79.09, -70.12, -76.85, -79.17, -62.56, -79.36, -78.09, -71.28, -74.98, -77.95, -59.38, -78.21, 239.00
2020-03-06_15.07.38.967, -76.74, -64.79, -69.52, -75.97, -49.64, -76.55, -72.94, -60.91, -65.66, -72.82, -45.71, -72.87, 240.00
2020-03-06_15.07.39.965, -81.48, -67.33, -77.22, -78.52, -48.09, -82.56, -77.47, -63.46, -72.59, -75.04, -49.42, -78.33, 239.00
2020-03-06_15.07.40.964, -83.40, -70.09, -77.81, -80.05, -54.71, -82.24, -79.11, -66.22, -74.57, -76.61, -56.93, -78.18, 241.00
2020-03-06_15.07.41.966, -80.03, -70.89, -74.72, -79.86, -54.10, -80.14, -76.26, -67.22, -70.63, -76.02, -51.96, -76.55, 240.00
