yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.39.20.337, -72.89, -60.79, -65.75, -73.92, -40.40, -73.36, -73.90, -62.17, -67.04, -74.97, -41.91, -74.38, 245.00
2020-03-06_15.39.21.330, -76.50, -61.62, -71.55, -74.11, -49.73, -75.71, -76.43, -62.99, -72.30, -75.00, -50.72, -76.03, 245.00
2020-03-06_15.39.22.330, -79.67, -64.39, -73.05, -75.85, -48.12, -79.50, -77.95, -65.71, -73.70, -75.91, -50.12, -77.70, 246.00
2020-03-06_15.39.23.330, -79.75, -67.17, -73.50, -77.11, -52.06, -79.69, -75.33, -68.37, -70.56, -74.81, -54.84, -75.23, 246.00
2020-03-06_15.39.24.330, -88.48, -69.87, -87.89, -79.60, -74.39, -88.39, -85.13, -70.38, -82.43, -76.75, -69.76, -85.14, 246.00
2020-03-06_15.39.25.330, -88.57, -72.71, -88.41, -83.07, -74.98, -88.57, -85.70, -73.14, -84.68, -80.12, -73.74, -85.58, 246.00
2020-03-06_15.39.26.330, -87.01, -75.50, -82.31, -85.70, -63.97, -88.45, -84.48, -75.81, -80.41, -82.78, -63.12, -85.62, 245.00
2020-03-06_15.39.27.330, -87.57, -77.11, -81.39, -85.65, -66.90, -86.36, -84.66, -75.51, -79.41, -82.99, -63.89, -83.66, 246.00
2020-03-06_15.39.28.330, -88.61, -79.60, -88.44, -87.17, -76.62, -88.61, -87.02, -77.91, -86.52, -84.52, -74.73, -87.06, 246.00
2020-03-06_15.39.29.330, -88.66, -82.01, -88.50, -88.02, -76.70, -88.64, -86.90, -80.32, -86.16, -85.90, -74.80, -86.89, 246.00
2020-03-06_15.39.30.330, -88.62, -84.09, -88.33, -88.41, -76.58, -88.64, -86.80, -82.39, -86.34, -86.46, -74.77, -86.76, 246.00
2020-03-06_15.39.31.325, -88.57, -85.74, -88.35, -88.53, -75.97, -88.58, -86.53, -84.00, -85.95, -86.52, -74.42, -86.64, 246.00
2020-03-06_15.39.32.330, -88.42, -86.88, -88.19, -88.45, -76.68, -88.44, -86.00, -85.04, -85.59, -86.14, -73.87, -86.05, 246.00
2020-03-06_15.39.33.330, -88.38, -87.56, -88.22, -88.39, -75.74, -88.39, -85.92, -84.06, -85.30, -85.95, -73.84, -85.98, 246.00
2020-03-06_15.39.34.331, -88.40, -87.85, -88.20, -88.37, -76.50, -88.38, -85.92, -84.12, -85.27, -85.83, -74.53, -85.82, 246.00
2020-03-06_15.39.35.330, -88.41, -87.98, -88.26, -88.38, -74.52, -88.40, -85.55, -83.29, -84.64, -85.63, -73.65, -85.58, 246.00
2020-03-06_15.39.36.330, -88.34, -87.95, -88.21, -88.35, -74.95, -88.36, -85.73, -83.86, -85.35, -85.68, -73.46, -85.78, 246.00
2020-03-06_15.39.37.330, -88.32, -87.99, -88.18, -88.33, -76.25, -88.32, -85.82, -84.39, -85.33, -85.71, -73.23, -85.80, 246.00
2020-03-06_15.39.38.330, -88.43, -88.03, -88.24, -88.33, -76.47, -88.43, -86.03, -84.70, -85.55, -85.77, -72.97, -86.01, 245.00
2020-03-06_15.39.39.330, -88.37, -87.81, -88.14, -88.34, -74.51, -88.35, -86.23, -84.96, -85.81, -85.92, -74.73, -86.21, 246.00
2020-03-06_15.39.40.330, -88.43, -87.94, -88.21, -88.35, -75.25, -88.40, -85.93, -84.50, -85.27, -85.90, -74.01, -85.93, 246.00
2020-03-06_15.39.41.331, -88.38, -87.94, -88.19, -88.38, -75.57, -88.42, -86.01, -84.58, -85.64, -85.92, -73.72, -86.03, 246.00
2020-03-06_15.39.42.330, -88.38, -87.96, -88.24, -88.37, -75.42, -88.38, -85.83, -84.64, -85.41, -85.82, -73.67, -85.82, 246.00
2020-03-06_15.39.43.330, -88.42, -87.96, -88.21, -88.36, -75.35, -88.40, -85.93, -84.65, -85.33, -85.74, -73.42, -85.92, 246.00
2020-03-06_15.39.44.330, -88.45, -88.07, -88.32, -88.39, -76.63, -88.45, -85.65, -84.30, -85.20, -85.69, -74.06, -85.66, 245.00
2020-03-06_15.39.45.331, -88.42, -87.88, -88.20, -88.40, -73.49, -88.42, -85.89, -84.15, -85.10, -85.66, -74.30, -85.87, 246.00
2020-03-06_15.39.46.331, -88.50, -88.08, -88.27, -88.40, -75.89, -88.48, -86.36, -84.55, -85.29, -85.87, -75.19, -86.25, 246.00
2020-03-06_15.39.47.330, -88.54, -88.10, -88.34, -88.47, -75.40, -88.55, -86.61, -85.08, -86.07, -86.25, -74.22, -86.68, 246.00
2020-03-06_15.39.48.328, -88.65, -88.20, -88.48, -88.54, -73.82, -88.65, -86.89, -85.28, -86.44, -86.46, -74.17, -86.87, 245.00
2020-03-06_15.39.49.330, -85.06, -74.99, -79.54, -85.48, -61.86, -85.06, -83.10, -73.42, -77.90, -83.49, -61.25, -83.09, 246.00
2020-03-06_15.39.50.330, -88.66, -76.96, -88.43, -86.56, -76.19, -88.64, -86.98, -75.36, -86.32, -84.61, -74.70, -86.92, 246.00
2020-03-06_15.39.51.330, -88.57, -79.58, -88.37, -87.76, -75.12, -88.59, -86.86, -77.98, -86.09, -85.95, -74.52, -86.97, 246.00
2020-03-06_15.39.52.330, -82.58, -73.65, -77.94, -82.91, -55.09, -84.33, -79.81, -71.67, -75.01, -80.31, -57.26, -81.30, 246.00
2020-03-06_15.39.53.327, -73.67, -60.56, -65.26, -73.55, -45.80, -73.50, -73.17, -61.11, -65.65, -73.25, -45.98, -72.96, 246.00
2020-03-06_15.39.54.330, -69.49, -58.71, -63.64, -70.32, -37.44, -69.82, -70.77, -60.27, -65.15, -71.48, -39.02, -71.11, 245.00
2020-03-06_15.39.55.325, -66.33, -55.58, -58.98, -66.13, -38.53, -68.98, -63.87, -53.38, -56.60, -63.97, -38.16, -66.67, 244.00
2020-03-06_15.39.56.327, -81.02, -55.63, -60.36, -66.25, -63.87, -69.12, -80.06, -53.43, -57.91, -64.06, -65.96, -66.76, 246.00
2020-03-06_15.39.57.325, -80.70, -58.49, -77.03, -70.37, -47.92, -80.73, -77.33, -56.29, -72.56, -68.22, -50.31, -77.55, 245.00
2020-03-06_15.39.58.330, -84.18, -61.36, -82.26, -74.09, -71.07, -83.82, -81.81, -59.15, -77.62, -71.70, -70.71, -81.00, 244.00
