yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.17.44.107, -77.07, -70.98, -73.32, -78.92, -55.63, -77.54, -77.22, -71.89, -73.57, -79.16, -57.35, -77.67, 0.00
2020-03-06_15.17.45.102, -74.90, -67.78, -71.13, -75.64, -51.65, -74.84, -75.26, -67.56, -71.15, -76.09, -50.98, -75.22, 241.00
2020-03-06_15.17.46.101, -78.92, -67.23, -71.90, -76.29, -47.79, -78.59, -79.41, -68.82, -73.26, -76.77, -50.16, -79.05, 241.00
2020-03-06_15.17.47.101, -79.85, -68.54, -73.11, -77.89, -49.80, -83.16, -79.10, -69.36, -73.24, -77.95, -51.88, -81.53, 241.00
2020-03-06_15.17.48.101, -85.26, -69.86, -72.79, -77.86, -55.88, -80.50, -83.61, -69.47, -73.03, -77.77, -57.65, -79.98, 241.00
2020-03-06_15.17.49.100, -88.55, -72.57, -88.23, -81.49, -74.41, -88.56, -87.10, -72.17, -86.51, -80.92, -73.62, -87.07, 241.00
2020-03-06_15.17.50.100, -88.60, -75.36, -88.32, -84.57, -74.29, -88.60, -87.19, -74.94, -86.72, -83.77, -75.00, -87.21, 241.00
2020-03-06_15.17.51.101, -88.23, -78.07, -86.75, -86.66, -74.21, -88.50, -86.88, -77.59, -85.95, -85.59, -74.53, -87.04, 241.00
2020-03-06_15.17.52.101, -82.79, -80.60, -82.74, -84.01, -72.69, -83.12, -83.31, -80.04, -83.25, -84.20, -73.05, -83.55, 241.00
2020-03-06_15.17.53.101, -82.82, -81.55, -82.65, -83.23, -72.59, -82.80, -83.26, -81.34, -83.05, -83.58, -72.32, -83.28, 241.00
2020-03-06_15.17.54.101, -82.75, -82.12, -82.61, -82.93, -72.78, -82.76, -83.27, -82.17, -83.08, -83.38, -73.28, -83.26, 241.00
2020-03-06_15.17.55.101, -82.77, -82.34, -82.60, -82.82, -72.79, -82.77, -83.33, -82.67, -83.14, -83.33, -73.32, -83.32, 241.00
