yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.30.09.686, -73.83, -66.02, -69.72, -75.06, -49.36, -75.29, -74.84, -67.12, -70.82, -76.08, -48.95, -76.30, 241.00
2020-03-06_15.30.10.674, -73.38, -62.22, -66.91, -72.81, -44.70, -72.58, -74.26, -63.88, -68.39, -73.94, -46.34, -73.52, 241.00
2020-03-06_15.30.11.680, -70.63, -57.85, -62.33, -70.05, -41.45, -77.97, -67.38, -57.93, -60.51, -67.42, -43.03, -71.30, 241.00
2020-03-06_15.30.12.680, -78.92, -57.85, -62.26, -69.80, -51.74, -70.67, -77.24, -57.93, -60.50, -67.30, -49.54, -68.88, 241.00
2020-03-06_15.30.13.679, -88.65, -60.62, -87.86, -73.82, -73.75, -88.54, -86.28, -60.69, -85.04, -71.28, -74.08, -86.43, 241.00
2020-03-06_15.30.14.680, -88.56, -63.51, -88.32, -77.92, -75.23, -88.60, -86.26, -63.57, -84.70, -75.38, -71.49, -86.06, 243.00
2020-03-06_15.30.15.680, -84.13, -66.39, -77.71, -81.24, -58.29, -84.13, -82.35, -66.45, -77.13, -79.16, -58.32, -82.36, 243.00
2020-03-06_15.30.16.680, -88.54, -69.22, -88.35, -83.35, -75.31, -88.53, -86.55, -69.24, -86.06, -81.11, -74.98, -86.52, 241.00
2020-03-06_15.30.17.679, -88.56, -72.07, -88.37, -85.87, -75.54, -88.55, -87.05, -72.06, -86.04, -83.72, -73.89, -86.96, 241.00
2020-03-06_15.30.18.680, -88.51, -74.88, -88.30, -87.38, -75.81, -88.52, -87.07, -74.83, -86.64, -85.56, -75.00, -87.11, 241.00
2020-03-06_15.30.19.679, -88.65, -77.60, -88.34, -88.06, -75.83, -88.61, -87.09, -77.49, -86.43, -86.44, -74.89, -87.04, 243.00
2020-03-06_15.30.20.680, -78.21, -75.98, -76.11, -79.30, -68.29, -79.13, -75.06, -72.78, -72.92, -76.19, -66.12, -76.01, 241.00
2020-03-06_15.30.21.680, -76.10, -75.93, -76.03, -77.03, -69.23, -76.10, -72.90, -72.72, -72.83, -73.84, -66.80, -72.90, 241.00
2020-03-06_15.30.22.679, -76.15, -75.96, -76.05, -76.45, -69.27, -76.14, -72.94, -72.76, -72.85, -73.25, -66.22, -72.94, 241.00
2020-03-06_15.30.23.680, -76.16, -75.96, -76.09, -76.27, -68.84, -76.16, -72.96, -72.75, -72.88, -73.06, -67.29, -72.95, 243.00
2020-03-06_15.30.24.680, -76.16, -75.97, -76.09, -76.20, -69.46, -76.17, -72.95, -72.77, -72.89, -72.99, -66.80, -72.96, 243.00
2020-03-06_15.30.25.680, -76.10, -75.86, -76.02, -76.13, -69.14, -76.11, -72.89, -72.66, -72.80, -72.92, -67.09, -72.90, 241.00
2020-03-06_15.30.26.680, -76.09, -75.88, -76.01, -76.09, -69.36, -76.08, -72.88, -72.67, -72.79, -72.89, -66.97, -72.88, 241.00
2020-03-06_15.30.27.680, -76.08, -75.91, -76.00, -76.08, -69.19, -76.07, -72.88, -72.69, -72.80, -72.87, -67.07, -72.87, 243.00
2020-03-06_15.30.28.680, -76.11, -75.94, -76.03, -76.09, -69.29, -76.12, -72.91, -72.72, -72.83, -72.89, -67.19, -72.92, 241.00
2020-03-06_15.30.29.679, -76.12, -75.90, -76.04, -76.10, -69.00, -76.11, -72.92, -72.70, -72.83, -72.90, -66.89, -72.91, 243.00
2020-03-06_15.30.30.680, -76.13, -75.94, -76.05, -76.11, -69.26, -76.13, -72.92, -72.70, -72.82, -72.90, -66.93, -72.92, 243.00
2020-03-06_15.30.31.680, -76.05, -75.90, -76.00, -76.07, -68.13, -76.06, -72.83, -72.59, -72.75, -72.86, -65.53, -72.84, 241.00
2020-03-06_15.30.32.680, -76.03, -75.39, -75.81, -76.04, -66.80, -76.03, -72.76, -71.47, -72.28, -72.77, -61.81, -72.76, 241.00
2020-03-06_15.30.33.680, -76.11, -75.60, -76.01, -76.05, -69.18, -76.10, -72.91, -71.87, -72.81, -72.81, -66.42, -72.89, 241.00
2020-03-06_15.30.34.680, -76.11, -75.84, -76.04, -76.08, -68.61, -76.11, -72.91, -72.34, -72.84, -72.87, -66.90, -72.91, 241.00
2020-03-06_15.30.35.680, -77.17, -75.90, -76.01, -76.08, -69.13, -76.66, -74.00, -72.61, -72.81, -72.88, -66.93, -73.47, 241.00
2020-03-06_15.30.36.680, -88.50, -76.51, -82.97, -77.05, -75.28, -87.28, -87.08, -73.28, -80.16, -73.87, -74.76, -85.34, 241.00
2020-03-06_15.30.37.680, -88.56, -79.16, -88.34, -80.89, -75.77, -88.58, -87.14, -76.01, -86.60, -77.87, -74.55, -87.15, 241.00
2020-03-06_15.30.38.680, -88.56, -81.60, -88.28, -84.11, -74.39, -88.56, -86.90, -78.60, -86.29, -81.41, -73.82, -86.90, 241.00
2020-03-06_15.30.39.680, -81.90, -72.16, -75.57, -81.91, -61.07, -82.13, -78.97, -70.63, -73.85, -79.63, -59.82, -79.34, 243.00
2020-03-06_15.30.40.680, -88.58, -72.91, -83.92, -82.80, -74.53, -87.63, -85.25, -71.31, -79.96, -79.96, -71.26, -84.02, 243.00
2020-03-06_15.30.41.680, -76.34, -65.49, -69.30, -76.56, -47.41, -76.53, -75.39, -65.83, -69.52, -76.15, -49.05, -75.75, 243.00
2020-03-06_15.30.42.680, -71.25, -58.04, -63.01, -71.16, -37.62, -71.85, -72.16, -59.63, -64.53, -72.01, -39.74, -72.59, 241.00
2020-03-06_15.30.43.680, -71.37, -58.64, -65.47, -70.23, -41.02, -71.07, -71.99, -60.22, -67.10, -71.35, -42.38, -71.82, 241.00
2020-03-06_15.30.44.677, -70.05, -60.64, -63.95, -69.30, -41.66, -69.88, -66.34, -56.81, -60.16, -66.37, -41.76, -66.29, 241.00
2020-03-06_15.30.45.676, -77.02, -62.15, -72.54, -71.14, -45.07, -76.86, -73.54, -58.35, -68.96, -68.30, -46.84, -73.43, 241.00
