yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.25.04.896, -74.74, -68.16, -71.18, -76.69, -54.94, -75.06, -75.49, -69.73, -72.24, -77.70, -55.13, -75.91, 241.00
2020-03-06_15.25.05.890, -77.65, -69.68, -74.65, -76.39, -57.27, -77.46, -76.11, -71.12, -73.56, -76.12, -57.53, -76.05, 243.00
2020-03-06_15.25.06.890, -79.30, -66.96, -71.66, -77.09, -49.00, -78.95, -79.32, -68.35, -72.85, -76.99, -50.37, -78.82, 243.00
2020-03-06_15.25.07.889, -76.75, -68.13, -71.78, -76.08, -51.65, -76.67, -75.80, -69.10, -72.25, -75.56, -52.59, -75.74, 243.00
2020-03-06_15.25.08.889, -88.57, -70.58, -87.11, -78.33, -74.25, -88.37, -87.14, -71.15, -85.04, -77.40, -75.38, -86.82, 242.00
2020-03-06_15.25.09.889, -88.66, -73.41, -88.47, -82.01, -76.32, -88.64, -86.89, -73.94, -86.41, -81.01, -74.18, -86.89, 242.00
2020-03-06_15.25.10.889, -88.50, -76.18, -88.35, -84.98, -73.38, -88.52, -86.65, -76.64, -86.24, -83.77, -73.49, -86.70, 243.00
2020-03-06_15.25.11.890, -82.01, -68.99, -74.08, -81.87, -54.17, -88.02, -80.80, -68.13, -73.15, -80.71, -51.82, -85.96, 243.00
2020-03-06_15.25.12.889, -82.34, -67.25, -71.96, -79.77, -56.00, -79.78, -80.27, -66.19, -70.88, -78.47, -53.72, -78.19, 243.00
2020-03-06_15.25.13.889, -88.53, -69.98, -88.04, -83.08, -74.25, -88.48, -86.52, -68.90, -85.57, -81.42, -73.75, -86.45, 243.00
2020-03-06_15.25.14.889, -88.51, -72.81, -87.99, -85.70, -75.75, -88.51, -86.59, -71.72, -84.79, -83.98, -73.87, -86.61, 242.00
2020-03-06_15.25.15.889, -88.64, -75.60, -88.37, -87.25, -76.49, -88.62, -86.90, -74.49, -86.30, -85.42, -73.46, -86.95, 243.00
2020-03-06_15.25.16.890, -88.38, -78.29, -88.17, -88.07, -75.23, -88.41, -86.34, -77.15, -85.63, -86.15, -74.81, -86.33, 243.00
2020-03-06_15.25.17.891, -88.43, -80.80, -88.18, -88.26, -75.96, -88.46, -86.69, -79.58, -86.31, -86.33, -74.84, -86.68, 242.00
2020-03-06_15.25.18.890, -88.09, -83.04, -87.96, -88.17, -75.30, -88.11, -86.68, -81.74, -86.24, -86.56, -74.55, -86.68, 241.00
2020-03-06_15.25.19.889, -88.20, -84.81, -88.05, -88.17, -75.42, -88.19, -87.14, -83.49, -86.45, -86.62, -75.18, -87.12, 242.00
2020-03-06_15.25.20.890, -88.20, -86.14, -88.06, -88.18, -75.62, -88.20, -86.92, -84.89, -86.46, -86.86, -73.60, -86.89, 242.00
