yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.44.44.147, -76.84, -69.38, -72.43, -78.08, -49.26, -77.66, -77.51, -70.33, -73.29, -78.84, -50.63, -78.25, 245.00
2020-03-06_15.44.45.140, -76.37, -69.90, -72.74, -76.19, -53.55, -75.96, -76.51, -70.87, -72.93, -76.66, -53.83, -76.29, 244.00
2020-03-06_15.44.46.140, -79.05, -67.01, -71.66, -76.53, -46.30, -78.75, -79.04, -68.58, -72.99, -77.09, -48.52, -78.90, 244.00
2020-03-06_15.44.47.140, -84.11, -68.64, -80.46, -78.64, -64.66, -83.92, -76.84, -68.57, -71.88, -76.54, -57.08, -76.72, 245.00
2020-03-06_15.44.48.139, -88.63, -71.43, -87.78, -81.36, -76.48, -88.52, -86.83, -70.00, -83.21, -77.71, -72.15, -86.15, 245.00
2020-03-06_15.44.49.141, -88.55, -74.24, -88.23, -84.50, -74.14, -88.56, -86.02, -72.81, -85.29, -81.22, -73.46, -86.16, 245.00
2020-03-06_15.44.50.140, -88.60, -76.99, -88.33, -86.59, -76.47, -88.58, -86.61, -75.52, -85.52, -83.59, -74.18, -86.57, 244.00
2020-03-06_15.44.51.140, -86.95, -79.61, -82.86, -86.61, -65.09, -86.96, -83.29, -77.22, -79.71, -83.39, -66.04, -83.37, 245.00
2020-03-06_15.44.52.139, -88.67, -81.10, -88.43, -87.41, -75.71, -88.67, -86.35, -78.57, -83.51, -83.96, -71.82, -86.12, 245.00
2020-03-06_15.44.53.140, -88.64, -83.33, -88.51, -88.15, -76.44, -88.64, -86.83, -80.84, -85.94, -85.51, -73.71, -86.86, 245.00
2020-03-06_15.44.54.140, -88.59, -85.16, -88.33, -88.45, -75.97, -88.59, -87.13, -82.81, -86.66, -86.31, -73.73, -87.10, 245.00
2020-03-06_15.44.55.141, -52.49, -51.37, -51.40, -54.07, -48.08, -53.25, -52.50, -51.37, -51.40, -54.07, -48.08, -53.26, 244.00
2020-03-06_15.44.56.140, -51.40, -51.37, -51.39, -52.20, -48.16, -51.40, -51.40, -51.38, -51.40, -52.21, -48.07, -51.40, 244.00
2020-03-06_15.44.57.141, -51.41, -51.38, -51.40, -51.68, -48.12, -51.41, -51.41, -51.39, -51.40, -51.69, -48.12, -51.41, 245.00
2020-03-06_15.44.58.140, -51.42, -51.39, -51.41, -51.52, -48.16, -51.42, -51.43, -51.40, -51.41, -51.52, -48.09, -51.43, 244.00
2020-03-06_15.44.59.140, -51.42, -51.40, -51.42, -51.46, -48.10, -51.42, -51.43, -51.40, -51.42, -51.46, -48.09, -51.43, 245.00
2020-03-06_15.45.00.140, -51.42, -51.39, -51.41, -51.43, -48.15, -51.42, -51.42, -51.40, -51.42, -51.44, -48.12, -51.43, 245.00
2020-03-06_15.45.01.140, -51.42, -51.40, -51.41, -51.42, -48.16, -51.42, -51.42, -51.40, -51.41, -51.43, -48.11, -51.42, 245.00
