yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.37.11.496, -77.14, -70.74, -73.32, -78.75, -55.87, -77.66, -77.35, -71.39, -73.71, -79.03, -57.61, -77.81, 244.00
2020-03-06_15.37.12.490, -75.39, -65.73, -69.55, -75.08, -51.05, -75.19, -76.00, -67.43, -70.98, -76.01, -52.35, -75.91, 244.00
2020-03-06_15.37.13.490, -83.47, -67.30, -76.86, -76.98, -51.41, -82.90, -81.78, -68.94, -76.84, -77.34, -53.06, -81.21, 244.00
2020-03-06_15.37.14.490, -73.52, -62.02, -66.24, -73.31, -45.96, -73.53, -72.37, -61.63, -65.69, -72.51, -47.06, -72.38, 244.00
2020-03-06_15.37.15.490, -88.43, -63.87, -85.69, -75.87, -73.20, -87.96, -85.65, -63.45, -82.13, -74.78, -68.65, -85.29, 245.00
2020-03-06_15.37.16.490, -88.55, -66.75, -88.23, -79.82, -73.95, -88.54, -86.36, -66.32, -85.68, -78.58, -73.64, -86.33, 245.00
2020-03-06_15.37.17.490, -88.53, -69.62, -88.09, -83.27, -75.69, -88.54, -85.85, -69.17, -84.88, -81.85, -74.06, -85.91, 244.00
2020-03-06_15.37.18.490, -84.53, -72.46, -78.95, -83.98, -60.42, -84.55, -82.36, -71.98, -78.23, -82.39, -60.69, -82.40, 244.00
2020-03-06_15.37.19.490, -88.62, -75.12, -88.10, -85.33, -76.09, -88.54, -86.30, -74.52, -84.69, -83.09, -74.41, -86.16, 245.00
2020-03-06_15.37.20.490, -88.59, -77.84, -88.38, -87.12, -76.41, -88.60, -86.80, -77.15, -85.87, -84.80, -74.44, -86.74, 244.00
2020-03-06_15.37.21.490, -82.76, -80.40, -81.21, -83.62, -71.90, -83.41, -74.96, -72.91, -73.11, -76.17, -67.01, -75.81, 245.00
2020-03-06_15.37.22.490, -81.29, -80.97, -81.19, -82.01, -72.36, -81.30, -73.20, -72.85, -73.09, -74.07, -66.99, -73.21, 244.00
2020-03-06_15.37.23.490, -81.25, -80.95, -81.13, -81.52, -71.99, -81.25, -73.14, -72.87, -73.04, -73.47, -66.76, -73.14, 244.00
2020-03-06_15.37.24.490, -81.21, -80.92, -81.15, -81.32, -71.77, -81.23, -73.11, -72.79, -73.04, -73.23, -67.16, -73.13, 244.00
2020-03-06_15.37.25.490, -81.20, -80.92, -81.10, -81.24, -72.57, -81.20, -73.10, -72.80, -72.98, -73.14, -66.74, -73.09, 244.00
2020-03-06_15.37.26.490, -81.24, -80.92, -81.12, -81.23, -71.79, -81.24, -73.14, -72.84, -73.01, -73.13, -66.93, -73.14, 244.00
2020-03-06_15.37.27.490, -81.26, -80.93, -81.10, -81.22, -72.06, -81.24, -73.14, -72.84, -73.00, -73.11, -66.96, -73.12, 244.00
2020-03-06_15.37.28.490, -81.22, -80.90, -81.12, -81.22, -72.37, -81.23, -73.10, -72.76, -72.98, -73.11, -66.94, -73.11, 244.00
2020-03-06_15.37.29.490, -81.20, -80.90, -81.09, -81.20, -71.76, -81.20, -73.09, -72.74, -72.96, -73.09, -65.04, -73.09, 244.00
2020-03-06_15.37.30.490, -81.25, -80.91, -81.14, -81.21, -71.95, -81.24, -73.15, -72.85, -73.03, -73.09, -66.73, -73.15, 244.00
2020-03-06_15.37.31.490, -81.23, -80.99, -81.14, -81.22, -72.29, -81.24, -73.12, -72.84, -73.00, -73.11, -67.08, -73.13, 244.00
2020-03-06_15.37.32.490, -81.25, -80.93, -81.10, -81.21, -72.68, -81.25, -73.12, -72.69, -72.92, -73.09, -66.88, -73.11, 244.00
2020-03-06_15.37.33.490, -81.26, -80.95, -81.14, -81.23, -71.96, -81.26, -73.16, -72.79, -73.00, -73.11, -67.04, -73.16, 244.00
2020-03-06_15.37.34.490, -81.24, -80.76, -81.06, -81.23, -72.47, -81.23, -73.13, -72.65, -72.95, -73.12, -66.89, -73.12, 244.00
2020-03-06_15.37.35.490, -81.24, -80.92, -81.13, -81.23, -71.21, -81.25, -73.14, -72.82, -73.04, -73.13, -66.18, -73.15, 244.00
2020-03-06_15.37.36.489, -82.42, -80.96, -81.12, -81.21, -72.27, -81.92, -74.55, -72.84, -73.00, -73.10, -66.68, -73.94, 244.00
2020-03-06_15.37.37.490, -88.59, -81.64, -87.17, -82.25, -74.94, -88.39, -87.07, -73.63, -81.96, -74.35, -73.86, -85.98, 244.00
2020-03-06_15.37.38.490, -88.66, -83.77, -88.50, -85.14, -76.09, -88.64, -87.40, -76.35, -86.95, -78.32, -75.37, -87.40, 244.00
2020-03-06_15.37.39.488, -88.58, -85.50, -88.36, -87.02, -76.60, -88.62, -86.72, -78.93, -86.25, -81.82, -73.57, -86.71, 244.00
