yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.37.40.490, -88.52, -86.73, -88.36, -87.92, -75.55, -88.51, -86.90, -81.19, -86.35, -84.27, -73.38, -86.92, 244.00
2020-03-06_15.37.41.490, -88.07, -83.47, -85.86, -87.94, -71.46, -88.12, -84.42, -77.16, -80.12, -84.35, -66.43, -84.80, 244.00
2020-03-06_15.37.42.490, -88.49, -83.83, -88.00, -88.07, -75.33, -88.42, -84.63, -77.56, -82.38, -84.02, -71.71, -84.31, 244.00
2020-03-06_15.37.43.490, -88.65, -85.51, -88.46, -88.32, -76.22, -88.63, -86.49, -79.73, -85.55, -84.77, -72.82, -86.60, 244.00
2020-03-06_15.37.44.490, -76.72, -65.31, -69.34, -76.98, -44.87, -77.17, -75.67, -65.57, -69.39, -76.30, -46.94, -76.23, 244.00
2020-03-06_15.37.45.490, -84.91, -65.92, -77.44, -77.90, -59.53, -83.06, -79.03, -66.13, -75.40, -76.73, -57.73, -78.33, 244.00
2020-03-06_15.37.46.490, -69.08, -58.77, -63.71, -70.09, -38.17, -69.36, -69.86, -60.37, -65.20, -70.62, -39.80, -70.15, 244.00
2020-03-06_15.37.47.486, -69.20, -58.42, -62.30, -68.16, -41.30, -69.00, -67.36, -57.45, -60.62, -66.88, -39.74, -67.26, 244.00
2020-03-06_15.37.48.485, -76.27, -59.90, -70.99, -70.14, -42.42, -77.06, -73.94, -58.92, -68.55, -68.92, -43.98, -75.42, 245.00
2020-03-06_15.37.49.490, -85.93, -62.70, -72.85, -72.71, -64.28, -80.56, -83.23, -61.69, -69.18, -71.04, -64.90, -77.13, 244.00
