yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.38.15.856, -78.41, -75.01, -76.29, -79.96, -60.26, -79.40, -78.94, -75.21, -76.45, -80.41, -60.10, -80.03, 244.00
2020-03-06_15.38.16.850, -79.44, -72.23, -74.47, -78.66, -58.74, -78.68, -79.52, -72.89, -74.96, -79.21, -60.09, -78.83, 245.00
2020-03-06_15.38.17.850, -80.46, -68.64, -73.42, -79.07, -51.03, -80.39, -79.58, -70.10, -74.63, -79.14, -52.74, -79.67, 245.00
2020-03-06_15.38.18.850, -80.89, -69.55, -73.76, -78.88, -50.97, -80.69, -78.09, -69.61, -72.60, -77.32, -52.54, -77.89, 245.00
2020-03-06_15.38.19.850, -88.63, -71.52, -87.39, -80.97, -75.65, -88.48, -86.80, -71.07, -85.14, -79.03, -74.33, -86.55, 244.00
2020-03-06_15.38.20.850, -88.61, -74.33, -88.46, -84.18, -76.32, -88.60, -86.68, -73.86, -85.57, -82.27, -73.98, -86.83, 244.00
2020-03-06_15.38.21.850, -83.19, -71.51, -76.12, -83.00, -58.18, -84.27, -80.99, -69.72, -74.27, -80.95, -57.96, -81.99, 244.00
2020-03-06_15.38.22.850, -88.27, -71.80, -80.06, -83.30, -73.11, -85.98, -84.90, -70.00, -77.99, -81.18, -71.17, -83.29, 244.00
2020-03-06_15.38.23.850, -88.64, -74.60, -88.04, -85.78, -76.01, -88.57, -86.56, -72.77, -83.69, -83.13, -73.76, -86.06, 245.00
2020-03-06_15.38.24.850, -88.62, -77.34, -88.42, -87.36, -76.16, -88.61, -86.99, -75.49, -86.26, -85.00, -74.74, -86.93, 244.00
2020-03-06_15.38.25.850, -88.71, -79.94, -88.54, -88.12, -76.72, -88.71, -87.12, -78.11, -86.73, -86.19, -74.55, -87.17, 244.00
2020-03-06_15.38.26.849, -88.68, -82.32, -88.46, -88.48, -76.26, -88.67, -86.96, -80.51, -86.57, -86.74, -75.01, -86.97, 244.00
2020-03-06_15.38.27.850, -88.59, -84.35, -88.45, -88.57, -76.69, -88.61, -87.29, -82.56, -86.72, -86.85, -75.08, -87.25, 244.00
2020-03-06_15.38.28.850, -87.45, -85.93, -86.93, -87.74, -74.54, -87.64, -82.72, -81.06, -81.53, -83.57, -72.41, -83.24, 244.00
2020-03-06_15.38.29.850, -86.95, -86.51, -86.83, -87.22, -73.73, -86.95, -81.51, -80.85, -81.24, -82.15, -71.86, -81.53, 244.00
2020-03-06_15.38.30.850, -86.94, -86.41, -86.70, -87.02, -74.88, -86.95, -81.40, -80.36, -80.96, -81.63, -71.56, -81.41, 244.00
2020-03-06_15.38.31.850, -86.82, -86.14, -86.60, -86.88, -74.69, -86.82, -80.93, -78.81, -80.10, -81.12, -69.73, -81.00, 244.00
2020-03-06_15.38.32.850, -86.96, -86.23, -86.78, -86.88, -74.67, -86.95, -80.84, -78.93, -79.96, -80.88, -69.48, -80.79, 244.00
2020-03-06_15.38.33.845, -86.96, -86.53, -86.79, -86.93, -74.70, -86.95, -80.87, -78.76, -80.03, -80.77, -69.61, -80.84, 244.00
2020-03-06_15.38.34.850, -86.86, -86.51, -86.72, -86.87, -73.60, -86.87, -80.74, -77.43, -79.27, -80.65, -69.06, -80.77, 244.00
2020-03-06_15.38.35.850, -86.87, -86.31, -86.63, -86.85, -74.56, -86.88, -81.03, -77.95, -80.51, -80.75, -71.30, -81.03, 244.00
2020-03-06_15.38.36.850, -86.99, -86.41, -86.76, -86.86, -74.80, -86.98, -81.49, -79.19, -81.00, -80.96, -71.98, -81.46, 244.00
2020-03-06_15.38.37.850, -86.92, -86.53, -86.78, -86.92, -75.19, -86.93, -81.50, -80.16, -81.22, -81.28, -72.29, -81.49, 244.00
2020-03-06_15.38.38.850, -86.93, -86.47, -86.68, -86.88, -73.88, -86.92, -81.41, -80.48, -80.97, -81.33, -72.03, -81.42, 244.00
2020-03-06_15.38.39.850, -86.95, -86.53, -86.78, -86.92, -75.40, -86.96, -81.34, -80.68, -81.03, -81.33, -71.49, -81.37, 244.00
2020-03-06_15.38.40.850, -86.98, -86.54, -86.82, -86.93, -74.68, -86.96, -81.52, -80.66, -81.04, -81.34, -71.50, -81.45, 244.00
2020-03-06_15.38.41.850, -86.95, -86.59, -86.84, -86.94, -75.01, -86.96, -81.50, -81.02, -81.35, -81.47, -72.07, -81.53, 244.00
2020-03-06_15.38.42.850, -86.97, -86.50, -86.77, -86.94, -74.43, -86.97, -81.53, -80.74, -81.24, -81.45, -71.37, -81.53, 244.00
2020-03-06_15.38.43.850, -87.41, -86.39, -86.76, -86.92, -74.55, -87.24, -82.74, -80.60, -81.11, -81.43, -71.52, -82.26, 245.00
2020-03-06_15.38.44.850, -88.63, -86.79, -88.30, -87.34, -76.28, -88.61, -87.25, -81.41, -86.67, -82.54, -75.69, -87.17, 244.00
2020-03-06_15.38.45.850, -88.67, -87.58, -88.39, -88.10, -75.97, -88.64, -87.11, -83.35, -86.81, -84.90, -74.80, -87.16, 244.00
2020-03-06_15.38.46.849, -88.48, -87.44, -88.04, -88.41, -76.31, -88.50, -86.06, -82.75, -84.48, -85.93, -72.30, -86.18, 244.00
2020-03-06_15.38.47.850, -87.93, -83.57, -85.91, -88.01, -71.36, -87.97, -83.79, -78.24, -80.77, -84.16, -69.43, -84.49, 245.00
2020-03-06_15.38.48.850, -88.53, -84.80, -88.14, -88.16, -74.61, -88.46, -86.48, -78.27, -81.23, -84.17, -73.75, -85.33, 244.00
2020-03-06_15.38.49.849, -75.40, -63.20, -67.56, -75.57, -43.48, -78.56, -74.99, -63.70, -67.80, -75.28, -45.81, -78.12, 244.00
2020-03-06_15.38.50.850, -85.58, -63.27, -69.18, -75.74, -64.50, -77.62, -79.61, -63.76, -68.78, -75.25, -63.36, -75.80, 245.00
2020-03-06_15.38.51.850, -70.51, -60.76, -65.42, -71.21, -40.22, -70.65, -71.46, -62.07, -66.86, -72.15, -42.09, -71.62, 244.00
2020-03-06_15.38.52.846, -68.48, -56.75, -60.98, -68.21, -40.97, -68.69, -65.70, -54.96, -58.44, -65.79, -39.91, -65.94, 247.00
2020-03-06_15.38.53.845, -80.75, -57.59, -70.80, -69.29, -47.42, -77.41, -77.77, -55.79, -68.33, -66.92, -48.60, -74.76, 246.00
2020-03-06_15.38.54.850, -80.49, -60.46, -75.56, -73.14, -47.11, -80.38, -76.55, -58.66, -70.80, -70.66, -49.00, -76.42, 246.00
