yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.10.49.987, -74.18, -63.74, -67.94, -75.31, -46.59, -75.08, -74.85, -64.94, -68.86, -75.99, -47.22, -75.71, 0.00
2020-03-06_15.10.50.976, -76.03, -64.20, -72.45, -75.25, -56.31, -75.27, -76.16, -65.38, -73.29, -75.82, -57.50, -75.64, 240.00
2020-03-06_15.10.51.980, -77.62, -65.86, -70.44, -74.88, -48.27, -77.16, -77.40, -67.23, -71.47, -75.30, -50.53, -76.94, 239.00
2020-03-06_15.10.52.980, -88.26, -67.71, -84.92, -77.29, -73.40, -87.65, -85.11, -69.02, -81.80, -77.23, -71.92, -84.55, 238.00
2020-03-06_15.10.53.980, -81.00, -69.20, -73.48, -79.04, -48.38, -81.01, -79.97, -69.90, -73.61, -78.52, -50.26, -79.96, 239.00
2020-03-06_15.10.54.980, -88.62, -71.14, -88.07, -81.61, -76.41, -88.55, -86.91, -71.76, -85.92, -80.75, -75.64, -86.81, 239.00
2020-03-06_15.10.55.980, -88.59, -73.96, -88.40, -84.68, -75.60, -88.57, -86.98, -74.53, -86.42, -83.57, -74.55, -86.94, 239.00
2020-03-06_15.10.56.980, -88.62, -76.72, -88.38, -86.73, -76.56, -88.59, -86.88, -77.20, -85.66, -85.41, -74.85, -87.02, 238.00
2020-03-06_15.10.57.980, -88.67, -79.36, -88.50, -87.85, -75.77, -88.69, -86.89, -79.67, -85.67, -86.15, -75.26, -86.73, 239.00
2020-03-06_15.10.58.980, -88.48, -81.79, -88.21, -88.35, -74.22, -88.53, -87.08, -81.85, -86.55, -86.65, -74.63, -87.15, 239.00
2020-03-06_15.10.59.980, -88.33, -83.88, -88.07, -88.34, -74.34, -88.33, -86.85, -83.66, -86.45, -86.82, -74.82, -86.80, 239.00
2020-03-06_15.11.00.980, -88.27, -85.51, -88.08, -88.30, -75.81, -88.28, -86.74, -84.91, -86.42, -86.77, -73.88, -86.80, 239.00
2020-03-06_15.11.01.980, -88.34, -86.64, -88.06, -88.27, -75.73, -88.32, -86.90, -85.57, -86.25, -86.71, -74.58, -86.83, 239.00
2020-03-06_15.11.02.980, -88.36, -87.38, -88.05, -88.28, -75.61, -88.34, -86.79, -85.49, -86.28, -86.73, -74.14, -86.82, 239.00
2020-03-06_15.11.03.980, -88.24, -87.60, -87.96, -88.25, -75.50, -88.30, -86.55, -85.29, -86.01, -86.60, -73.93, -86.63, 239.00
2020-03-06_15.11.04.980, -88.26, -87.61, -87.96, -88.21, -76.22, -88.20, -86.30, -83.81, -85.30, -86.25, -74.19, -86.19, 239.00
2020-03-06_15.11.05.980, -88.31, -87.20, -87.95, -88.24, -72.91, -88.32, -86.51, -84.84, -85.85, -86.40, -73.04, -86.55, 239.00
2020-03-06_15.11.06.980, -88.34, -87.51, -88.12, -88.29, -76.21, -88.34, -86.87, -84.62, -85.95, -86.47, -75.05, -86.97, 239.00
2020-03-06_15.11.07.980, -88.34, -87.89, -88.16, -88.29, -76.40, -88.34, -86.50, -84.63, -85.95, -86.53, -74.25, -86.44, 239.00
2020-03-06_15.11.08.980, -88.20, -87.81, -88.07, -88.24, -76.14, -88.21, -86.73, -85.40, -86.31, -86.54, -73.87, -86.68, 239.00
2020-03-06_15.11.09.981, -88.36, -87.90, -88.18, -88.25, -76.38, -88.34, -86.79, -85.70, -86.35, -86.61, -74.61, -86.76, 239.00
2020-03-06_15.11.10.977, -88.28, -87.77, -88.13, -88.27, -75.60, -88.29, -86.70, -85.61, -86.18, -86.64, -74.18, -86.72, 239.00
2020-03-06_15.11.11.980, -88.29, -87.82, -88.11, -88.27, -75.45, -88.29, -87.09, -85.90, -86.64, -86.75, -74.91, -87.10, 239.00
2020-03-06_15.11.12.980, -88.33, -87.81, -88.13, -88.27, -75.52, -88.33, -86.78, -85.22, -86.22, -86.81, -74.28, -86.81, 239.00
2020-03-06_15.11.13.980, -88.47, -87.71, -88.07, -88.28, -76.56, -88.44, -86.77, -85.15, -85.88, -86.62, -75.17, -86.71, 239.00
