yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.05.49.486, -86.44, -84.38, -84.88, -87.95, -72.64, -87.30, -83.80, -81.28, -82.42, -85.39, -70.98, -84.57, 240.00
2020-03-06_15.05.50.479, -80.37, -76.17, -77.90, -81.43, -63.17, -81.21, -79.85, -76.79, -78.21, -80.88, -62.85, -80.39, 239.00
2020-03-06_15.05.51.480, -78.15, -75.03, -76.49, -78.91, -63.17, -77.86, -78.34, -75.58, -76.57, -78.89, -62.53, -78.09, 239.00
2020-03-06_15.05.52.480, -81.80, -71.53, -75.99, -79.41, -50.39, -81.57, -80.91, -72.87, -76.92, -79.34, -52.06, -80.76, 239.00
2020-03-06_15.05.53.480, -86.27, -72.22, -81.37, -80.66, -61.67, -85.58, -83.69, -73.52, -79.60, -80.27, -61.19, -83.28, 239.00
2020-03-06_15.05.54.480, -73.50, -61.07, -65.51, -73.54, -41.28, -79.57, -74.09, -62.59, -66.56, -74.13, -42.77, -78.96, 239.00
2020-03-06_15.05.55.480, -84.74, -61.08, -65.65, -73.45, -56.12, -74.32, -84.22, -62.59, -66.70, -74.06, -57.15, -75.21, 239.00
2020-03-06_15.05.56.480, -88.67, -63.87, -88.33, -77.47, -75.67, -88.62, -86.95, -65.38, -86.52, -77.91, -74.47, -86.91, 239.00
2020-03-06_15.05.57.480, -88.59, -66.76, -88.41, -81.29, -75.37, -88.60, -87.19, -68.25, -86.66, -81.42, -74.16, -87.16, 239.00
2020-03-06_15.05.58.480, -64.74, -61.16, -61.30, -65.64, -57.37, -66.13, -64.73, -61.16, -61.31, -65.64, -57.41, -66.13, 239.00
2020-03-06_15.05.59.480, -61.17, -61.13, -61.16, -62.35, -57.04, -61.19, -61.18, -61.11, -61.16, -62.35, -56.10, -61.19, 239.00
2020-03-06_15.06.00.480, -61.18, -61.14, -61.17, -61.57, -57.39, -61.18, -61.18, -61.14, -61.17, -61.57, -57.00, -61.18, 239.00
2020-03-06_15.06.01.479, -61.17, -61.13, -61.16, -61.31, -57.42, -61.17, -61.17, -61.13, -61.16, -61.32, -57.25, -61.17, 239.00
2020-03-06_15.06.02.480, -61.16, -61.13, -61.15, -61.22, -57.16, -61.16, -61.16, -61.13, -61.15, -61.22, -57.17, -61.17, 239.00
2020-03-06_15.06.03.480, -61.16, -61.12, -61.14, -61.18, -57.38, -61.16, -61.16, -61.11, -61.14, -61.18, -56.94, -61.16, 239.00
2020-03-06_15.06.04.479, -61.17, -61.12, -61.15, -61.17, -57.28, -61.17, -61.17, -61.12, -61.15, -61.17, -57.15, -61.17, 239.00
2020-03-06_15.06.05.479, -61.17, -61.13, -61.16, -61.17, -57.32, -61.17, -61.17, -61.14, -61.16, -61.17, -57.02, -61.17, 239.00
2020-03-06_15.06.06.481, -61.16, -61.12, -61.14, -61.16, -57.32, -61.16, -61.16, -61.12, -61.14, -61.16, -57.26, -61.16, 239.00
2020-03-06_15.06.07.480, -61.17, -61.13, -61.15, -61.16, -57.31, -61.17, -61.17, -61.13, -61.15, -61.16, -57.32, -61.17, 239.00
2020-03-06_15.06.08.481, -61.16, -61.10, -61.13, -61.16, -57.37, -61.16, -61.16, -61.10, -61.13, -61.16, -57.25, -61.16, 239.00
2020-03-06_15.06.09.478, -61.16, -61.11, -61.14, -61.16, -57.35, -61.16, -61.16, -61.10, -61.14, -61.16, -56.85, -61.16, 239.00
2020-03-06_15.06.10.480, -61.16, -61.12, -61.15, -61.16, -57.33, -61.16, -61.16, -61.12, -61.15, -61.16, -57.03, -61.16, 239.00
2020-03-06_15.06.11.475, -61.16, -61.12, -61.14, -61.16, -57.34, -61.16, -61.16, -61.12, -61.15, -61.16, -57.20, -61.16, 239.00
2020-03-06_15.06.12.474, -61.16, -61.12, -61.14, -61.16, -57.37, -61.16, -61.16, -61.11, -61.14, -61.16, -57.19, -61.16, 239.00
2020-03-06_15.06.13.480, -61.54, -61.12, -61.14, -61.15, -57.30, -61.26, -61.54, -61.11, -61.14, -61.16, -56.87, -61.26, 239.00
2020-03-06_15.06.14.479, -88.47, -61.28, -64.08, -61.52, -74.18, -73.00, -85.95, -61.28, -64.08, -61.52, -67.75, -72.93, 239.00
2020-03-06_15.06.15.480, -88.51, -64.16, -87.60, -65.85, -75.20, -88.43, -85.58, -64.15, -82.08, -65.84, -67.17, -85.26, 239.00
2020-03-06_15.06.16.481, -87.27, -67.04, -83.60, -70.15, -60.87, -87.99, -84.98, -67.02, -82.90, -70.11, -62.58, -85.47, 239.00
2020-03-06_15.06.17.480, -86.76, -69.89, -84.30, -74.34, -70.19, -86.28, -80.50, -69.85, -76.79, -74.21, -60.36, -80.58, 239.00
2020-03-06_15.06.18.479, -76.95, -65.91, -69.60, -75.43, -46.09, -77.07, -76.52, -67.19, -70.80, -75.40, -48.08, -76.94, 239.00
2020-03-06_15.06.19.480, -78.84, -68.04, -77.01, -78.15, -55.94, -79.46, -78.47, -69.18, -76.43, -76.88, -57.95, -78.40, 238.00
2020-03-06_15.06.20.477, -74.08, -62.51, -66.88, -73.65, -44.18, -73.87, -70.86, -58.61, -63.16, -70.74, -45.80, -70.78, 240.00
