yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.12.06.068, -77.93, -71.76, -74.76, -79.29, -53.82, -79.24, -76.42, -68.23, -72.90, -78.21, -52.38, -77.29, 239.00
2020-03-06_15.12.07.061, -75.13, -69.06, -71.60, -75.80, -53.84, -74.83, -75.78, -69.70, -72.14, -76.07, -54.79, -75.42, 240.00
2020-03-06_15.12.08.060, -77.67, -66.60, -71.19, -75.80, -46.04, -77.45, -77.93, -68.26, -72.64, -76.37, -47.38, -77.84, 239.00
2020-03-06_15.12.09.062, -88.00, -67.74, -80.85, -77.23, -74.28, -86.14, -85.53, -69.36, -79.26, -77.44, -73.11, -83.97, 239.00
2020-03-06_15.12.10.061, -80.91, -69.58, -73.52, -79.57, -52.59, -81.18, -80.72, -70.98, -74.64, -79.84, -54.52, -80.99, 238.00
2020-03-06_15.12.11.061, -88.56, -70.35, -82.71, -80.64, -75.20, -87.26, -86.95, -71.70, -81.92, -80.47, -72.09, -85.95, 239.00
2020-03-06_15.12.12.060, -88.57, -73.18, -88.24, -83.91, -75.42, -88.52, -86.91, -74.47, -86.00, -83.37, -74.72, -86.82, 239.00
2020-03-06_15.12.13.061, -88.55, -75.96, -88.40, -86.25, -75.86, -88.57, -87.12, -77.14, -86.74, -85.28, -74.69, -87.12, 239.00
2020-03-06_15.12.14.061, -88.62, -78.64, -88.33, -87.56, -76.15, -88.61, -86.61, -79.64, -85.56, -86.30, -73.19, -86.69, 239.00
2020-03-06_15.12.15.061, -88.29, -81.14, -87.93, -88.20, -74.47, -88.35, -86.29, -81.78, -84.26, -86.13, -71.70, -86.27, 238.00
2020-03-06_15.12.16.060, -88.15, -83.30, -87.51, -88.12, -74.80, -88.13, -84.77, -78.39, -81.64, -85.00, -69.37, -84.95, 239.00
2020-03-06_15.12.17.060, -88.16, -85.02, -87.72, -88.13, -75.61, -88.21, -85.00, -78.49, -81.54, -84.74, -68.74, -85.64, 238.00
2020-03-06_15.12.18.062, -88.40, -86.27, -87.88, -88.14, -75.51, -88.32, -85.42, -78.51, -81.76, -84.71, -72.36, -84.65, 239.00
2020-03-06_15.12.19.060, -88.29, -87.16, -88.04, -88.24, -75.98, -88.31, -84.95, -80.59, -82.98, -84.69, -71.12, -85.04, 238.00
2020-03-06_15.12.20.060, -88.19, -87.68, -88.01, -88.22, -75.79, -88.20, -86.06, -81.84, -85.03, -85.13, -73.54, -85.97, 239.00
2020-03-06_15.12.21.061, -88.25, -87.80, -88.03, -88.20, -74.56, -88.23, -86.54, -83.41, -85.86, -85.73, -74.15, -86.52, 239.00
2020-03-06_15.12.22.060, -88.22, -87.58, -88.00, -88.18, -74.31, -88.21, -86.10, -82.92, -84.91, -85.97, -72.19, -86.11, 239.00
2020-03-06_15.12.23.061, -88.35, -87.78, -88.09, -88.22, -76.20, -88.33, -86.51, -83.35, -85.32, -86.12, -74.11, -86.45, 238.00
2020-03-06_15.12.24.061, -88.30, -87.89, -88.14, -88.29, -75.66, -88.34, -86.32, -84.59, -85.71, -86.31, -72.79, -86.46, 239.00
2020-03-06_15.12.25.060, -88.31, -87.80, -88.15, -88.29, -75.89, -88.31, -86.23, -84.31, -85.51, -86.18, -74.10, -86.14, 239.00
2020-03-06_15.12.26.060, -88.32, -87.79, -88.13, -88.28, -76.13, -88.30, -86.14, -84.42, -85.48, -86.11, -73.70, -86.18, 239.00
2020-03-06_15.12.27.062, -88.27, -87.82, -88.05, -88.26, -74.87, -88.28, -86.18, -83.91, -85.43, -86.05, -74.05, -86.20, 239.00
2020-03-06_15.12.28.061, -88.17, -87.54, -87.88, -88.17, -75.93, -88.18, -86.46, -84.76, -85.74, -86.17, -74.62, -86.48, 239.00
2020-03-06_15.12.29.061, -88.32, -87.55, -87.96, -88.17, -76.47, -88.30, -86.49, -84.45, -85.43, -86.21, -73.78, -86.39, 239.00
2020-03-06_15.12.30.061, -88.34, -87.70, -88.02, -88.23, -74.06, -88.30, -86.59, -85.24, -86.14, -86.43, -75.04, -86.56, 239.00
2020-03-06_15.12.31.061, -88.60, -87.98, -88.37, -88.33, -76.35, -88.60, -86.56, -85.03, -85.90, -86.48, -74.11, -86.58, 238.00
2020-03-06_15.12.32.061, -88.62, -88.18, -88.43, -88.49, -75.25, -88.63, -86.66, -85.06, -85.96, -86.53, -75.14, -86.65, 238.00
2020-03-06_15.12.33.061, -88.57, -88.10, -88.34, -88.53, -75.77, -88.55, -86.83, -85.33, -86.17, -86.60, -73.98, -86.91, 239.00
2020-03-06_15.12.34.059, -79.42, -66.82, -71.65, -79.81, -46.13, -79.48, -78.02, -68.33, -73.04, -79.48, -48.63, -78.51, 239.00
2020-03-06_15.12.35.061, -80.93, -68.70, -75.55, -80.37, -55.23, -81.35, -78.10, -70.03, -73.58, -78.09, -56.62, -78.90, 238.00
2020-03-06_15.12.36.061, -78.40, -71.37, -75.95, -78.80, -57.62, -79.04, -77.60, -70.15, -73.90, -77.37, -58.53, -77.33, 240.00
2020-03-06_15.12.37.057, -74.09, -66.01, -70.02, -74.44, -44.81, -74.06, -69.31, -60.62, -64.54, -70.24, -46.78, -69.38, 240.00
2020-03-06_15.12.38.055, -80.00, -67.19, -74.83, -75.77, -45.59, -79.52, -74.39, -62.59, -70.85, -71.37, -47.91, -74.71, 240.00
2020-03-06_15.12.39.061, -84.70, -69.84, -79.05, -77.80, -68.56, -83.38, -80.93, -65.21, -71.93, -73.04, -61.52, -78.15, 239.00
