yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.24.04.776, -77.20, -70.02, -73.98, -78.92, -53.02, -77.81, -77.48, -70.82, -74.45, -79.16, -56.03, -78.11, 241.00
2020-03-06_15.24.05.770, -72.98, -63.35, -67.23, -73.51, -46.71, -73.87, -73.25, -64.16, -67.91, -73.93, -48.60, -74.08, 241.00
2020-03-06_15.24.06.770, -79.43, -63.55, -70.25, -73.82, -48.47, -76.40, -79.65, -64.35, -70.70, -74.18, -49.95, -76.78, 243.00
2020-03-06_15.24.07.770, -80.82, -66.34, -73.65, -76.64, -52.07, -81.06, -78.76, -67.12, -73.63, -76.94, -53.08, -79.09, 243.00
2020-03-06_15.24.08.770, -88.60, -69.07, -82.16, -78.58, -75.15, -87.05, -86.59, -69.71, -79.27, -77.71, -74.30, -84.66, 243.00
2020-03-06_15.24.09.770, -88.57, -71.92, -88.43, -82.24, -76.36, -88.59, -86.89, -72.52, -86.40, -81.20, -74.37, -86.97, 243.00
2020-03-06_15.24.10.770, -88.57, -74.73, -88.28, -85.12, -75.85, -88.55, -86.56, -75.27, -85.94, -83.87, -74.45, -86.52, 243.00
2020-03-06_15.24.11.770, -86.74, -77.46, -82.56, -86.15, -63.20, -86.76, -84.82, -77.87, -81.64, -84.52, -64.07, -84.85, 243.00
2020-03-06_15.24.12.770, -88.61, -79.90, -88.36, -86.96, -76.05, -88.60, -87.01, -80.02, -86.32, -85.15, -74.74, -86.95, 243.00
2020-03-06_15.24.13.770, -88.58, -82.28, -88.37, -87.93, -74.82, -88.58, -86.96, -82.16, -86.34, -86.22, -73.29, -86.94, 243.00
2020-03-06_15.24.14.770, -88.62, -84.30, -88.49, -88.34, -75.76, -88.63, -87.04, -83.88, -86.69, -86.72, -74.52, -87.06, 243.00
2020-03-06_15.24.15.770, -88.59, -85.89, -88.43, -88.50, -76.18, -88.60, -86.72, -85.14, -86.37, -86.75, -74.84, -86.77, 243.00
2020-03-06_15.24.16.770, -86.32, -84.96, -85.23, -86.77, -73.89, -86.70, -85.66, -84.50, -84.99, -85.95, -73.60, -85.81, 243.00
2020-03-06_15.24.17.770, -85.17, -84.85, -85.03, -85.68, -72.99, -85.19, -84.98, -84.15, -84.63, -85.32, -73.57, -85.00, 243.00
2020-03-06_15.24.18.769, -85.14, -84.74, -84.99, -85.33, -74.36, -85.13, -85.22, -84.33, -84.90, -85.24, -72.69, -85.21, 243.00
2020-03-06_15.24.19.770, -85.08, -84.81, -85.00, -85.17, -73.63, -85.10, -85.14, -84.37, -84.92, -85.17, -73.47, -85.18, 243.00
2020-03-06_15.24.20.770, -85.16, -84.84, -85.01, -85.14, -74.01, -85.15, -85.27, -84.40, -84.93, -85.17, -73.92, -85.23, 243.00
2020-03-06_15.24.21.770, -85.22, -84.89, -85.06, -85.14, -74.85, -85.21, -85.03, -83.98, -84.72, -85.09, -73.97, -85.07, 243.00
2020-03-06_15.24.22.770, -85.23, -84.92, -85.10, -85.18, -73.82, -85.22, -85.06, -84.42, -84.75, -85.03, -73.90, -85.02, 243.00
2020-03-06_15.24.23.770, -85.13, -84.86, -85.04, -85.15, -72.62, -85.15, -85.00, -84.11, -84.75, -85.01, -71.61, -85.02, 243.00
2020-03-06_15.24.24.769, -85.20, -84.82, -85.04, -85.15, -73.50, -85.21, -85.21, -84.24, -84.78, -85.00, -74.37, -85.22, 243.00
2020-03-06_15.24.25.769, -85.23, -84.82, -85.01, -85.17, -74.00, -85.22, -85.19, -84.54, -84.91, -85.14, -74.09, -85.20, 243.00
2020-03-06_15.24.26.770, -85.12, -84.81, -84.98, -85.14, -74.22, -85.12, -85.15, -84.17, -84.73, -85.09, -73.36, -85.13, 243.00
2020-03-06_15.24.27.769, -85.06, -84.67, -84.88, -85.09, -74.06, -85.07, -85.08, -84.38, -84.81, -85.06, -72.60, -85.07, 243.00
2020-03-06_15.24.28.770, -85.08, -84.76, -84.95, -85.06, -74.56, -85.06, -85.11, -84.33, -84.79, -85.04, -73.37, -85.10, 243.00
2020-03-06_15.24.29.770, -85.13, -84.74, -85.00, -85.08, -73.98, -85.13, -85.11, -84.21, -84.71, -85.06, -73.49, -85.14, 243.00
2020-03-06_15.24.30.769, -85.11, -84.87, -85.01, -85.10, -73.97, -85.12, -85.12, -84.34, -84.82, -85.09, -72.96, -85.11, 243.00
2020-03-06_15.24.31.770, -85.65, -84.78, -84.95, -85.07, -73.95, -85.38, -85.48, -84.46, -84.92, -85.09, -73.32, -85.30, 243.00
2020-03-06_15.24.32.770, -88.58, -85.16, -87.65, -85.59, -75.60, -88.46, -87.17, -84.94, -86.51, -85.43, -75.62, -87.06, 243.00
2020-03-06_15.24.33.770, -88.67, -86.50, -88.49, -87.23, -76.50, -88.66, -86.83, -85.71, -86.47, -86.49, -75.08, -86.92, 243.00
2020-03-06_15.24.34.770, -88.55, -87.42, -88.38, -88.08, -76.46, -88.55, -86.99, -85.78, -86.47, -86.68, -74.44, -86.97, 243.00
2020-03-06_15.24.35.770, -88.60, -87.94, -88.44, -88.38, -75.89, -88.61, -87.02, -85.66, -86.38, -86.80, -75.68, -86.99, 243.00
2020-03-06_15.24.36.770, -88.64, -88.24, -88.46, -88.51, -76.14, -88.62, -87.06, -85.63, -86.67, -86.94, -75.19, -87.11, 243.00
2020-03-06_15.24.37.770, -88.48, -86.47, -87.58, -88.44, -74.18, -88.50, -86.23, -83.09, -84.38, -86.32, -73.20, -86.49, 243.00
2020-03-06_15.24.38.770, -87.95, -83.71, -86.25, -88.04, -66.14, -87.94, -83.46, -77.46, -79.96, -83.81, -66.42, -83.41, 243.00
2020-03-06_15.24.39.770, -88.61, -85.30, -88.44, -88.26, -75.52, -88.64, -86.09, -78.43, -85.21, -84.46, -72.91, -86.08, 243.00
2020-03-06_15.24.40.770, -85.01, -74.02, -78.56, -85.03, -57.96, -87.70, -83.27, -73.69, -77.67, -83.19, -59.56, -85.32, 243.00
2020-03-06_15.24.41.770, -74.74, -63.97, -67.42, -75.03, -47.01, -74.57, -73.92, -64.51, -68.11, -75.13, -45.80, -73.78, 243.00
2020-03-06_15.24.42.769, -71.02, -58.11, -63.05, -71.03, -39.75, -71.22, -72.06, -59.54, -64.40, -71.88, -41.19, -72.27, 241.00
2020-03-06_15.24.43.764, -65.51, -54.70, -58.18, -65.56, -35.06, -66.99, -63.25, -52.74, -56.22, -63.57, -35.15, -64.73, 243.00
2020-03-06_15.24.44.765, -77.86, -54.92, -61.70, -65.90, -47.16, -70.04, -74.16, -53.01, -59.50, -63.80, -48.69, -67.65, 232.00
2020-03-06_15.24.45.764, -78.54, -57.79, -72.23, -69.82, -44.69, -78.17, -75.42, -55.87, -71.89, -67.51, -46.54, -74.74, 227.00
2020-03-06_15.24.46.769, -84.81, -60.66, -82.50, -73.36, -71.03, -84.40, -82.54, -58.72, -77.74, -70.83, -69.46, -81.48, 239.00
