yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.14.36.647, -76.10, -70.95, -73.03, -77.56, -54.00, -76.80, -76.75, -71.91, -73.65, -78.28, -54.17, -77.42, 239.00
2020-03-06_15.14.37.642, -74.71, -66.87, -70.08, -74.57, -49.08, -74.37, -75.10, -67.92, -70.89, -75.31, -48.95, -74.88, 239.00
2020-03-06_15.14.38.641, -77.94, -66.27, -70.93, -75.30, -47.17, -77.77, -78.02, -67.76, -72.21, -75.90, -48.89, -77.78, 239.00
2020-03-06_15.14.39.640, -68.86, -56.25, -60.84, -68.91, -39.25, -69.20, -68.81, -56.77, -61.22, -69.01, -41.03, -69.15, 239.00
2020-03-06_15.14.40.640, -88.59, -57.04, -70.97, -70.00, -75.59, -79.51, -86.71, -57.54, -70.72, -69.95, -74.63, -79.04, 239.00
2020-03-06_15.14.41.640, -88.68, -59.93, -88.33, -74.24, -75.56, -88.66, -87.10, -60.43, -86.54, -74.14, -73.70, -87.09, 239.00
2020-03-06_15.14.42.640, -88.62, -62.82, -88.37, -78.32, -75.35, -88.62, -86.89, -63.31, -86.28, -78.12, -74.09, -86.91, 239.00
2020-03-06_15.14.43.640, -55.43, -55.07, -55.09, -57.28, -51.36, -56.06, -56.81, -56.44, -56.47, -58.65, -52.65, -57.44, 239.00
2020-03-06_15.14.44.640, -55.08, -55.05, -55.07, -55.77, -51.63, -55.08, -56.46, -56.43, -56.44, -57.14, -52.96, -56.46, 239.00
2020-03-06_15.14.45.640, -55.07, -55.05, -55.06, -55.31, -51.65, -55.07, -56.45, -56.42, -56.44, -56.69, -52.84, -56.44, 239.00
2020-03-06_15.14.46.640, -55.09, -55.06, -55.07, -55.17, -51.67, -55.09, -56.46, -56.43, -56.45, -56.55, -52.88, -56.46, 239.00
2020-03-06_15.14.47.642, -55.10, -55.07, -55.09, -55.12, -51.76, -55.09, -56.47, -56.45, -56.46, -56.50, -52.95, -56.47, 239.00
2020-03-06_15.14.48.640, -55.13, -55.08, -55.10, -55.12, -51.69, -55.12, -56.50, -56.46, -56.48, -56.50, -52.95, -56.50, 239.00
2020-03-06_15.14.49.640, -55.11, -55.08, -55.10, -55.12, -51.77, -55.12, -56.49, -56.46, -56.47, -56.49, -52.98, -56.49, 239.00
2020-03-06_15.14.50.641, -55.11, -55.09, -55.10, -55.11, -51.69, -55.10, -56.48, -56.46, -56.47, -56.49, -53.00, -56.48, 239.00
2020-03-06_15.14.51.640, -55.10, -55.08, -55.10, -55.11, -51.75, -55.11, -56.48, -56.46, -56.47, -56.48, -52.85, -56.48, 239.00
2020-03-06_15.14.52.640, -55.11, -55.08, -55.09, -55.10, -51.63, -55.11, -56.48, -56.46, -56.47, -56.48, -52.96, -56.48, 239.00
2020-03-06_15.14.53.641, -55.11, -55.09, -55.11, -55.11, -51.70, -55.11, -56.49, -56.47, -56.48, -56.48, -53.00, -56.49, 239.00
2020-03-06_15.14.54.640, -55.11, -55.09, -55.10, -55.11, -51.74, -55.11, -56.49, -56.47, -56.48, -56.48, -52.95, -56.49, 239.00
2020-03-06_15.14.55.640, -55.10, -55.08, -55.09, -55.10, -51.68, -55.10, -56.47, -56.45, -56.47, -56.48, -52.90, -56.48, 239.00
2020-03-06_15.14.56.640, -55.11, -55.08, -55.09, -55.10, -51.69, -55.10, -56.48, -56.46, -56.46, -56.48, -52.94, -56.48, 239.00
2020-03-06_15.14.57.640, -55.10, -55.08, -55.09, -55.10, -51.70, -55.10, -56.48, -56.46, -56.47, -56.48, -52.95, -56.48, 239.00
2020-03-06_15.14.58.640, -58.70, -55.07, -55.09, -55.10, -51.69, -57.61, -60.07, -56.45, -56.46, -56.47, -52.85, -58.99, 239.00
2020-03-06_15.14.59.641, -88.61, -56.61, -74.52, -57.55, -76.31, -82.51, -87.10, -57.98, -75.76, -58.92, -75.16, -83.01, 239.00
2020-03-06_15.15.00.640, -88.53, -59.50, -87.71, -61.88, -70.06, -88.50, -87.13, -60.87, -86.31, -63.25, -69.67, -87.06, 239.00
2020-03-06_15.15.01.642, -88.54, -62.39, -88.35, -66.21, -76.19, -88.58, -86.88, -63.76, -86.27, -67.57, -74.19, -87.01, 239.00
2020-03-06_15.15.02.640, -79.62, -65.27, -72.11, -70.51, -48.22, -79.67, -78.78, -66.63, -73.26, -71.82, -48.97, -79.07, 239.00
2020-03-06_15.15.03.640, -78.95, -68.03, -71.75, -74.12, -50.28, -78.95, -79.06, -69.29, -72.81, -74.90, -52.06, -78.84, 239.00
2020-03-06_15.15.04.635, -80.43, -69.95, -76.83, -76.77, -64.57, -81.68, -78.40, -71.20, -75.47, -77.05, -62.40, -79.11, 239.00
2020-03-06_15.15.05.635, -72.63, -67.41, -70.49, -73.74, -49.01, -73.11, -70.77, -63.36, -66.66, -71.73, -50.88, -71.55, 240.00
2020-03-06_15.15.06.635, -80.00, -68.14, -71.56, -73.67, -56.20, -77.52, -77.43, -63.81, -68.58, -71.62, -56.91, -74.83, 202.00
2020-03-06_15.15.07.635, -76.72, -68.56, -71.85, -75.21, -46.43, -76.74, -74.25, -66.51, -70.29, -73.39, -47.23, -74.40, 208.00
2020-03-06_15.15.08.641, -83.84, -70.41, -82.25, -77.32, -67.59, -83.49, -81.49, -68.79, -76.37, -74.64, -69.00, -80.38, 214.00
