yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.26.14.136, -57.73, -50.81, -52.69, -58.82, -37.51, -57.85, -54.38, -47.28, -49.21, -55.22, -38.38, -54.51, 242.00
2020-03-06_15.26.15.126, -75.20, -51.98, -64.62, -60.06, -57.67, -71.44, -73.95, -48.55, -60.85, -56.73, -56.78, -68.49, 242.00
2020-03-06_15.26.16.129, -78.08, -54.86, -70.90, -64.20, -48.64, -77.75, -78.05, -51.44, -72.01, -60.97, -49.58, -77.75, 241.00
2020-03-06_15.26.17.131, -80.25, -57.73, -74.15, -68.31, -53.82, -80.70, -73.17, -54.32, -68.21, -65.19, -53.22, -73.46, 241.00
2020-03-06_15.26.18.129, -88.62, -60.60, -79.91, -72.13, -75.70, -86.05, -86.36, -57.16, -75.36, -68.42, -73.11, -82.45, 241.00
2020-03-06_15.26.19.129, -88.53, -63.49, -88.37, -76.31, -76.03, -88.55, -85.83, -60.05, -84.87, -72.65, -73.57, -86.01, 241.00
2020-03-06_15.26.20.130, -88.54, -66.37, -88.36, -80.23, -75.80, -88.56, -86.14, -62.94, -85.21, -76.64, -73.90, -86.07, 241.00
2020-03-06_15.26.21.128, -77.93, -65.11, -69.93, -77.64, -52.08, -78.03, -76.36, -63.89, -68.68, -75.94, -51.12, -76.46, 241.00
2020-03-06_15.26.22.129, -88.60, -66.30, -83.66, -79.29, -75.63, -87.58, -87.09, -65.07, -81.47, -77.39, -74.13, -85.85, 241.00
2020-03-06_15.26.23.126, -88.60, -69.17, -88.44, -82.84, -76.33, -88.62, -87.17, -67.94, -86.79, -81.00, -75.08, -87.20, 241.00
2020-03-06_15.26.24.129, -88.54, -72.02, -88.32, -85.55, -76.41, -88.52, -86.90, -70.79, -86.52, -83.83, -73.59, -86.87, 241.00
2020-03-06_15.26.25.129, -88.62, -74.83, -88.47, -87.19, -75.57, -88.62, -87.24, -73.58, -86.89, -85.51, -74.35, -87.20, 241.00
2020-03-06_15.26.26.129, -88.60, -77.55, -88.40, -88.04, -76.42, -88.59, -87.05, -76.30, -86.60, -86.53, -74.87, -87.04, 241.00
2020-03-06_15.26.27.129, -88.44, -80.14, -88.32, -88.38, -72.90, -88.46, -87.03, -78.87, -86.76, -86.89, -73.41, -87.08, 241.00
2020-03-06_15.26.28.129, -88.50, -82.46, -88.28, -88.42, -76.07, -88.49, -87.14, -81.18, -86.51, -86.97, -74.27, -87.10, 241.00
2020-03-06_15.26.29.129, -88.56, -84.44, -88.36, -88.46, -76.08, -88.54, -86.91, -83.13, -86.52, -86.93, -75.05, -86.99, 241.00
2020-03-06_15.26.30.129, -88.46, -85.98, -88.27, -88.48, -75.15, -88.49, -86.90, -84.58, -86.37, -86.84, -74.88, -86.86, 241.00
2020-03-06_15.26.31.129, -88.59, -87.02, -88.38, -88.49, -75.51, -88.57, -87.03, -85.53, -86.53, -86.88, -74.18, -87.02, 241.00
2020-03-06_15.26.32.129, -88.61, -87.71, -88.42, -88.54, -75.80, -88.59, -87.00, -85.34, -86.41, -86.93, -74.91, -87.00, 241.00
2020-03-06_15.26.33.129, -88.60, -88.12, -88.45, -88.57, -75.41, -88.61, -87.12, -85.87, -86.85, -86.97, -75.46, -87.11, 241.00
2020-03-06_15.26.34.130, -88.60, -88.03, -88.37, -88.55, -75.76, -88.60, -87.18, -86.25, -86.82, -87.04, -74.98, -87.18, 241.00
2020-03-06_15.26.35.129, -88.42, -86.68, -87.80, -88.45, -75.45, -88.48, -86.52, -83.18, -85.22, -86.63, -72.24, -86.63, 241.00
2020-03-06_15.26.36.129, -88.60, -86.75, -88.19, -88.44, -73.25, -88.54, -86.83, -83.30, -86.10, -86.60, -73.87, -86.69, 241.00
2020-03-06_15.26.37.129, -88.52, -87.56, -88.32, -88.50, -75.20, -88.53, -87.00, -84.68, -86.72, -86.79, -75.18, -87.05, 241.00
2020-03-06_15.26.38.130, -88.46, -87.91, -88.24, -88.48, -76.29, -88.50, -87.03, -85.67, -86.76, -86.92, -74.98, -86.98, 241.00
2020-03-06_15.26.39.130, -88.57, -87.92, -88.31, -88.47, -76.05, -88.54, -86.91, -85.94, -86.44, -86.87, -75.20, -86.93, 241.00
2020-03-06_15.26.40.129, -88.57, -87.97, -88.31, -88.52, -75.19, -88.55, -87.11, -86.22, -86.79, -86.94, -74.98, -87.08, 241.00
2020-03-06_15.26.41.129, -88.57, -88.07, -88.40, -88.55, -74.12, -88.60, -86.93, -85.88, -86.56, -86.94, -74.09, -86.97, 241.00
2020-03-06_15.26.42.130, -88.57, -88.08, -88.39, -88.52, -76.57, -88.55, -86.85, -85.66, -86.44, -86.83, -75.53, -86.88, 241.00
2020-03-06_15.26.43.129, -88.56, -88.12, -88.36, -88.53, -75.96, -88.57, -86.85, -85.32, -86.15, -86.73, -74.34, -86.81, 241.00
2020-03-06_15.26.44.129, -88.59, -88.12, -88.39, -88.56, -76.25, -88.62, -86.79, -84.76, -85.77, -86.72, -73.47, -86.83, 241.00
2020-03-06_15.26.45.129, -87.50, -81.62, -84.57, -87.62, -69.72, -87.54, -84.01, -78.15, -81.00, -84.57, -66.27, -84.20, 241.00
2020-03-06_15.26.46.129, -88.47, -82.36, -87.92, -87.83, -74.96, -88.41, -85.54, -78.85, -83.04, -84.50, -72.57, -85.30, 241.00
2020-03-06_15.26.47.129, -83.47, -72.26, -76.75, -83.58, -55.19, -86.27, -80.90, -70.95, -74.57, -81.05, -57.26, -83.71, 241.00
2020-03-06_15.26.48.129, -82.50, -72.29, -75.89, -81.55, -59.69, -81.23, -77.92, -70.96, -74.66, -78.49, -61.93, -77.33, 241.00
2020-03-06_15.26.49.129, -69.76, -57.14, -62.11, -70.43, -39.60, -70.10, -70.70, -58.75, -63.69, -71.50, -41.11, -71.13, 242.00
2020-03-06_15.26.50.126, -63.25, -54.09, -57.03, -63.55, -33.53, -63.26, -61.14, -51.92, -54.65, -61.54, -35.66, -61.18, 241.00
2020-03-06_15.26.51.124, -75.71, -55.25, -70.57, -65.25, -45.10, -74.49, -72.29, -53.06, -67.04, -63.18, -46.91, -71.35, 226.00
2020-03-06_15.26.52.124, -79.00, -58.11, -73.31, -68.97, -43.82, -78.65, -76.70, -55.91, -71.14, -66.68, -45.51, -76.20, 217.00
