yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.36.01.339, -76.37, -71.96, -74.45, -77.90, -52.55, -77.22, -76.88, -72.98, -74.93, -78.35, -54.71, -77.82, 245.00
2020-03-06_15.36.02.330, -74.97, -65.34, -70.08, -75.37, -47.05, -76.26, -75.06, -66.96, -71.24, -75.59, -49.39, -75.88, 245.00
2020-03-06_15.36.03.330, -80.82, -64.86, -69.31, -74.91, -53.04, -76.93, -79.28, -66.47, -70.54, -75.25, -54.58, -76.94, 244.00
2020-03-06_15.36.04.328, -79.94, -67.58, -72.99, -77.37, -52.77, -79.93, -75.52, -66.88, -70.21, -74.77, -54.05, -75.43, 245.00
2020-03-06_15.36.05.329, -88.53, -70.27, -87.32, -79.68, -74.43, -88.36, -86.78, -68.67, -84.85, -76.89, -74.19, -86.59, 245.00
2020-03-06_15.36.06.327, -88.59, -73.10, -88.36, -83.15, -74.39, -88.57, -86.65, -71.50, -85.49, -80.51, -73.00, -86.48, 245.00
2020-03-06_15.36.07.330, -88.56, -75.88, -88.40, -85.76, -76.44, -88.58, -86.72, -74.27, -85.64, -83.38, -74.52, -86.85, 245.00
2020-03-06_15.36.08.330, -86.82, -78.56, -82.93, -86.59, -63.62, -87.03, -82.38, -75.62, -78.05, -82.54, -63.37, -83.09, 245.00
2020-03-06_15.36.09.330, -88.72, -80.38, -86.57, -86.79, -75.73, -88.40, -86.13, -75.86, -80.29, -82.61, -73.29, -84.74, 244.00
2020-03-06_15.36.10.330, -74.83, -71.61, -71.78, -75.76, -66.29, -76.05, -66.29, -63.00, -63.17, -67.26, -58.58, -67.56, 245.00
2020-03-06_15.36.11.330, -71.67, -71.56, -71.63, -72.78, -66.54, -71.69, -63.07, -62.94, -63.02, -64.19, -58.88, -63.08, 245.00
2020-03-06_15.36.12.329, -71.67, -71.56, -71.62, -72.04, -66.03, -71.67, -63.06, -62.95, -63.01, -63.44, -58.97, -63.06, 244.00
2020-03-06_15.36.13.325, -71.66, -71.54, -71.61, -71.80, -66.33, -71.66, -63.05, -62.92, -63.00, -63.19, -58.84, -63.05, 244.00
2020-03-06_15.36.14.329, -71.67, -71.54, -71.62, -71.71, -66.27, -71.66, -63.06, -62.93, -63.01, -63.10, -58.96, -63.05, 245.00
2020-03-06_15.36.15.329, -71.66, -71.54, -71.61, -71.68, -66.28, -71.66, -63.05, -62.92, -63.00, -63.06, -58.58, -63.05, 244.00
2020-03-06_15.36.16.330, -71.66, -71.53, -71.61, -71.66, -66.14, -71.66, -63.04, -62.92, -63.00, -63.05, -58.69, -63.05, 244.00
2020-03-06_15.36.17.329, -71.68, -71.54, -71.63, -71.66, -66.31, -71.68, -63.07, -62.92, -63.02, -63.05, -58.87, -63.07, 245.00
2020-03-06_15.36.18.330, -71.69, -71.56, -71.65, -71.67, -65.99, -71.69, -63.08, -62.95, -63.03, -63.06, -58.92, -63.08, 244.00
2020-03-06_15.36.19.330, -71.68, -71.53, -71.63, -71.67, -66.27, -71.68, -63.07, -62.92, -63.02, -63.06, -58.79, -63.07, 244.00
2020-03-06_15.36.20.329, -71.68, -71.54, -71.63, -71.67, -66.13, -71.68, -63.07, -62.93, -63.02, -63.06, -58.70, -63.07, 244.00
2020-03-06_15.36.21.329, -71.67, -71.55, -71.62, -71.67, -66.04, -71.67, -63.06, -62.94, -63.00, -63.06, -58.83, -63.06, 245.00
2020-03-06_15.36.22.329, -71.67, -71.55, -71.62, -71.66, -66.34, -71.67, -63.06, -62.94, -63.01, -63.05, -58.95, -63.06, 245.00
2020-03-06_15.36.23.329, -71.65, -71.51, -71.60, -71.65, -66.59, -71.66, -63.04, -62.90, -62.98, -63.04, -58.86, -63.05, 244.00
2020-03-06_15.36.24.330, -71.67, -71.54, -71.63, -71.65, -66.44, -71.67, -63.06, -62.92, -63.02, -63.04, -58.89, -63.06, 244.00
2020-03-06_15.36.25.329, -72.21, -71.51, -71.60, -71.65, -66.31, -71.85, -63.61, -62.90, -62.99, -63.04, -58.83, -63.25, 245.00
2020-03-06_15.36.26.329, -88.59, -71.81, -75.79, -72.19, -75.43, -83.46, -87.21, -63.20, -67.28, -63.58, -74.71, -76.02, 244.00
2020-03-06_15.36.27.329, -88.59, -74.61, -88.42, -76.36, -76.75, -88.60, -87.04, -66.08, -86.18, -67.89, -74.50, -86.97, 245.00
2020-03-06_15.36.28.330, -88.64, -77.35, -88.43, -80.28, -74.93, -88.63, -87.43, -68.94, -87.02, -72.15, -75.37, -87.44, 244.00
2020-03-06_15.36.29.327, -88.53, -79.95, -88.30, -83.65, -76.19, -88.54, -86.95, -71.78, -86.56, -76.27, -75.21, -86.97, 245.00
2020-03-06_15.36.30.330, -88.57, -82.31, -88.36, -86.07, -75.62, -88.57, -87.03, -74.55, -86.63, -80.02, -74.50, -87.05, 244.00
2020-03-06_15.36.31.329, -88.59, -84.32, -88.41, -87.47, -76.47, -88.58, -87.25, -77.22, -86.73, -83.07, -74.88, -87.17, 245.00
2020-03-06_15.36.32.330, -88.62, -85.90, -88.35, -88.14, -76.19, -88.60, -86.93, -79.72, -86.37, -85.24, -73.98, -87.01, 245.00
2020-03-06_15.36.33.329, -88.57, -87.01, -88.42, -88.43, -75.61, -88.59, -87.06, -81.90, -86.50, -86.20, -75.42, -87.00, 244.00
2020-03-06_15.36.34.330, -88.55, -87.71, -88.35, -88.51, -76.39, -88.55, -87.12, -83.69, -86.68, -86.75, -74.49, -87.13, 245.00
2020-03-06_15.36.35.330, -88.59, -88.09, -88.45, -88.53, -75.10, -88.58, -87.00, -85.04, -86.64, -86.96, -74.28, -87.03, 245.00
2020-03-06_15.36.36.329, -88.62, -88.18, -88.44, -88.58, -75.81, -88.64, -87.14, -85.88, -86.81, -86.98, -73.55, -87.16, 244.00
2020-03-06_15.36.37.330, -88.61, -88.14, -88.45, -88.58, -73.38, -88.60, -87.27, -85.96, -86.83, -87.06, -75.04, -87.24, 244.00
2020-03-06_15.36.38.330, -88.50, -87.93, -88.27, -88.52, -75.51, -88.52, -87.14, -85.91, -86.61, -87.06, -75.18, -87.10, 244.00
2020-03-06_15.36.39.329, -88.68, -88.02, -88.41, -88.52, -76.04, -88.65, -87.19, -86.09, -86.62, -87.13, -74.41, -87.29, 244.00
2020-03-06_15.36.40.329, -88.63, -88.24, -88.49, -88.59, -75.75, -88.64, -86.88, -86.08, -86.54, -86.94, -74.94, -86.85, 245.00
2020-03-06_15.36.41.329, -88.54, -88.19, -88.41, -88.56, -76.16, -88.54, -86.82, -85.95, -86.43, -86.85, -75.42, -86.87, 245.00
2020-03-06_15.36.42.329, -88.49, -87.98, -88.24, -88.49, -75.84, -88.49, -86.88, -85.25, -86.14, -86.72, -73.81, -86.83, 244.00
2020-03-06_15.36.43.329, -88.41, -85.88, -87.38, -88.38, -73.46, -88.44, -86.65, -82.45, -84.86, -86.62, -72.67, -86.77, 244.00
2020-03-06_15.36.44.330, -88.51, -86.15, -88.15, -88.38, -73.98, -88.47, -84.89, -81.16, -82.58, -85.25, -70.11, -84.83, 245.00
2020-03-06_15.36.45.330, -88.55, -87.14, -88.39, -88.47, -74.84, -88.57, -85.88, -82.32, -84.70, -85.69, -72.97, -86.12, 245.00
2020-03-06_15.36.46.330, -74.05, -62.51, -66.53, -74.35, -45.87, -74.07, -72.31, -62.64, -66.50, -73.42, -45.65, -72.34, 244.00
2020-03-06_15.36.47.330, -70.23, -57.44, -62.36, -70.44, -37.52, -70.53, -71.32, -59.09, -63.94, -71.24, -39.29, -71.64, 245.00
2020-03-06_15.36.48.326, -67.06, -58.06, -61.80, -67.26, -40.83, -67.03, -65.62, -55.50, -59.06, -65.78, -42.23, -65.65, 245.00
2020-03-06_15.36.49.325, -79.50, -59.19, -73.46, -68.79, -47.36, -78.47, -78.40, -56.65, -71.87, -67.41, -48.94, -77.08, 245.00
2020-03-06_15.36.50.329, -82.12, -62.05, -74.65, -72.52, -45.71, -80.78, -79.89, -59.52, -73.61, -71.21, -47.41, -79.13, 243.00
