yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.02.48.096, -79.40, -76.23, -77.30, -80.92, -65.89, -80.20, -74.66, -71.24, -72.53, -76.18, -61.59, -75.37, 193.00
2020-03-06_15.02.49.089, -77.28, -74.12, -75.46, -78.04, -61.71, -77.59, -75.58, -70.23, -72.59, -75.54, -60.92, -75.45, 239.00
2020-03-06_15.02.50.089, -76.57, -71.12, -73.43, -76.29, -55.15, -76.15, -75.66, -70.48, -72.55, -74.77, -57.74, -75.17, 239.00
2020-03-06_15.02.51.090, -84.35, -71.99, -81.08, -77.34, -67.89, -83.60, -81.92, -72.34, -80.24, -76.02, -66.46, -81.71, 239.00
2020-03-06_15.02.52.090, -79.38, -66.70, -71.42, -77.91, -48.94, -79.37, -79.64, -68.10, -72.65, -77.57, -49.90, -79.45, 239.00
2020-03-06_15.02.53.090, -80.01, -68.41, -72.80, -78.91, -52.03, -81.00, -80.20, -69.79, -73.85, -79.06, -54.07, -81.12, 239.00
2020-03-06_15.02.54.090, -88.41, -69.35, -77.41, -79.40, -75.21, -84.52, -85.67, -70.81, -77.69, -79.44, -72.00, -83.39, 239.00
2020-03-06_15.02.55.090, -88.61, -72.20, -88.39, -82.90, -75.85, -88.60, -87.07, -73.57, -86.71, -82.38, -74.39, -87.09, 239.00
2020-03-06_15.02.56.089, -88.55, -75.00, -88.36, -85.59, -75.95, -88.55, -87.20, -76.29, -86.67, -84.70, -75.36, -87.13, 239.00
2020-03-06_15.02.57.090, -88.60, -77.72, -88.38, -87.23, -76.25, -88.61, -87.24, -78.86, -86.93, -86.11, -74.67, -87.26, 239.00
2020-03-06_15.02.58.090, -88.63, -80.29, -88.44, -88.04, -75.76, -88.64, -87.38, -81.20, -86.93, -86.77, -74.61, -87.35, 239.00
2020-03-06_15.02.59.089, -88.70, -82.62, -88.46, -88.39, -74.85, -88.69, -87.25, -83.20, -86.93, -87.13, -75.75, -87.27, 239.00
2020-03-06_15.03.00.088, -88.60, -84.60, -88.44, -88.57, -74.60, -88.60, -87.10, -84.72, -86.39, -87.05, -74.70, -87.12, 239.00
2020-03-06_15.03.01.090, -88.66, -86.10, -88.52, -88.58, -76.30, -88.65, -87.20, -85.70, -86.65, -87.06, -74.98, -87.14, 239.00
2020-03-06_15.03.02.090, -88.55, -87.16, -88.32, -88.56, -74.82, -88.56, -86.86, -84.93, -86.10, -86.90, -72.34, -86.91, 239.00
2020-03-06_15.03.03.089, -88.58, -87.79, -88.39, -88.56, -74.73, -88.59, -87.03, -85.48, -86.51, -86.90, -73.42, -87.02, 239.00
2020-03-06_15.03.04.089, -88.63, -88.08, -88.41, -88.57, -75.10, -88.61, -87.04, -85.84, -86.62, -86.98, -73.89, -87.09, 239.00
2020-03-06_15.03.05.089, -88.60, -88.26, -88.46, -88.58, -76.56, -88.60, -87.21, -86.01, -86.61, -86.99, -74.83, -87.12, 239.00
2020-03-06_15.03.06.089, -88.56, -87.96, -88.41, -88.56, -73.68, -88.57, -86.93, -85.25, -86.23, -86.92, -74.94, -86.97, 239.00
2020-03-06_15.03.07.089, -64.83, -61.16, -61.34, -65.73, -57.35, -66.24, -64.82, -61.16, -61.34, -65.72, -57.41, -66.24, 239.00
