yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.18.53.796, -71.19, -59.52, -63.96, -72.22, -42.45, -71.43, -72.11, -60.78, -65.12, -73.27, -43.33, -72.35, 241.00
2020-03-06_15.18.54.790, -75.95, -60.81, -72.23, -73.14, -57.18, -75.45, -76.55, -62.06, -73.00, -74.01, -58.42, -76.12, 241.00
2020-03-06_15.18.55.789, -78.73, -63.59, -70.86, -73.97, -47.81, -78.50, -79.14, -64.82, -72.29, -74.90, -49.49, -78.91, 241.00
2020-03-06_15.18.56.790, -79.24, -66.39, -73.14, -77.26, -54.24, -79.38, -71.51, -61.34, -65.21, -71.84, -51.25, -71.63, 241.00
2020-03-06_15.18.57.790, -88.41, -69.07, -83.31, -78.55, -73.23, -87.34, -85.85, -62.53, -77.41, -73.03, -68.84, -83.47, 241.00
2020-03-06_15.18.58.789, -88.50, -71.91, -88.23, -82.18, -75.33, -88.47, -86.93, -65.40, -85.13, -76.98, -74.77, -86.66, 241.00
2020-03-06_15.18.59.789, -88.51, -74.72, -88.36, -85.06, -76.17, -88.54, -86.39, -68.27, -85.81, -80.63, -74.72, -86.49, 241.00
2020-03-06_15.19.00.790, -88.43, -77.45, -87.96, -86.91, -75.37, -88.40, -85.99, -71.10, -85.11, -83.31, -71.84, -85.97, 241.00
2020-03-06_15.19.01.789, -88.65, -80.03, -88.49, -87.82, -75.66, -88.67, -86.27, -73.86, -85.06, -84.83, -72.10, -86.29, 241.00
2020-03-06_15.19.02.790, -78.40, -66.07, -70.52, -78.57, -52.42, -78.70, -76.91, -65.12, -69.54, -77.32, -50.75, -77.23, 241.00
2020-03-06_15.19.03.790, -88.66, -66.87, -80.44, -79.65, -76.48, -86.35, -86.78, -65.90, -78.54, -78.07, -73.96, -84.44, 241.00
2020-03-06_15.19.04.790, -88.55, -69.74, -88.38, -83.15, -76.38, -88.56, -87.11, -68.76, -86.41, -81.52, -74.74, -87.15, 241.00
2020-03-06_15.19.05.790, -88.66, -72.58, -88.48, -85.74, -76.47, -88.65, -87.18, -71.60, -86.51, -84.16, -75.73, -87.12, 241.00
2020-03-06_15.19.06.789, -88.59, -75.37, -88.25, -87.33, -74.99, -88.57, -86.93, -74.38, -86.32, -85.78, -74.26, -86.88, 241.00
2020-03-06_15.19.07.790, -88.20, -78.07, -87.60, -88.08, -74.59, -88.34, -86.55, -77.05, -86.07, -86.49, -74.32, -86.71, 241.00
2020-03-06_15.19.08.789, -87.40, -80.59, -87.15, -87.64, -75.32, -87.42, -86.36, -79.51, -85.99, -86.36, -73.69, -86.33, 241.00
2020-03-06_15.19.09.790, -87.55, -82.70, -87.39, -87.56, -75.18, -87.53, -86.58, -81.63, -86.13, -86.37, -73.26, -86.55, 241.00
2020-03-06_15.19.10.790, -87.52, -84.42, -87.33, -87.53, -75.35, -87.54, -86.78, -83.37, -86.41, -86.52, -73.71, -86.77, 241.00
2020-03-06_15.19.11.789, -87.47, -85.66, -87.28, -87.48, -74.82, -87.47, -86.65, -84.71, -86.19, -86.60, -74.69, -86.67, 241.00
2020-03-06_15.19.12.789, -87.51, -86.45, -87.38, -87.49, -74.79, -87.52, -86.45, -85.08, -85.82, -86.48, -74.02, -86.47, 241.00
2020-03-06_15.19.13.790, -87.55, -86.93, -87.27, -87.49, -74.80, -87.56, -86.25, -84.85, -85.44, -86.20, -73.62, -86.26, 241.00
2020-03-06_15.19.14.789, -87.51, -86.94, -87.27, -87.48, -75.54, -87.49, -86.34, -85.44, -86.01, -86.34, -75.31, -86.36, 241.00
2020-03-06_15.19.15.790, -87.48, -87.00, -87.32, -87.48, -74.19, -87.49, -86.17, -85.02, -85.72, -86.17, -73.48, -86.13, 241.00
2020-03-06_15.19.16.790, -87.50, -86.91, -87.28, -87.47, -74.87, -87.49, -86.45, -85.21, -86.03, -86.25, -74.79, -86.48, 241.00
2020-03-06_15.19.17.790, -87.51, -87.09, -87.38, -87.48, -74.96, -87.51, -86.69, -85.23, -86.33, -86.39, -75.46, -86.67, 241.00
2020-03-06_15.19.18.790, -87.42, -86.91, -87.29, -87.44, -74.90, -87.43, -86.50, -85.26, -86.12, -86.48, -73.22, -86.52, 241.00
2020-03-06_15.19.19.789, -87.56, -87.05, -87.34, -87.47, -75.53, -87.54, -86.59, -85.36, -86.24, -86.49, -74.33, -86.58, 241.00
2020-03-06_15.19.20.790, -87.38, -86.69, -87.02, -87.40, -74.77, -87.42, -86.23, -84.53, -85.45, -86.26, -74.10, -86.27, 241.00
2020-03-06_15.19.21.789, -87.47, -86.75, -87.18, -87.39, -75.77, -87.43, -86.46, -84.61, -85.60, -86.25, -74.46, -86.37, 241.00
2020-03-06_15.19.22.789, -87.45, -86.99, -87.31, -87.44, -74.97, -87.49, -86.20, -85.05, -85.77, -86.24, -74.49, -86.29, 241.00
