yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.32.13.587, -69.43, -56.79, -61.55, -69.99, -41.13, -69.67, -70.93, -58.63, -63.28, -71.60, -42.68, -71.19, 241.00
2020-03-06_15.32.14.580, -73.23, -57.87, -69.60, -71.21, -48.60, -73.26, -73.52, -59.70, -70.19, -72.62, -48.64, -73.84, 241.00
2020-03-06_15.32.15.580, -77.39, -60.64, -69.49, -72.39, -46.76, -76.15, -77.53, -62.43, -70.74, -73.09, -48.27, -76.08, 241.00
2020-03-06_15.32.16.581, -70.07, -57.15, -62.02, -69.44, -39.33, -70.07, -70.30, -58.66, -62.92, -69.87, -40.19, -70.28, 243.00
2020-03-06_15.32.17.581, -88.61, -59.34, -85.91, -72.57, -76.42, -88.17, -85.75, -60.84, -84.54, -72.85, -73.01, -85.57, 241.00
2020-03-06_15.32.18.580, -88.65, -62.23, -88.45, -76.73, -75.17, -88.64, -86.29, -63.72, -85.22, -76.82, -73.23, -86.34, 241.00
2020-03-06_15.32.19.580, -88.08, -65.12, -86.25, -80.61, -69.58, -88.28, -85.36, -66.60, -83.70, -80.37, -70.54, -85.58, 243.00
2020-03-06_15.32.20.580, -88.46, -67.99, -87.01, -83.74, -75.40, -88.26, -84.86, -69.44, -81.60, -82.46, -70.83, -84.59, 243.00
2020-03-06_15.32.21.580, -88.55, -70.85, -88.25, -86.13, -74.87, -88.57, -86.13, -72.22, -84.33, -84.23, -72.01, -86.08, 243.00
2020-03-06_15.32.22.580, -88.58, -73.68, -88.34, -87.48, -75.89, -88.57, -86.71, -74.96, -86.00, -85.43, -73.92, -86.73, 241.00
2020-03-06_15.32.23.581, -88.55, -76.44, -88.33, -88.14, -76.05, -88.55, -87.10, -77.59, -86.53, -86.21, -75.46, -87.09, 241.00
2020-03-06_15.32.24.580, -88.10, -79.09, -87.61, -88.15, -75.67, -88.18, -86.31, -80.04, -85.59, -86.37, -74.17, -86.48, 241.00
2020-03-06_15.32.25.580, -87.89, -81.49, -87.61, -87.97, -75.26, -87.91, -86.00, -82.05, -85.67, -86.11, -73.07, -86.01, 243.00
2020-03-06_15.32.26.580, -87.81, -83.54, -87.62, -87.85, -75.53, -87.80, -85.87, -83.54, -85.38, -85.91, -74.38, -85.91, 243.00
2020-03-06_15.32.27.580, -87.73, -85.11, -87.53, -87.76, -75.38, -87.73, -85.87, -84.51, -85.32, -85.88, -74.32, -85.83, 241.00
2020-03-06_15.32.28.580, -87.78, -86.19, -87.56, -87.73, -75.20, -87.76, -86.05, -85.12, -85.64, -85.86, -73.55, -86.00, 241.00
2020-03-06_15.32.29.580, -87.82, -86.90, -87.66, -87.78, -75.29, -87.84, -86.00, -85.17, -85.68, -85.98, -74.17, -86.04, 241.00
2020-03-06_15.32.30.581, -87.92, -87.32, -87.66, -87.79, -75.34, -87.89, -85.96, -84.73, -85.39, -85.91, -74.44, -85.99, 243.00
2020-03-06_15.32.31.580, -87.85, -87.11, -87.64, -87.85, -75.94, -87.89, -85.74, -84.30, -85.13, -85.77, -73.35, -85.81, 243.00
2020-03-06_15.32.32.581, -87.86, -87.00, -87.53, -87.81, -74.74, -87.83, -86.04, -84.26, -85.04, -85.74, -72.90, -85.90, 241.00
2020-03-06_15.32.33.580, -87.80, -87.38, -87.61, -87.80, -74.88, -87.81, -85.97, -84.84, -85.66, -85.92, -74.02, -85.99, 241.00
2020-03-06_15.32.34.580, -87.86, -87.44, -87.71, -87.82, -76.56, -87.86, -85.83, -84.49, -85.17, -85.78, -72.75, -85.84, 243.00
2020-03-06_15.32.35.581, -87.84, -87.32, -87.65, -87.82, -75.57, -87.85, -85.97, -84.79, -85.58, -85.83, -74.35, -85.98, 243.00
2020-03-06_15.32.36.580, -87.79, -87.35, -87.60, -87.78, -75.02, -87.78, -86.01, -85.17, -85.63, -85.91, -73.65, -86.01, 241.00
2020-03-06_15.32.37.581, -87.81, -87.34, -87.59, -87.77, -76.08, -87.82, -85.92, -84.91, -85.44, -85.91, -74.60, -85.93, 243.00
2020-03-06_15.32.38.580, -87.71, -87.31, -87.53, -87.73, -75.04, -87.71, -85.88, -84.90, -85.50, -85.85, -74.54, -85.88, 241.00
2020-03-06_15.32.39.580, -87.96, -87.20, -87.56, -87.72, -75.40, -87.89, -86.16, -85.10, -85.68, -85.90, -73.67, -86.11, 241.00
2020-03-06_15.32.40.580, -88.54, -87.55, -88.31, -87.92, -73.53, -88.50, -86.79, -85.42, -86.16, -86.11, -73.36, -86.81, 241.00
2020-03-06_15.32.41.580, -88.56, -88.01, -88.36, -88.31, -75.75, -88.58, -86.87, -85.49, -86.23, -86.46, -73.54, -86.79, 241.00
2020-03-06_15.32.42.580, -88.68, -88.17, -88.43, -88.45, -76.74, -88.66, -86.81, -84.58, -85.75, -86.66, -74.76, -86.83, 243.00
2020-03-06_15.32.43.580, -87.89, -83.95, -86.00, -88.06, -72.94, -87.93, -83.57, -79.52, -81.30, -84.18, -70.29, -84.21, 243.00
2020-03-06_15.32.44.581, -88.54, -85.02, -88.18, -88.18, -74.62, -88.50, -86.35, -79.53, -81.57, -84.17, -73.71, -85.45, 241.00
