yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.08.28.967, -82.19, -77.84, -78.88, -83.28, -65.57, -83.54, -81.80, -78.06, -79.10, -83.06, -66.66, -82.96, 239.00
2020-03-06_15.08.29.961, -74.53, -66.73, -70.98, -76.57, -46.53, -74.76, -74.69, -67.82, -71.69, -76.78, -47.69, -74.89, 239.00
2020-03-06_15.08.30.960, -76.63, -65.59, -70.16, -75.68, -47.37, -76.43, -77.20, -67.10, -71.51, -76.30, -49.51, -77.03, 239.00
2020-03-06_15.08.31.960, -87.27, -66.20, -77.01, -76.37, -71.68, -83.78, -84.34, -67.69, -77.33, -76.83, -69.81, -82.44, 239.00
2020-03-06_15.08.32.960, -73.22, -61.61, -65.95, -73.02, -43.97, -73.26, -73.58, -62.77, -66.72, -73.52, -45.29, -73.62, 239.00
2020-03-06_15.08.33.960, -88.59, -63.12, -82.94, -75.18, -76.17, -87.34, -87.14, -64.25, -82.50, -75.47, -74.02, -86.30, 239.00
2020-03-06_15.08.34.960, -88.59, -66.00, -88.37, -79.20, -75.80, -88.58, -86.84, -67.12, -86.18, -79.32, -73.91, -86.73, 239.00
2020-03-06_15.08.35.956, -88.54, -68.88, -88.33, -82.76, -75.87, -88.56, -85.99, -69.97, -84.53, -82.52, -72.42, -86.34, 239.00
2020-03-06_15.08.36.955, -82.85, -71.73, -80.00, -83.00, -71.14, -83.85, -81.72, -72.77, -78.65, -81.93, -68.73, -82.63, 239.00
2020-03-06_15.08.37.960, -79.89, -74.29, -79.76, -80.79, -71.45, -79.91, -79.40, -75.15, -78.66, -80.18, -70.32, -79.30, 239.00
2020-03-06_15.08.38.960, -79.90, -76.18, -79.76, -80.20, -71.68, -79.90, -79.39, -76.71, -78.92, -79.68, -69.71, -79.41, 239.00
2020-03-06_15.08.39.960, -79.89, -77.60, -79.74, -80.00, -72.01, -79.89, -79.55, -77.82, -78.95, -79.59, -70.22, -79.50, 239.00
2020-03-06_15.08.40.960, -79.93, -78.57, -79.82, -79.95, -71.82, -79.94, -79.66, -78.58, -79.44, -79.61, -70.02, -79.66, 239.00
2020-03-06_15.08.41.960, -79.85, -79.18, -79.77, -79.88, -71.35, -79.85, -79.65, -79.07, -79.52, -79.63, -70.79, -79.65, 239.00
2020-03-06_15.08.42.961, -79.88, -79.49, -79.72, -79.86, -71.43, -79.88, -79.68, -79.31, -79.56, -79.63, -71.35, -79.69, 239.00
2020-03-06_15.08.43.960, -79.96, -79.68, -79.83, -79.88, -71.37, -79.94, -79.75, -79.36, -79.57, -79.66, -70.95, -79.73, 239.00
2020-03-06_15.08.44.960, -79.89, -79.62, -79.77, -79.90, -71.73, -79.92, -79.68, -79.40, -79.58, -79.68, -71.47, -79.70, 239.00
2020-03-06_15.08.45.956, -79.86, -79.55, -79.74, -79.86, -71.60, -79.86, -79.64, -79.31, -79.54, -79.65, -71.08, -79.64, 239.00
2020-03-06_15.08.46.960, -79.88, -79.57, -79.76, -79.86, -71.46, -79.88, -79.65, -79.25, -79.53, -79.64, -70.81, -79.65, 239.00
2020-03-06_15.08.47.960, -79.90, -79.59, -79.80, -79.87, -71.57, -79.90, -79.71, -79.38, -79.61, -79.65, -71.82, -79.71, 239.00
2020-03-06_15.08.48.961, -79.85, -79.65, -79.79, -79.86, -71.65, -79.86, -79.67, -79.20, -79.51, -79.66, -71.46, -79.67, 239.00
2020-03-06_15.08.49.960, -79.90, -79.62, -79.74, -79.85, -71.59, -79.87, -79.69, -79.29, -79.53, -79.64, -70.94, -79.67, 239.00
2020-03-06_15.08.50.960, -79.86, -79.62, -79.78, -79.86, -71.96, -79.88, -79.67, -79.41, -79.59, -79.67, -71.34, -79.69, 239.00
2020-03-06_15.08.51.961, -80.14, -79.61, -79.79, -79.87, -71.68, -79.94, -79.93, -79.32, -79.55, -79.66, -71.37, -79.73, 239.00
2020-03-06_15.08.52.961, -88.59, -79.79, -81.80, -80.13, -75.20, -86.91, -86.94, -79.55, -81.47, -79.91, -74.11, -85.80, 239.00
2020-03-06_15.08.53.960, -88.64, -82.16, -88.41, -83.52, -75.80, -88.63, -86.95, -81.75, -85.93, -82.96, -72.40, -86.85, 239.00
2020-03-06_15.08.54.960, -88.41, -84.22, -88.17, -86.02, -75.89, -88.44, -86.09, -82.56, -83.98, -85.08, -72.30, -86.50, 239.00
2020-03-06_15.08.55.960, -79.92, -67.20, -71.97, -79.99, -47.80, -80.07, -80.65, -68.59, -73.29, -80.64, -48.72, -80.69, 239.00
2020-03-06_15.08.56.960, -87.18, -68.24, -83.70, -81.30, -74.65, -86.59, -82.00, -69.63, -78.65, -80.94, -62.31, -81.96, 239.00
2020-03-06_15.08.57.960, -74.69, -63.81, -67.56, -75.19, -42.63, -74.92, -75.35, -65.35, -68.84, -75.90, -44.43, -75.53, 238.00
2020-03-06_15.08.58.955, -73.07, -63.10, -67.03, -73.30, -44.00, -74.58, -67.97, -56.21, -60.48, -68.22, -44.92, -70.64, 239.00
2020-03-06_15.08.59.957, -80.67, -63.20, -68.82, -73.42, -53.47, -76.27, -78.60, -56.30, -62.23, -68.35, -53.72, -70.63, 233.00
2020-03-06_15.09.00.956, -80.18, -66.01, -73.74, -76.64, -46.68, -79.89, -76.46, -59.16, -70.24, -72.11, -47.72, -76.34, 225.00
2020-03-06_15.09.01.960, -78.98, -68.74, -77.45, -78.15, -49.16, -79.40, -74.21, -61.97, -71.37, -73.36, -51.39, -74.42, 221.00
