yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.21.57.337, -64.87, -53.54, -57.28, -65.26, -38.77, -66.61, -65.69, -54.68, -58.32, -66.18, -40.92, -67.46, 242.00
2020-03-06_15.21.58.333, -67.47, -53.76, -57.81, -63.86, -34.85, -65.47, -68.35, -54.89, -58.78, -64.74, -36.73, -66.30, 242.00
2020-03-06_15.21.59.329, -83.70, -56.51, -76.44, -67.49, -66.50, -81.73, -81.17, -57.64, -77.10, -68.31, -65.81, -80.28, 242.00
2020-03-06_15.22.00.330, -80.78, -59.40, -73.22, -71.44, -51.68, -80.69, -80.28, -60.51, -74.23, -72.11, -52.86, -80.15, 242.00
2020-03-06_15.22.01.330, -81.04, -62.27, -73.60, -75.33, -49.46, -81.02, -79.38, -63.37, -73.54, -75.35, -51.16, -79.32, 242.00
2020-03-06_15.22.02.330, -88.59, -65.12, -88.41, -78.43, -75.92, -88.58, -86.55, -66.18, -85.44, -78.21, -74.55, -86.56, 242.00
2020-03-06_15.22.03.330, -88.61, -68.00, -88.35, -82.10, -75.99, -88.59, -87.05, -69.04, -86.44, -81.57, -74.70, -87.02, 242.00
2020-03-06_15.22.04.330, -88.55, -70.86, -88.38, -85.03, -76.10, -88.55, -86.52, -71.87, -85.78, -84.19, -73.43, -86.60, 242.00
2020-03-06_15.22.05.329, -76.42, -67.73, -69.58, -76.62, -61.43, -80.35, -77.83, -69.45, -71.28, -78.00, -62.70, -81.27, 242.00
2020-03-06_15.22.06.330, -67.56, -65.94, -67.17, -69.29, -56.34, -67.74, -69.20, -66.42, -68.33, -70.94, -54.96, -69.37, 242.00
2020-03-06_15.22.07.330, -67.72, -66.53, -67.70, -68.23, -63.12, -67.72, -69.49, -67.34, -69.46, -69.97, -64.13, -69.49, 242.00
2020-03-06_15.22.08.330, -67.71, -67.07, -67.69, -67.89, -63.07, -67.71, -69.47, -68.26, -69.45, -69.65, -64.30, -69.47, 242.00
2020-03-06_15.22.09.330, -67.69, -67.37, -67.65, -67.76, -63.15, -67.69, -69.45, -68.81, -69.42, -69.52, -64.08, -69.45, 242.00
2020-03-06_15.22.10.330, -67.68, -67.52, -67.63, -67.71, -63.08, -67.68, -69.45, -69.11, -69.39, -69.47, -63.97, -69.44, 242.00
2020-03-06_15.22.11.330, -67.73, -67.60, -67.69, -67.71, -63.09, -67.73, -69.50, -69.27, -69.46, -69.47, -63.86, -69.49, 242.00
2020-03-06_15.22.12.330, -67.76, -67.67, -67.73, -67.73, -63.20, -67.75, -69.52, -69.38, -69.48, -69.49, -64.22, -69.51, 242.00
2020-03-06_15.22.13.329, -67.78, -67.70, -67.74, -67.75, -63.20, -67.79, -69.55, -69.45, -69.51, -69.51, -64.36, -69.55, 242.00
2020-03-06_15.22.14.330, -67.79, -67.71, -67.75, -67.76, -63.12, -67.79, -69.56, -69.48, -69.51, -69.53, -64.33, -69.55, 242.00
2020-03-06_15.22.15.330, -67.79, -67.74, -67.76, -67.78, -63.14, -67.79, -69.56, -69.50, -69.52, -69.54, -64.27, -69.55, 242.00
2020-03-06_15.22.16.330, -67.86, -67.76, -67.82, -67.79, -62.60, -67.85, -69.62, -69.52, -69.58, -69.56, -63.56, -69.61, 242.00
2020-03-06_15.22.17.329, -67.94, -67.81, -67.90, -67.84, -63.07, -67.94, -69.70, -69.57, -69.66, -69.60, -64.32, -69.70, 242.00
2020-03-06_15.22.18.329, -67.86, -67.77, -67.82, -67.87, -63.39, -67.87, -69.63, -69.54, -69.58, -69.63, -64.37, -69.64, 242.00
2020-03-06_15.22.19.330, -67.76, -67.71, -67.73, -67.80, -63.14, -67.77, -69.53, -69.47, -69.50, -69.57, -64.15, -69.54, 242.00
2020-03-06_15.22.20.329, -67.72, -67.66, -67.69, -67.75, -63.25, -67.73, -69.48, -69.42, -69.46, -69.51, -64.17, -69.49, 242.00
2020-03-06_15.22.21.330, -73.77, -67.66, -67.69, -67.74, -63.24, -72.01, -75.39, -69.42, -69.45, -69.50, -64.15, -73.69, 242.00
2020-03-06_15.22.22.330, -88.55, -69.74, -87.48, -70.99, -73.96, -88.39, -87.01, -71.47, -86.21, -72.70, -74.40, -86.89, 242.00
2020-03-06_15.22.23.330, -88.60, -72.58, -88.43, -75.20, -75.21, -88.62, -87.05, -74.25, -86.29, -76.78, -74.05, -87.08, 242.00
2020-03-06_15.22.24.330, -88.24, -75.38, -86.35, -79.22, -72.81, -88.21, -83.86, -75.46, -79.36, -80.47, -65.74, -83.91, 242.00
2020-03-06_15.22.25.330, -88.21, -78.07, -87.64, -82.73, -74.19, -88.32, -83.51, -77.31, -80.46, -82.46, -69.51, -83.62, 242.00
2020-03-06_15.22.26.330, -88.56, -80.58, -87.82, -85.35, -74.74, -88.45, -86.39, -78.89, -84.71, -83.16, -73.94, -86.09, 242.00
