yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.31.15.987, -69.63, -59.59, -64.01, -70.46, -40.00, -70.73, -69.07, -60.28, -64.32, -70.01, -41.96, -69.98, 241.00
2020-03-06_15.31.16.980, -74.01, -59.78, -67.11, -70.77, -48.94, -72.23, -74.25, -60.46, -67.27, -70.29, -49.52, -72.39, 241.00
2020-03-06_15.31.17.980, -77.15, -62.51, -72.85, -72.57, -54.07, -77.55, -77.47, -63.18, -74.21, -72.48, -55.50, -77.73, 241.00
2020-03-06_15.31.18.980, -76.98, -65.16, -69.59, -73.79, -48.36, -75.92, -77.21, -65.94, -71.01, -74.33, -49.87, -76.47, 241.00
2020-03-06_15.31.19.980, -78.82, -67.15, -72.03, -75.57, -52.12, -78.79, -71.40, -62.61, -65.59, -71.11, -51.90, -71.37, 241.00
2020-03-06_15.31.20.980, -88.50, -69.81, -87.88, -78.40, -75.36, -88.42, -86.53, -64.66, -85.10, -73.91, -73.13, -86.35, 241.00
2020-03-06_15.31.21.981, -88.61, -72.65, -88.43, -82.07, -75.84, -88.61, -86.24, -67.53, -85.77, -77.86, -74.82, -86.28, 241.00
2020-03-06_15.31.22.980, -83.95, -72.75, -77.32, -83.31, -57.90, -84.42, -82.70, -70.37, -77.09, -81.23, -58.13, -83.16, 241.00
2020-03-06_15.31.23.981, -88.17, -73.27, -83.25, -83.84, -74.50, -87.29, -85.74, -73.00, -81.70, -81.76, -72.94, -85.12, 241.00
2020-03-06_15.31.24.980, -83.85, -76.04, -83.67, -84.51, -73.83, -84.15, -81.11, -75.69, -80.88, -81.89, -70.87, -81.43, 241.00
2020-03-06_15.31.25.980, -84.00, -78.31, -83.79, -84.17, -73.74, -83.98, -81.22, -77.54, -80.98, -81.46, -71.78, -81.19, 241.00
