yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.15.39.106, -71.17, -62.67, -65.81, -72.52, -42.46, -71.57, -70.96, -61.54, -64.99, -72.26, -44.28, -71.29, 241.00
2020-03-06_15.15.40.101, -74.96, -63.71, -71.30, -72.69, -48.02, -75.30, -75.30, -62.62, -71.82, -72.55, -50.27, -75.45, 241.00
2020-03-06_15.15.41.100, -84.20, -66.37, -71.34, -74.04, -58.54, -78.94, -81.73, -65.34, -72.59, -74.24, -61.25, -78.83, 240.00
2020-03-06_15.15.42.100, -78.98, -68.92, -72.04, -77.01, -50.18, -79.12, -78.22, -68.10, -72.17, -76.70, -52.10, -78.31, 240.00
2020-03-06_15.15.43.100, -65.37, -65.00, -65.03, -67.11, -60.66, -65.99, -66.73, -66.35, -66.39, -68.40, -61.64, -67.35, 240.00
2020-03-06_15.15.44.100, -65.02, -64.98, -65.00, -65.67, -60.66, -65.02, -66.38, -66.34, -66.36, -67.02, -61.90, -66.39, 240.00
2020-03-06_15.15.45.100, -64.97, -64.93, -64.95, -65.21, -60.62, -64.98, -66.33, -66.28, -66.31, -66.57, -61.84, -66.34, 240.00
2020-03-06_15.15.46.100, -64.97, -64.92, -64.95, -65.06, -60.56, -64.97, -66.33, -66.28, -66.30, -66.42, -61.69, -66.33, 240.00
2020-03-06_15.15.47.100, -65.00, -64.93, -64.97, -65.02, -60.70, -65.00, -66.36, -66.30, -66.32, -66.38, -61.28, -66.36, 240.00
2020-03-06_15.15.48.097, -65.00, -64.95, -64.98, -65.01, -60.69, -65.00, -66.36, -66.32, -66.34, -66.37, -61.69, -66.36, 240.00
2020-03-06_15.15.49.100, -65.03, -64.96, -65.00, -65.01, -60.72, -65.02, -66.39, -66.33, -66.35, -66.37, -61.84, -66.38, 240.00
2020-03-06_15.15.50.100, -65.05, -64.99, -65.04, -65.02, -60.69, -65.05, -66.41, -66.35, -66.40, -66.38, -61.38, -66.41, 240.00
2020-03-06_15.15.51.100, -65.04, -64.99, -65.02, -65.04, -60.53, -65.04, -66.40, -66.35, -66.38, -66.40, -61.72, -66.40, 240.00
2020-03-06_15.15.52.101, -65.03, -64.99, -65.02, -65.03, -60.69, -65.03, -66.39, -66.35, -66.38, -66.39, -61.57, -66.39, 240.00
2020-03-06_15.15.53.100, -65.01, -64.95, -64.98, -65.02, -60.70, -65.01, -66.37, -66.31, -66.34, -66.38, -61.66, -66.37, 240.00
2020-03-06_15.15.54.101, -65.01, -64.97, -65.00, -65.01, -60.58, -65.01, -66.37, -66.30, -66.34, -66.37, -61.32, -66.37, 240.00
2020-03-06_15.15.55.100, -65.00, -64.94, -64.97, -65.00, -60.60, -65.00, -66.36, -66.30, -66.33, -66.36, -61.53, -66.36, 240.00
2020-03-06_15.15.56.101, -64.98, -64.93, -64.96, -64.98, -60.77, -64.98, -66.34, -66.29, -66.32, -66.34, -61.72, -66.34, 240.00
2020-03-06_15.15.57.100, -64.98, -64.92, -64.96, -64.98, -60.60, -64.97, -66.34, -66.29, -66.32, -66.34, -61.91, -66.34, 240.00
2020-03-06_15.15.58.100, -68.59, -64.94, -64.97, -64.98, -60.72, -67.51, -69.92, -66.31, -66.34, -66.34, -61.90, -68.85, 240.00
2020-03-06_15.15.59.100, -88.52, -66.48, -83.12, -67.42, -76.04, -87.35, -86.58, -67.83, -83.21, -68.77, -73.35, -86.00, 240.00
2020-03-06_15.16.00.099, -88.63, -69.35, -88.50, -71.71, -75.07, -88.63, -86.95, -70.67, -86.13, -72.99, -74.99, -86.88, 240.00
2020-03-06_15.16.01.100, -76.88, -66.50, -70.49, -75.69, -48.29, -79.36, -75.56, -66.82, -70.43, -75.26, -50.98, -77.29, 240.00
2020-03-06_15.16.02.101, -78.06, -65.41, -70.52, -75.78, -45.34, -76.64, -75.51, -64.39, -68.52, -74.34, -45.43, -74.92, 241.00
2020-03-06_15.16.03.100, -74.51, -65.90, -70.52, -74.64, -50.75, -74.60, -74.37, -64.82, -69.31, -73.76, -49.09, -74.15, 241.00
2020-03-06_15.16.04.095, -71.00, -62.08, -65.07, -70.74, -40.25, -70.92, -68.68, -59.39, -62.60, -68.69, -41.45, -68.72, 241.00
