yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.33.19.407, -77.84, -74.23, -76.03, -79.45, -60.06, -78.48, -78.27, -73.75, -75.87, -79.85, -61.18, -78.94, 241.00
2020-03-06_15.33.20.400, -77.33, -72.29, -74.43, -77.53, -59.55, -77.16, -77.70, -73.09, -74.91, -78.05, -62.08, -77.56, 241.00
2020-03-06_15.33.21.400, -77.56, -65.65, -70.44, -76.34, -46.93, -77.37, -76.74, -67.24, -71.68, -76.48, -48.56, -76.80, 241.00
2020-03-06_15.33.22.400, -75.75, -66.46, -69.82, -75.11, -48.63, -75.73, -71.00, -61.76, -65.06, -71.33, -48.23, -70.97, 241.00
2020-03-06_15.33.23.400, -88.61, -67.85, -83.50, -76.69, -75.48, -87.53, -86.86, -63.16, -79.42, -72.83, -74.77, -84.88, 241.00
2020-03-06_15.33.24.400, -88.58, -70.71, -88.28, -80.58, -72.93, -88.58, -86.26, -66.03, -85.57, -76.89, -74.55, -86.30, 243.00
2020-03-06_15.33.25.400, -84.79, -73.54, -78.49, -83.72, -60.00, -87.18, -82.65, -68.89, -76.79, -80.46, -58.72, -84.79, 241.00
2020-03-06_15.33.26.400, -88.11, -73.90, -79.02, -83.74, -74.46, -85.30, -83.38, -71.63, -77.22, -81.13, -66.87, -81.79, 241.00
2020-03-06_15.33.27.400, -88.75, -76.60, -88.62, -86.02, -74.87, -88.77, -86.27, -74.23, -84.93, -82.66, -73.03, -86.13, 241.00
2020-03-06_15.33.28.400, -88.61, -79.25, -88.46, -87.53, -75.06, -88.61, -87.08, -76.88, -86.27, -84.65, -73.97, -87.03, 241.00
2020-03-06_15.33.29.400, -88.60, -81.69, -88.37, -88.18, -75.44, -88.60, -86.93, -79.40, -86.22, -86.00, -74.25, -86.92, 243.00
2020-03-06_15.33.30.400, -88.52, -83.82, -88.35, -88.44, -74.29, -88.53, -86.89, -81.63, -86.30, -86.61, -74.39, -86.97, 243.00
2020-03-06_15.33.31.400, -88.60, -85.51, -88.44, -88.49, -76.32, -88.60, -86.96, -83.43, -86.37, -86.72, -75.29, -86.93, 243.00
2020-03-06_15.33.32.400, -88.49, -86.75, -88.28, -88.49, -74.51, -88.48, -87.04, -84.80, -86.51, -86.81, -74.94, -86.99, 241.00
2020-03-06_15.33.33.400, -88.49, -87.51, -88.32, -88.47, -76.37, -88.50, -86.89, -85.76, -86.33, -86.87, -74.84, -86.91, 241.00
2020-03-06_15.33.34.400, -88.53, -87.96, -88.36, -88.49, -75.00, -88.53, -87.04, -85.98, -86.70, -86.91, -74.58, -87.05, 243.00
2020-03-06_15.33.35.400, -88.44, -88.03, -88.30, -88.46, -75.43, -88.45, -87.10, -85.78, -86.55, -87.00, -74.72, -87.17, 243.00
2020-03-06_15.33.36.400, -88.49, -87.99, -88.28, -88.43, -76.14, -88.46, -86.88, -85.09, -86.07, -86.90, -74.61, -86.86, 241.00
2020-03-06_15.33.37.400, -88.48, -88.04, -88.27, -88.46, -75.96, -88.49, -86.90, -85.87, -86.48, -86.87, -73.93, -86.91, 241.00
2020-03-06_15.33.38.400, -88.52, -87.93, -88.21, -88.44, -76.00, -88.49, -86.85, -85.86, -86.43, -86.82, -74.47, -86.86, 243.00
2020-03-06_15.33.39.400, -88.64, -88.10, -88.50, -88.50, -75.73, -88.65, -87.29, -85.86, -86.53, -86.83, -75.03, -87.24, 243.00
2020-03-06_15.33.40.400, -88.56, -88.14, -88.41, -88.55, -75.18, -88.57, -87.00, -86.10, -86.64, -86.95, -75.19, -86.97, 243.00
2020-03-06_15.33.41.400, -88.55, -88.12, -88.36, -88.53, -75.50, -88.54, -87.21, -86.17, -86.77, -87.02, -75.47, -87.22, 241.00
2020-03-06_15.33.42.400, -88.48, -88.05, -88.30, -88.47, -75.80, -88.47, -86.78, -85.74, -86.38, -86.86, -74.17, -86.79, 243.00
2020-03-06_15.33.43.400, -88.52, -88.03, -88.35, -88.49, -75.89, -88.53, -87.04, -85.60, -86.49, -86.85, -74.56, -87.01, 243.00
2020-03-06_15.33.44.400, -88.52, -88.07, -88.37, -88.50, -76.75, -88.53, -87.14, -86.19, -86.80, -87.00, -74.26, -87.13, 241.00
2020-03-06_15.33.45.400, -88.52, -87.99, -88.28, -88.47, -74.45, -88.50, -86.93, -86.00, -86.59, -86.94, -74.55, -86.92, 241.00
2020-03-06_15.33.46.400, -88.51, -87.91, -88.30, -88.48, -73.87, -88.52, -87.15, -85.71, -86.55, -86.93, -74.40, -87.12, 241.00
2020-03-06_15.33.47.400, -88.56, -88.06, -88.31, -88.49, -76.17, -88.57, -87.22, -86.11, -86.70, -87.12, -74.43, -87.29, 241.00
2020-03-06_15.33.48.400, -88.60, -88.15, -88.46, -88.55, -75.44, -88.59, -86.90, -85.35, -86.18, -86.90, -74.96, -86.99, 243.00
2020-03-06_15.33.49.400, -87.88, -83.53, -85.72, -88.00, -69.15, -87.91, -84.38, -80.31, -82.36, -85.00, -67.51, -84.69, 243.00
2020-03-06_15.33.50.400, -88.56, -84.68, -88.22, -88.17, -76.33, -88.52, -85.35, -80.79, -82.94, -84.81, -72.55, -85.12, 243.00
2020-03-06_15.33.51.401, -88.53, -86.15, -88.41, -88.41, -75.71, -88.54, -86.80, -82.47, -84.95, -85.25, -74.31, -86.54, 241.00
2020-03-06_15.33.52.400, -88.66, -87.15, -88.48, -88.48, -75.93, -88.62, -86.90, -84.04, -86.20, -86.20, -75.08, -86.85, 241.00
2020-03-06_15.33.53.400, -88.52, -87.81, -88.37, -88.54, -75.17, -88.57, -86.96, -85.19, -86.38, -86.60, -74.61, -87.03, 241.00
2020-03-06_15.33.54.400, -88.64, -88.05, -88.35, -88.53, -76.84, -88.59, -87.27, -85.79, -86.66, -86.82, -75.46, -87.18, 243.00
2020-03-06_15.33.55.400, -88.53, -88.06, -88.38, -88.54, -75.49, -88.55, -87.03, -85.88, -86.67, -87.00, -74.87, -87.07, 243.00
2020-03-06_15.33.56.400, -88.53, -88.02, -88.35, -88.52, -75.48, -88.52, -87.05, -86.10, -86.65, -87.00, -74.50, -87.01, 243.00
2020-03-06_15.33.57.400, -88.63, -88.12, -88.47, -88.55, -76.16, -88.62, -87.17, -86.10, -86.79, -87.06, -75.43, -87.22, 243.00
2020-03-06_15.33.58.400, -88.56, -88.17, -88.37, -88.54, -75.63, -88.57, -86.81, -84.50, -85.93, -86.88, -71.93, -86.83, 241.00
2020-03-06_15.33.59.400, -88.63, -88.13, -88.38, -88.55, -75.86, -88.61, -87.10, -85.07, -86.50, -86.85, -74.99, -87.02, 243.00
2020-03-06_15.34.00.400, -88.55, -87.52, -88.24, -88.56, -73.35, -88.57, -84.91, -76.27, -80.35, -84.99, -65.52, -84.91, 243.00
2020-03-06_15.34.01.400, -88.60, -87.92, -88.43, -88.57, -75.51, -88.60, -87.06, -78.22, -86.35, -85.97, -73.86, -87.06, 241.00
2020-03-06_15.34.02.400, -88.69, -88.24, -88.54, -88.59, -75.87, -88.68, -86.52, -80.61, -85.76, -86.49, -73.88, -86.66, 243.00
2020-03-06_15.34.03.395, -88.47, -88.11, -88.35, -88.54, -75.23, -88.51, -86.84, -82.56, -86.02, -86.46, -73.74, -86.69, 241.00
2020-03-06_15.34.04.395, -64.79, -51.25, -56.25, -64.95, -32.30, -64.97, -65.80, -52.71, -57.61, -66.14, -33.92, -65.99, 243.00
2020-03-06_15.34.05.395, -84.77, -52.29, -69.72, -66.54, -61.00, -77.95, -81.29, -53.74, -70.32, -67.53, -61.75, -77.44, 241.00
2020-03-06_15.34.06.400, -71.43, -55.18, -65.13, -69.33, -39.72, -71.66, -72.68, -56.62, -66.81, -70.44, -41.81, -72.89, 241.00
2020-03-06_15.34.07.397, -54.76, -42.11, -46.49, -54.91, -23.15, -54.78, -53.11, -40.57, -45.02, -53.38, -23.40, -53.13, 238.00
2020-03-06_15.34.08.395, -79.01, -43.95, -69.29, -57.69, -46.27, -75.88, -77.72, -42.41, -67.67, -56.08, -48.19, -74.41, 238.00
2020-03-06_15.34.09.400, -85.65, -46.84, -79.33, -61.97, -73.15, -84.09, -82.46, -45.30, -77.86, -60.37, -70.90, -81.58, 238.00
