yyyy-mm-dd_HH.MM.SS.FFF, LAeq (dB), LAImax (dB), LAFmax (dB), LASmax (dB), LApk (dB), LAFeq (dB), LCeq (dB), LCImax (dB), LCFmax (dB), LCSmax (dB), LCpk (dB), LCFeq (dB), Ev(-)
2020-03-06_15.34.47.516, -70.22, -61.84, -64.53, -70.95, -50.21, -72.22, -67.74, -59.20, -61.55, -68.26, -49.76, -70.56, 238.00
2020-03-06_15.34.48.510, -68.84, -61.91, -65.00, -68.91, -47.00, -68.31, -66.22, -58.61, -61.12, -65.77, -48.64, -65.16, 238.00
2020-03-06_15.34.49.510, -81.09, -62.99, -68.36, -69.89, -53.39, -75.89, -80.17, -60.54, -69.54, -67.50, -55.41, -76.49, 238.00
2020-03-06_15.34.50.510, -68.95, -55.98, -60.81, -68.22, -37.64, -68.95, -67.49, -56.79, -60.49, -66.78, -39.69, -67.48, 238.00
2020-03-06_15.34.51.510, -88.69, -58.08, -84.65, -71.31, -74.13, -87.92, -86.62, -58.88, -82.92, -69.73, -73.71, -86.09, 238.00
2020-03-06_15.34.52.511, -88.68, -60.98, -88.45, -75.52, -76.05, -88.70, -86.97, -61.77, -85.38, -73.91, -74.54, -86.74, 238.00
2020-03-06_15.34.53.510, -88.50, -63.86, -88.22, -79.52, -74.92, -88.52, -86.14, -64.65, -84.89, -77.91, -73.69, -86.42, 238.00
2020-03-06_15.34.54.509, -71.81, -62.12, -64.48, -71.94, -57.30, -76.63, -63.17, -53.43, -55.78, -63.37, -48.89, -68.17, 238.00
2020-03-06_15.34.55.509, -61.53, -61.45, -61.50, -63.30, -57.57, -61.81, -52.87, -52.79, -52.84, -54.64, -49.38, -53.15, 238.00
2020-03-06_15.34.56.510, -61.50, -61.43, -61.48, -62.08, -57.69, -61.51, -52.84, -52.77, -52.82, -53.42, -49.47, -52.84, 238.00
2020-03-06_15.34.57.509, -61.49, -61.43, -61.47, -61.70, -57.61, -61.49, -52.83, -52.76, -52.81, -53.03, -49.41, -52.83, 238.00
2020-03-06_15.34.58.509, -61.48, -61.42, -61.46, -61.56, -57.58, -61.48, -52.82, -52.76, -52.80, -52.89, -49.41, -52.82, 238.00
2020-03-06_15.34.59.510, -61.48, -61.40, -61.46, -61.50, -57.57, -61.48, -52.81, -52.74, -52.79, -52.84, -49.36, -52.81, 238.00
2020-03-06_15.35.00.510, -61.47, -61.40, -61.45, -61.48, -57.55, -61.47, -52.81, -52.74, -52.78, -52.82, -49.42, -52.81, 238.00
2020-03-06_15.35.01.510, -61.47, -61.40, -61.44, -61.47, -57.53, -61.47, -52.80, -52.74, -52.78, -52.81, -49.37, -52.80, 238.00
2020-03-06_15.35.02.510, -61.47, -61.38, -61.44, -61.47, -57.62, -61.47, -52.80, -52.72, -52.77, -52.80, -49.44, -52.80, 238.00
2020-03-06_15.35.03.509, -61.46, -61.39, -61.43, -61.46, -57.57, -61.46, -52.79, -52.73, -52.77, -52.79, -49.34, -52.79, 238.00
2020-03-06_15.35.04.509, -61.46, -61.39, -61.44, -61.46, -57.64, -61.46, -52.80, -52.73, -52.77, -52.79, -49.37, -52.80, 238.00
2020-03-06_15.35.05.509, -61.45, -61.38, -61.43, -61.45, -57.55, -61.45, -52.79, -52.72, -52.76, -52.79, -49.40, -52.79, 238.00
2020-03-06_15.35.06.509, -61.45, -61.38, -61.43, -61.45, -57.61, -61.45, -52.78, -52.72, -52.76, -52.78, -49.39, -52.78, 238.00
2020-03-06_15.35.07.509, -61.45, -61.37, -61.42, -61.45, -57.60, -61.45, -52.78, -52.71, -52.76, -52.78, -49.41, -52.78, 238.00
2020-03-06_15.35.08.509, -61.45, -61.38, -61.43, -61.45, -57.57, -61.45, -52.79, -52.72, -52.77, -52.78, -49.37, -52.79, 238.00
2020-03-06_15.35.09.509, -61.45, -61.38, -61.43, -61.45, -57.57, -61.45, -52.79, -52.72, -52.76, -52.78, -49.37, -52.79, 238.00
2020-03-06_15.35.10.509, -67.27, -61.39, -61.44, -61.45, -57.55, -65.59, -58.64, -52.73, -52.77, -52.79, -49.42, -56.93, 238.00
2020-03-06_15.35.11.509, -88.63, -63.44, -84.80, -64.65, -75.64, -87.93, -86.24, -54.78, -77.87, -56.00, -73.21, -83.84, 238.00
2020-03-06_15.35.12.509, -88.66, -66.32, -88.47, -68.97, -76.48, -88.65, -86.22, -57.67, -85.58, -60.33, -73.78, -86.18, 238.00
2020-03-06_15.35.13.510, -88.56, -69.19, -88.43, -73.23, -75.07, -88.58, -86.72, -60.56, -86.22, -64.66, -74.88, -86.70, 238.00
2020-03-06_15.35.14.509, -88.61, -72.04, -88.45, -77.36, -76.11, -88.58, -86.79, -63.44, -86.16, -68.96, -75.12, -86.77, 238.00
2020-03-06_15.35.15.509, -88.65, -74.85, -88.41, -81.18, -76.20, -88.69, -87.20, -66.32, -86.74, -73.18, -74.82, -87.21, 238.00
2020-03-06_15.35.16.510, -88.59, -77.57, -88.34, -84.35, -76.34, -88.57, -86.77, -69.18, -86.26, -77.23, -74.91, -86.78, 238.00
2020-03-06_15.35.17.509, -88.55, -80.15, -88.36, -86.52, -75.19, -88.55, -86.81, -72.01, -86.07, -80.82, -74.28, -86.77, 238.00
2020-03-06_15.35.18.509, -88.52, -82.49, -88.31, -87.70, -74.87, -88.54, -86.77, -74.77, -86.33, -83.62, -74.46, -86.85, 238.00
2020-03-06_15.35.19.509, -88.51, -84.47, -88.37, -88.20, -77.21, -88.52, -86.88, -77.41, -86.46, -85.34, -73.76, -86.88, 238.00
2020-03-06_15.35.20.509, -88.55, -85.98, -88.33, -88.38, -75.62, -88.52, -86.84, -79.87, -86.45, -86.22, -74.95, -86.81, 238.00
2020-03-06_15.35.21.509, -88.54, -87.05, -88.43, -88.50, -76.01, -88.56, -86.93, -82.01, -86.47, -86.61, -74.37, -86.87, 238.00
2020-03-06_15.35.22.510, -88.42, -87.71, -88.20, -88.44, -75.65, -88.42, -87.09, -83.74, -86.66, -86.80, -74.92, -87.09, 238.00
2020-03-06_15.35.23.509, -88.45, -86.77, -87.86, -88.41, -75.52, -88.48, -85.33, -79.10, -82.13, -85.56, -68.75, -85.78, 238.00
2020-03-06_15.35.24.509, -87.26, -80.47, -83.77, -87.34, -67.53, -87.23, -81.00, -74.06, -77.45, -81.65, -64.36, -80.94, 238.00
2020-03-06_15.35.25.509, -88.67, -82.53, -88.44, -87.93, -75.80, -88.66, -86.08, -74.91, -84.77, -82.54, -73.66, -85.95, 238.00
2020-03-06_15.35.26.509, -88.48, -84.52, -88.31, -88.38, -74.63, -88.52, -86.43, -77.50, -84.92, -84.36, -72.58, -86.30, 238.00
2020-03-06_15.35.27.509, -55.05, -41.85, -46.59, -55.24, -31.28, -55.08, -56.92, -43.77, -48.52, -57.15, -33.27, -56.94, 238.00
2020-03-06_15.35.28.509, -75.48, -43.76, -67.17, -58.09, -48.28, -73.70, -75.48, -45.68, -68.64, -59.93, -50.05, -74.09, 238.00
2020-03-06_15.35.29.505, -72.20, -46.65, -67.80, -62.33, -44.57, -72.56, -71.96, -48.57, -67.67, -64.10, -45.88, -73.10, 238.00
2020-03-06_15.35.30.504, -80.34, -49.53, -72.71, -65.97, -49.50, -78.21, -79.94, -51.45, -68.78, -67.26, -50.27, -75.91, 239.00
2020-03-06_15.35.31.509, -72.11, -52.43, -64.74, -69.08, -37.32, -72.10, -71.38, -54.33, -64.15, -69.35, -39.52, -71.37, 223.00
2020-03-06_15.35.32.509, -83.91, -55.28, -78.80, -71.67, -48.66, -83.63, -81.91, -57.16, -78.72, -71.85, -50.67, -81.73, 227.00
2020-03-06_15.35.33.506, -83.96, -58.17, -78.40, -75.62, -50.73, -84.00, -81.74, -60.04, -78.62, -75.54, -51.66, -81.81, 223.00
2020-03-06_15.35.34.509, -80.89, -61.06, -75.67, -78.99, -53.10, -82.29, -80.34, -62.91, -76.37, -78.39, -54.69, -81.19, 215.00
2020-03-06_15.35.35.509, -78.07, -63.90, -71.22, -77.34, -47.33, -77.54, -78.03, -65.72, -72.53, -77.66, -48.77, -77.67, 218.00
2020-03-06_15.35.36.509, -53.45, -39.65, -44.96, -53.68, -14.72, -53.54, -53.07, -39.70, -44.82, -53.38, -15.19, -53.16, 146.00
2020-03-06_15.35.37.506, -70.90, -40.96, -61.46, -55.58, -46.88, -67.82, -71.77, -41.00, -60.97, -55.20, -48.58, -67.92, 184.00
2020-03-06_15.35.38.506, -82.77, -43.85, -73.58, -59.69, -54.84, -79.82, -79.31, -43.89, -73.06, -59.36, -51.37, -78.01, 193.00
